[14:28:39] config.py (line 371):     INFO: Seed number: 297834
[14:28:39] algorithm.py (line 153):     INFO: SEPP version 4.5.5 used with HMMER version 3.4
[14:28:39] algorithm.py (line 155):     INFO: Will user HMMER located at /home/simonedassisi/miniconda3/envs/busco_env/bin/hmmbuild
[14:28:39] algorithm.py (line 157):     INFO: All options: Namespace(pplacer=Namespace(path='/home/simonedassisi/miniconda3/envs/busco_env/bin/pplacer'), hmmalign=Namespace(path='/home/simonedassisi/miniconda3/envs/busco_env/bin/hmmalign'), hmmsearch=Namespace(path='/home/simonedassisi/miniconda3/envs/busco_env/bin/hmmsearch', piped='False', elim='10000', filters='True'), hmmbuild=Namespace(path='/home/simonedassisi/miniconda3/envs/busco_env/bin/hmmbuild'), jsonmerger=Namespace(path='/home/simonedassisi/miniconda3/envs/busco_env/bin/seppJsonMerger.jar'), exhaustive=Namespace(strategy='centroid', minsubsetsize='20', placementminsubsetsizefacotr='4', placer='pplacer', weight_placement_by_alignment='True'), alignment_size=None, placement_size=None, max_chunk_size=15, distance=1, maxDiam=None, decomp_strategy='normal', tempdir='/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files', remtemp=False, output='output', outdir='/home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/placement_files', config_file=None, tree_file=<_io.TextIOWrapper name='/home/simonedassisi/busco_downloads/placement_files/tree.bacteria_odb12.2024-11-15.nwk' mode='r' encoding='UTF-8'>, info_file=<_io.TextIOWrapper name='/home/simonedassisi/busco_downloads/placement_files/tree_metadata.bacteria_odb12.2024-11-15.txt' mode='r' encoding='UTF-8'>, alignment_file=<_io.TextIOWrapper name='/home/simonedassisi/busco_downloads/placement_files/supermatrix.aln.bacteria_odb12.2024-11-15.faa' mode='r' encoding='UTF-8'>, fragment_file=<_io.TextIOWrapper name='home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/placement_files/marker_genes.fasta' mode='r' encoding='UTF-8'>, molecule='amino', ignore_overlap=False, cpu=1, checkpoint=<sepp.checkpointing.CheckPointManager object at 0x78fbc33d4490>, checkpoint_interval=3600, seed=297834)
[14:28:39] algorithm.py (line 284):     INFO: Reading input alignment: <_io.TextIOWrapper name='/home/simonedassisi/busco_downloads/placement_files/supermatrix.aln.bacteria_odb12.2024-11-15.faa' mode='r' encoding='UTF-8'>
[14:28:40] algorithm.py (line 288):     INFO: Alignment has 3631 sequences and 8063 sites
[14:28:40] algorithm.py (line 293):     INFO: Reading input tree: <_io.TextIOWrapper name='/home/simonedassisi/busco_downloads/placement_files/tree.bacteria_odb12.2024-11-15.nwk' mode='r' encoding='UTF-8'>
[14:28:40] algorithm.py (line 298):     INFO: Tree has 3631 leaves
[14:28:40] algorithm.py (line 264):     INFO: Decomposition Sizes are set to alignment: 363 placement: 363
[14:28:40] exhaustive.py (line 352):     INFO: Breaking into 15 placement subsets.
[14:28:40] exhaustive.py (line 399):     INFO: Breaking into 15 alignment subsets.
[14:28:40] filemgr.py (line 129):     INFO: Root temp directory built: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated
[14:28:40] exhaustive.py (line 414):     INFO: Breaking each alignment subset into 4 fragment chunks.
[14:28:43] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_0/A_0_0/hmmbuild.input._6bec24h.fasta
[14:28:45] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_1/A_1_0/hmmbuild.input._u637qt4.fasta
[14:28:46] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_2/A_2_0/hmmbuild.input.3ua5z8t5.fasta
[14:28:48] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_3/A_3_0/hmmbuild.input.xbexmh2o.fasta
[14:28:50] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_4/A_4_0/hmmbuild.input.j62hvxsb.fasta
[14:28:51] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /home/simonedassisi/home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/sepp_tmp_files/output.clxlated/root/P_5/A_5_0/hmmbuild.input.n_ynq_yy.fasta
