ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	610	1	2	0.000000	4186.936066	3263.921311	0.000000	0.000000	0	8835	0
2	4	2	2	0.000000	8003.000000	3289.500000	0.000000	0.000000	0	4010	0
3	11	2	1	0.000000	3922.545455	3449.727273	0.000000	0.000000	0	1960	0
4	1	5	1	0.000000	2879.000000	1601.000000	0.000000	0.000000	0	1383	0
5	2	5	1	0.000000	1285.000000	636.000000	0.000000	0.000000	0	618	0
6	1	2	1	0.000000	228.000000	225.000000	0.000000	0.000000	0	114	0
7	1	2	1	0.000000	152.000000	150.000000	0.000000	0.000000	0	76	0
8	71	1	0	0.000000	378.478873	266.422535	0.000000	0.000000	0	1448	0
9	61	0	0	0.000000	906.131148	654.295082	0.000000	0.000000	0	1572	0
10	1	0	0	0.000000	152.000000	147.000000	0.000000	0.000000	0	78	0
11	1071	1	0	0.000000	71.139122	68.460317	0.000000	0.000000	0	242	0
12	1	0	0	0.000000	133.000000	133.000000	0.000000	0.000000	0	61	0
13	3	0	0	0.000000	171.000000	167.000000	0.000000	0.000000	0	83	0
14	2	0	0	0.000000	140.000000	140.000000	0.000000	0.000000	0	65	0
15	52	1	1	0.000000	320.500000	192.500000	0.000000	0.000000	0	199	0
16	1	2	2	0.000000	526.000000	180.000000	0.000000	0.000000	0	136	0
17	6	1	1	0.000000	90.666667	90.666667	0.000000	0.000000	0	55	0
18	1	2	2	0.000000	745.000000	743.000000	0.000000	0.000000	0	387	0
19	1	2	2	0.000000	659.000000	659.000000	0.000000	0.000000	0	334	0
20	4	2	3	0.000000	1118.000000	458.750000	0.000000	0.000000	0	579	0
21	2	0	1	0.000000	159.000000	159.000000	0.000000	0.000000	0	83	0
22	21196	1	0	0.000000	74.466597	24.779015	0.000000	0.000000	0	4490	0
23	9	1	0	0.000000	288.222222	222.444444	0.000000	0.000000	0	177	0
24	1	1	1	0.000000	2304.000000	2011.000000	0.000000	0.000000	0	1073	0
25	6	2	2	0.000000	2411.500000	2384.166667	0.000000	0.000000	0	1254	0
26	2	2	1	0.000000	2301.000000	2252.000000	0.000000	0.000000	0	1124	0
27	1	2	1	0.000000	2244.000000	2238.000000	0.000000	0.000000	0	1083	0
28	1	4	1	0.000000	1531.000000	1528.000000	0.000000	0.000000	0	733	0
29	3	3	1	0.000000	328.666667	328.666667	0.000000	0.000000	0	197	0
30	16	0	1	0.000000	242.812500	239.812500	0.000000	0.000000	0	129	0
31	1	4	1	0.000000	410.000000	410.000000	0.000000	0.000000	0	189	0
32	3	2	1	0.000000	142.666667	142.666667	0.000000	0.000000	0	68	0
33	10	1	2	0.000000	210.700000	186.500000	0.000000	0.000000	0	163	0
34	2	1	2	0.000000	632.000000	588.500000	0.000000	0.000000	0	292	0
35	1	1	2	0.000000	925.000000	862.000000	0.000000	0.000000	0	437	0
36	2	2	2	0.000000	979.000000	888.000000	0.000000	0.000000	0	472	0
37	3	2	1	0.000000	877.666667	315.000000	0.000000	0.000000	0	499	0
38	28	1	1	0.000000	68.035714	67.500000	0.000000	0.000000	0	66	0
39	1	1	7	0.000000	2347.000000	205.000000	0.000000	0.000000	0	1375	0
40	1	3	2	0.000000	6135.000000	254.000000	0.000000	0.000000	0	2825	0
41	4	2	1	0.000000	5477.000000	2030.750000	0.000000	0.000000	0	2701	0
42	35	2	0	0.000000	41.514286	40.914286	0.000000	0.000000	0	56	0
43	1	2	1	0.000000	57.000000	57.000000	0.000000	0.000000	0	29	0
44	7	1	1	0.000000	198.857143	198.857143	0.000000	0.000000	0	101	0
45	1	1	2	0.000000	1902.000000	1183.000000	0.000000	0.000000	0	1449	0
46	4	2	4	0.000000	2313.750000	792.000000	0.000000	0.000000	0	1648	0
47	2	3	1	0.000000	2125.500000	675.500000	0.000000	0.000000	0	1548	0
48	2	2	1	0.000000	1875.500000	677.500000	0.000000	0.000000	0	1470	0
49	1	3	1	0.000000	697.000000	284.000000	0.000000	0.000000	0	341	0
50	0	2	1	Inf	Inf	Inf	Inf	Inf	0	216	0
51	1	2	1	0.000000	69.000000	69.000000	0.000000	0.000000	0	36	0
52	1	2	1	0.000000	89.000000	87.000000	0.000000	0.000000	0	45	0
53	6	1	0	0.000000	137.500000	135.833333	0.000000	0.000000	0	70	0
54	2	1	2	0.000000	295.500000	159.500000	0.000000	0.000000	0	163	0
55	4	2	2	0.000000	3399.250000	804.000000	0.000000	0.000000	0	1585	0
56	2	2	1	0.000000	3202.500000	1506.500000	0.000000	0.000000	0	1577	0
57	1	3	1	0.000000	3036.000000	2719.000000	0.000000	0.000000	0	1453	0
58	1	3	1	0.000000	2927.000000	2542.000000	0.000000	0.000000	0	1452	0
59	2	2	1	0.000000	2429.500000	1098.000000	0.000000	0.000000	0	1197	0
60	1	1	1	0.000000	2047.000000	1902.000000	0.000000	0.000000	0	1029	0
61	2	4	2	0.000000	2150.500000	2006.500000	0.000000	0.000000	0	1091	0
62	1	2	1	0.000000	736.000000	678.000000	0.000000	0.000000	0	380	0
63	1	2	1	0.000000	275.000000	218.000000	0.000000	0.000000	0	138	0
64	1	0	0	0.000000	155.000000	152.000000	0.000000	0.000000	0	80	0
65	1	2	2	0.000000	2270.000000	1215.000000	0.000000	0.000000	0	1152	0
66	1	2	1	0.000000	1954.000000	1144.000000	0.000000	0.000000	0	991	0
67	2	0	1	0.000000	168.500000	167.500000	0.000000	0.000000	0	84	0
68	4	1	1	0.000000	65.000000	65.000000	0.000000	0.000000	0	32	0
69	1	1	3	0.000000	1121.000000	249.000000	0.000000	0.000000	0	566	0
70	1	2	2	0.000000	1339.000000	1339.000000	0.000000	0.000000	0	684	0
71	46	1	1	0.000000	57.565217	56.652174	0.000000	0.000000	0	41	0
72	2	1	2	0.000000	130.500000	130.500000	0.000000	0.000000	0	64	0
73	1	1	3	0.000000	682.000000	682.000000	0.000000	0.000000	0	341	0
74	51	1	0	0.000000	70.019608	69.607843	0.000000	0.000000	0	88	0
75	1	2	2	0.000000	225.000000	146.000000	0.000000	0.000000	0	106	0
76	31	1	2	0.000000	78.419355	78.419355	0.000000	0.000000	0	89	0
77	1	1	2	0.000000	114.000000	114.000000	0.000000	0.000000	0	62	0
78	9	2	3	0.000000	472.333333	470.444444	0.000000	0.000000	0	321	0
79	3	2	1	0.000000	423.000000	421.000000	0.000000	0.000000	0	227	0
80	5	0	1	0.000000	175.200000	174.200000	0.000000	0.000000	0	87	0
81	1	2	0	0.000000	190.000000	93.000000	0.000000	0.000000	0	95	0
82	5539	0	1	0.000000	72.653186	69.060661	0.000000	0.000000	0	1160	0
83	4303	1	0	0.000000	74.222868	71.837555	0.000000	0.000000	0	995	0
84	5	2	2	0.000000	360.000000	357.600000	0.000000	0.000000	0	179	0
85	7	2	2	0.000000	282.857143	280.428571	0.000000	0.000000	0	131	0
86	2	2	1	0.000000	169.000000	166.000000	0.000000	0.000000	0	76	0
87	14	2	2	0.000000	222.071429	162.928571	0.000000	0.000000	0	117	0
88	2	2	0	0.000000	106.500000	2.000000	0.000000	0.000000	0	27	0
