#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_123825_cov_37.296666:2223-3578|-   -            452 8385                 -            451  3.9e-270  894.4   5.7   1   1  3.5e-273  4.4e-270  894.3   5.7     1   451     1   451     1   451 1.00 NODE_9_length_123825_cov_37.296666_3 # 2223 # 3578 # -1 # ID=9_3;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_28_length_70179_cov_36.796251:1391-2632|-   -            414 8385                 -            451   4.2e-08   30.7   0.1   1   3     3e-05     0.038   11.1   0.0    25    83     9    67     5    74 0.87 NODE_28_length_70179_cov_36.796251_3 # 1391 # 2632 # -1 # ID=28_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_28_length_70179_cov_36.796251:1391-2632|-   -            414 8385                 -            451   4.2e-08   30.7   0.1   2   3     0.098   1.2e+02   -0.5   0.0   255   298   211   254   204   258 0.77 NODE_28_length_70179_cov_36.796251_3 # 1391 # 2632 # -1 # ID=28_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_28_length_70179_cov_36.796251:1391-2632|-   -            414 8385                 -            451   4.2e-08   30.7   0.1   3   3   1.2e-06    0.0015   15.7   0.1   347   394   280   327   268   346 0.85 NODE_28_length_70179_cov_36.796251_3 # 1391 # 2632 # -1 # ID=28_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_22_length_80627_cov_36.893466:17797-19257|- -            487 8385                 -            451   3.5e-05   21.1   0.4   1   4     0.072        90   -0.0   0.0    26    75   120   169   113   181 0.75 NODE_22_length_80627_cov_36.893466_18 # 17797 # 19257 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_22_length_80627_cov_36.893466:17797-19257|- -            487 8385                 -            451   3.5e-05   21.1   0.4   2   4      0.16     2e+02   -1.2   0.0   138   156   224   241   209   252 0.78 NODE_22_length_80627_cov_36.893466_18 # 17797 # 19257 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_22_length_80627_cov_36.893466:17797-19257|- -            487 8385                 -            451   3.5e-05   21.1   0.4   3   4    0.0005      0.63    7.1   0.0   254   301   324   371   314   384 0.86 NODE_22_length_80627_cov_36.893466_18 # 17797 # 19257 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_22_length_80627_cov_36.893466:17797-19257|- -            487 8385                 -            451   3.5e-05   21.1   0.4   4   4   0.00015      0.19    8.8   0.0   346   392   393   439   385   453 0.90 NODE_22_length_80627_cov_36.893466_18 # 17797 # 19257 # -1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_20_length_84241_cov_37.036046:9019-10500|+  -            494 8385                 -            451    0.0027   14.9   0.0   1   2      0.64   8.1e+02   -3.2   0.0    51    78    64    92    55   104 0.63 NODE_20_length_84241_cov_37.036046_14 # 9019 # 10500 # 1 # ID=20_14;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.504
NODE_20_length_84241_cov_37.036046:9019-10500|+  -            494 8385                 -            451    0.0027   14.9   0.0   2   2   1.3e-05     0.016   12.3   0.0   242   391   274   423   264   440 0.73 NODE_20_length_84241_cov_37.036046_14 # 9019 # 10500 # 1 # ID=20_14;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.504
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/8385at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/8385at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/8385at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:34 2025
# [ok]
