#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_170_length_74698_cov_75.748665:40466-42292|+  -            609 59388                -            592  1.8e-299  992.6   0.0   1   1  2.3e-302  2.1e-299  992.4   0.0     1   591     3   604     3   605 0.97 NODE_170_length_74698_cov_75.748665_36 # 40466 # 42292 # 1 # ID=38_36;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_271_length_10277_cov_124.535271:5531-10264|-  -           1578 59388                -            592   1.5e-05   22.0   0.2   1   2     7e-05     0.062   10.1   0.1   226   297   860   931   758   937 0.83 NODE_271_length_10277_cov_124.535271_8 # 5531 # 10264 # -1 # ID=76_8;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_271_length_10277_cov_124.535271:5531-10264|-  -           1578 59388                -            592   1.5e-05   22.0   0.2   2   2   0.00099      0.87    6.3   0.0   519   580  1217  1281  1196  1288 0.75 NODE_271_length_10277_cov_124.535271_8 # 5531 # 10264 # -1 # ID=76_8;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_881_length_18377_cov_77.437286:13631-15793|+  -            721 59388                -            592   0.00013   18.9   0.0   1   2   3.5e-05     0.031   11.1   0.0   151   209    16    77     5   130 0.88 NODE_881_length_18377_cov_77.437286_15 # 13631 # 15793 # 1 # ID=371_15;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.574
NODE_881_length_18377_cov_77.437286:13631-15793|+  -            721 59388                -            592   0.00013   18.9   0.0   2   2    0.0022       1.9    5.1   0.0   522   571   556   618   549   634 0.71 NODE_881_length_18377_cov_77.437286_15 # 13631 # 15793 # 1 # ID=371_15;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.574
NODE_888_length_35781_cov_80.233421:13693-15714|+  -            674 59388                -            592    0.0044   13.9   0.4   1   2   0.00026      0.23    8.2   0.4   155   211    13    72     8    83 0.83 NODE_888_length_35781_cov_80.233421_13 # 13693 # 15714 # 1 # ID=375_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_888_length_35781_cov_80.233421:13693-15714|+  -            674 59388                -            592    0.0044   13.9   0.4   2   2    0.0089       7.8    3.1   0.0   522   565   554   608   547   614 0.76 NODE_888_length_35781_cov_80.233421_13 # 13693 # 15714 # 1 # ID=375_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_2113_length_16705_cov_74.349533:4946-5734|-   -            263 59388                -            592     0.025   11.4   0.1   1   1   0.00017      0.15    8.8   0.1   233   289   158   214    68   218 0.63 NODE_2113_length_16705_cov_74.349533_5 # 4946 # 5734 # -1 # ID=1059_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_1493_length_33821_cov_82.067535:13518-15026|- -            503 59388                -            592     0.062   10.1   0.1   1   3     0.049        43    0.7   0.0   160   180    20    40    10    49 0.82 NODE_1493_length_33821_cov_82.067535_13 # 13518 # 15026 # -1 # ID=662_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
NODE_1493_length_33821_cov_82.067535:13518-15026|- -            503 59388                -            592     0.062   10.1   0.1   2   3     0.098        87   -0.3   0.0   271   289   204   220   183   224 0.75 NODE_1493_length_33821_cov_82.067535_13 # 13518 # 15026 # -1 # ID=662_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
NODE_1493_length_33821_cov_82.067535:13518-15026|- -            503 59388                -            592     0.062   10.1   0.1   3   3    0.0023         2    5.1   0.0   551   568   452   469   381   479 0.71 NODE_1493_length_33821_cov_82.067535_13 # 13518 # 15026 # -1 # ID=662_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/59388at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/59388at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/59388at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:08 2025
# [ok]
