#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_926_length_95421_cov_71.123581:84725-85999|+  -            425 8659                 -            358   2.1e-71  238.8   0.0   1   1   5.2e-72   6.8e-69  230.6   0.0     1   356     5   415     5   417 0.81 NODE_926_length_95421_cov_71.123581_74 # 84725 # 85999 # 1 # ID=386_74;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_183_length_5920_cov_73.228882:3263-5191|+     -            643 8659                 -            358   2.4e-06   24.8   0.1   1   2   2.8e-06    0.0037   14.3   0.0    17   150   273   415   259   423 0.79 NODE_183_length_5920_cov_73.228882_4 # 3263 # 5191 # 1 # ID=43_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.494
NODE_183_length_5920_cov_73.228882:3263-5191|+     -            643 8659                 -            358   2.4e-06   24.8   0.1   2   2   0.00018      0.24    8.4   0.0   287   357   550   625   531   626 0.69 NODE_183_length_5920_cov_73.228882_4 # 3263 # 5191 # 1 # ID=43_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.494
NODE_1204_length_64359_cov_77.399834:62095-63813|- -            573 8659                 -            358   4.8e-06   23.9   0.4   1   2   1.5e-08     2e-05   21.8   0.1     6   151    38   193    34   201 0.80 NODE_1204_length_64359_cov_77.399834_56 # 62095 # 63813 # -1 # ID=516_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.546
NODE_1204_length_64359_cov_77.399834:62095-63813|- -            573 8659                 -            358   4.8e-06   23.9   0.4   2   2     0.095   1.3e+02   -0.6   0.0   322   356   528   562   487   564 0.75 NODE_1204_length_64359_cov_77.399834_56 # 62095 # 63813 # -1 # ID=516_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.546
NODE_718_length_90501_cov_69.003258:45598-47370|+  -            591 8659                 -            358    0.0094   13.0   1.4   1   4      0.18   2.4e+02   -1.5   0.0   281   310    45    74    36   103 0.81 NODE_718_length_90501_cov_69.003258_45 # 45598 # 47370 # 1 # ID=299_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_718_length_90501_cov_69.003258:45598-47370|+  -            591 8659                 -            358    0.0094   13.0   1.4   2   4     0.013        17    2.3   0.0    13    43   136   166   128   169 0.82 NODE_718_length_90501_cov_69.003258_45 # 45598 # 47370 # 1 # ID=299_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_718_length_90501_cov_69.003258:45598-47370|+  -            591 8659                 -            358    0.0094   13.0   1.4   3   4   0.00037      0.48    7.4   0.2    95   123   208   236   206   258 0.88 NODE_718_length_90501_cov_69.003258_45 # 45598 # 47370 # 1 # ID=299_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_718_length_90501_cov_69.003258:45598-47370|+  -            591 8659                 -            358    0.0094   13.0   1.4   4   4      0.32   4.2e+02   -2.3   0.0   261   278   527   544   520   562 0.80 NODE_718_length_90501_cov_69.003258_45 # 45598 # 47370 # 1 # ID=299_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/archaea_odb12/hmms/8659at2157.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/auto_lineage/run_archaea_odb12/hmmer_output/8659at2157.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/archaea_odb12/hmms/8659at2157.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:18:19 2025
# [ok]
