#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1539_length_37792_cov_75.811783:7991-8470|+   -            160 9806661              -            160   3.5e-72  239.6   0.2   1   1   3.6e-75   3.8e-72  239.5   0.2     1   157     1   158     1   159 0.99 NODE_1539_length_37792_cov_75.811783_9 # 7991 # 8470 # 1 # ID=694_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NODE_1062_length_63423_cov_73.241127:4570-5211|-   -            214 9806661              -            160   2.6e-08   32.0   0.0   1   2   9.4e-08    0.0001   20.3   0.0     4    61     5    66     2    77 0.70 NODE_1062_length_63423_cov_73.241127_6 # 4570 # 5211 # -1 # ID=442_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.498
NODE_1062_length_63423_cov_73.241127:4570-5211|-   -            214 9806661              -            160   2.6e-08   32.0   0.0   2   2   0.00024      0.25    9.3   0.0   120   155   172   208   161   210 0.87 NODE_1062_length_63423_cov_73.241127_6 # 4570 # 5211 # -1 # ID=442_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.498
NODE_2129_length_51924_cov_72.758377:22335-23567|+ -            411 9806661              -            160   4.8e-08   31.1   0.1   1   3   7.8e-09   8.2e-06   23.9   0.0     2    73    64   145    63   235 0.68 NODE_2129_length_51924_cov_72.758377_25 # 22335 # 23567 # 1 # ID=1066_25;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.505
NODE_2129_length_51924_cov_72.758377:22335-23567|+ -            411 9806661              -            160   4.8e-08   31.1   0.1   2   3      0.17   1.8e+02    0.0   0.0    11    32   284   305   276   310 0.87 NODE_2129_length_51924_cov_72.758377_25 # 22335 # 23567 # 1 # ID=1066_25;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.505
NODE_2129_length_51924_cov_72.758377:22335-23567|+ -            411 9806661              -            160   4.8e-08   31.1   0.1   3   3      0.11   1.1e+02    0.7   0.0    64    86   362   384   343   385 0.80 NODE_2129_length_51924_cov_72.758377_25 # 22335 # 23567 # 1 # ID=1066_25;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.505
NODE_1075_length_6864_cov_74.999710:5759-6817|-    -            353 9806661              -            160   9.8e-06   23.6   0.0   1   2   8.5e-08     9e-05   20.5   0.0    12    74   155   215   154   220 0.89 NODE_1075_length_6864_cov_74.999710_7 # 5759 # 6817 # -1 # ID=449_7;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.510
NODE_1075_length_6864_cov_74.999710:5759-6817|-    -            353 9806661              -            160   9.8e-06   23.6   0.0   2   2      0.16   1.6e+02    0.1   0.0   125   156   302   336   294   340 0.79 NODE_1075_length_6864_cov_74.999710_7 # 5759 # 6817 # -1 # ID=449_7;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.510
NODE_567_length_10831_cov_86.072937:6636-7487|-    -            284 9806661              -            160     0.019   12.9   0.0   1   1     3e-05     0.032   12.2   0.0     8    42    28    61    21    98 0.77 NODE_567_length_10831_cov_86.072937_9 # 6636 # 7487 # -1 # ID=248_9;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.520
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9806661at2.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/auto_lineage/run_bacteria_odb12/hmmer_output/9806661at2.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9806661at2.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:18:23 2025
# [ok]
