#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_126545_cov_41.885285:108662-110551|+ -            630 2830                 -            548         0 1101.7   1.0   1   1         0         0 1097.7   1.0     1   546     1   567     1   569 0.96 NODE_8_length_126545_cov_41.885285_102 # 108662 # 110551 # 1 # ID=8_102;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.556
NODE_28_length_70179_cov_36.796251:9765-11129|+    -            455 2830                 -            548  4.2e-108  360.4   0.2   1   1  1.1e-110  5.1e-108  360.1   0.2     7   375     2   376     1   385 0.95 NODE_28_length_70179_cov_36.796251_11 # 9765 # 11129 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NODE_35_length_52795_cov_36.978564:15018-16391|-   -            458 2830                 -            548  1.5e-102  342.0   0.0   1   2  2.7e-103  1.2e-100  335.7   0.0    14   367    11   364     1   376 0.93 NODE_35_length_52795_cov_36.978564_13 # 15018 # 16391 # -1 # ID=35_13;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.516
NODE_35_length_52795_cov_36.978564:15018-16391|-   -            458 2830                 -            548  1.5e-102  342.0   0.0   2   2    0.0061       2.8    4.5   0.0   464   539   381   456   377   457 0.90 NODE_35_length_52795_cov_36.978564_13 # 15018 # 16391 # -1 # ID=35_13;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.516
NODE_9_length_123825_cov_37.296666:12075-13409|-   -            445 2830                 -            548   1.9e-99  331.8   0.0   1   1  4.9e-102   2.2e-99  331.6   0.0     5   369     3   373     1   423 0.91 NODE_9_length_123825_cov_37.296666_12 # 12075 # 13409 # -1 # ID=9_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NODE_16_length_86943_cov_42.279511:17610-18875|-   -            422 2830                 -            548   4.3e-86  287.7   0.0   1   1   1.2e-88   5.5e-86  287.4   0.0     4   368     7   380     4   393 0.89 NODE_16_length_86943_cov_42.279511_15 # 17610 # 18875 # -1 # ID=16_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.522
NODE_16_length_86943_cov_42.279511:57558-59393|+   -            612 2830                 -            548   3.9e-21   73.3   0.1   1   2     9e-07   0.00041   17.1   0.1    20    65    18    64     5   110 0.85 NODE_16_length_86943_cov_42.279511_53 # 57558 # 59393 # 1 # ID=16_53;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NODE_16_length_86943_cov_42.279511:57558-59393|+   -            612 2830                 -            548   3.9e-21   73.3   0.1   2   2   6.7e-18   3.1e-15   53.9   0.0   209   368   204   363   176   382 0.85 NODE_16_length_86943_cov_42.279511_53 # 57558 # 59393 # 1 # ID=16_53;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NODE_72_length_16341_cov_36.526767:8504-10525|+    -            674 2830                 -            548   1.2e-08   32.1   0.8   1   2     0.012       5.4    3.5   0.0    46    97    37    80     9    93 0.68 NODE_72_length_16341_cov_36.526767_10 # 8504 # 10525 # 1 # ID=72_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_72_length_16341_cov_36.526767:8504-10525|+    -            674 2830                 -            548   1.2e-08   32.1   0.8   2   2   1.8e-09   8.3e-07   26.0   0.9   248   364   450   570   441   596 0.83 NODE_72_length_16341_cov_36.526767_10 # 8504 # 10525 # 1 # ID=72_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_25_length_79707_cov_37.284883:38030-42646|-   -           1539 2830                 -            548   2.4e-08   31.1   0.0   1   2   0.00032      0.15    8.7   0.0    26    95    27   106    24   185 0.59 NODE_25_length_79707_cov_37.284883_37 # 38030 # 42646 # -1 # ID=25_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
NODE_25_length_79707_cov_37.284883:38030-42646|-   -           1539 2830                 -            548   2.4e-08   31.1   0.0   2   2   1.3e-07   6.1e-05   19.9   0.0   276   351   357   433   345   449 0.88 NODE_25_length_79707_cov_37.284883_37 # 38030 # 42646 # -1 # ID=25_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
NODE_39_length_47213_cov_38.868135:33709-35790|+   -            694 2830                 -            548   9.9e-06   22.5   0.3   1   2     0.001      0.46    7.1   0.2    51   133   297   379   260   400 0.80 NODE_39_length_47213_cov_38.868135_37 # 33709 # 35790 # 1 # ID=39_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572
NODE_39_length_47213_cov_38.868135:33709-35790|+   -            694 2830                 -            548   9.9e-06   22.5   0.3   2   2   1.3e-05     0.006   13.3   0.0   274   347   523   597   511   611 0.84 NODE_39_length_47213_cov_38.868135_37 # 33709 # 35790 # 1 # ID=39_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572
NODE_17_length_86457_cov_41.702653:720-2918|+      -            733 2830                 -            548   0.00039   17.2   0.0   1   2    0.0039       1.8    5.1   0.0    51   137   225   308   218   322 0.77 NODE_17_length_86457_cov_41.702653_3 # 720 # 2918 # 1 # ID=17_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.575
