#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2031_length_15140_cov_83.574440:4480-4911|+   -            144 27234                -            143   6.2e-73  241.7   0.0   1   1   9.1e-76   6.9e-73  241.6   0.0     1   143     1   143     1   143 1.00 NODE_2031_length_15140_cov_83.574440_5 # 4480 # 4911 # 1 # ID=1003_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.498
NODE_1434_length_95894_cov_75.275742:37492-37818|- -            109 27234                -            143   4.1e-12   44.5   0.0   1   1   6.5e-15   4.9e-12   44.3   0.0    40   134     7    98     1   102 0.88 NODE_1434_length_95894_cov_75.275742_30 # 37492 # 37818 # -1 # ID=631_30;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_2299_length_38437_cov_68.775246:13125-14177|+ -            351 27234                -            143   1.3e-11   43.0   0.0   1   2       1.7   1.3e+03   -2.4   0.0   119   130    55    66    43    68 0.83 NODE_2299_length_38437_cov_68.775246_14 # 13125 # 14177 # 1 # ID=1153_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.498
NODE_2299_length_38437_cov_68.775246:13125-14177|+ -            351 27234                -            143   1.3e-11   43.0   0.0   2   2   4.5e-14   3.4e-11   41.6   0.0    40   133   136   232   129   241 0.90 NODE_2299_length_38437_cov_68.775246_14 # 13125 # 14177 # 1 # ID=1153_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.498
NODE_2154_length_30944_cov_68.453339:10705-11229|+ -            175 27234                -            143   2.1e-11   42.2   0.0   1   1   3.8e-14   2.8e-11   41.8   0.0    38   142     4   106     1   107 0.86 NODE_2154_length_30944_cov_68.453339_11 # 10705 # 11229 # 1 # ID=1078_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.457
NODE_2132_length_53289_cov_67.616959:50942-51256|+ -            105 27234                -            143   6.7e-08   30.9   0.0   1   1   1.1e-10   8.6e-08   30.5   0.0    57   122    24    88    20    96 0.93 NODE_2132_length_53289_cov_67.616959_52 # 50942 # 51256 # 1 # ID=1067_52;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.508
NODE_926_length_95421_cov_71.123581:71961-72806|-  -            282 27234                -            143   1.4e-06   26.6   0.0   1   3      0.44   3.3e+02   -0.5   0.0    62    79    39    56    35    63 0.77 NODE_926_length_95421_cov_71.123581_67 # 71961 # 72806 # -1 # ID=386_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_926_length_95421_cov_71.123581:71961-72806|-  -            282 27234                -            143   1.4e-06   26.6   0.0   2   3   3.2e-05     0.024   12.9   0.0    91   139    84   133    73   136 0.74 NODE_926_length_95421_cov_71.123581_67 # 71961 # 72806 # -1 # ID=386_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_926_length_95421_cov_71.123581:71961-72806|-  -            282 27234                -            143   1.4e-06   26.6   0.0   3   3   0.00052      0.39    9.0   0.0    66   133   192   270   154   278 0.75 NODE_926_length_95421_cov_71.123581_67 # 71961 # 72806 # -1 # ID=386_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_796_length_47878_cov_66.656982:28655-29962|-  -            436 27234                -            143   1.9e-06   26.2   0.0   1   4   0.00063      0.48    8.7   0.0    86   131    87   132    60   144 0.70 NODE_796_length_47878_cov_66.656982_29 # 28655 # 29962 # -1 # ID=347_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_796_length_47878_cov_66.656982:28655-29962|-  -            436 27234                -            143   1.9e-06   26.2   0.0   2   4   0.00069      0.52    8.6   0.0    94   142   223   271   189   272 0.79 NODE_796_length_47878_cov_66.656982_29 # 28655 # 29962 # -1 # ID=347_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
