#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_926_length_95421_cov_71.123581:1930-3285|-  -            452 8385                 -            451  4.1e-270  894.4   5.7   1   1  3.5e-273  4.6e-270  894.3   5.7     1   451     1   451     1   451 1.00 NODE_926_length_95421_cov_71.123581_3 # 1930 # 3285 # -1 # ID=386_3;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_1288_length_45176_cov_69.014496:1282-2523|- -            414 8385                 -            451   4.4e-08   30.7   0.1   1   3     3e-05      0.04   11.1   0.0    25    83     9    67     5    74 0.87 NODE_1288_length_45176_cov_69.014496_2 # 1282 # 2523 # -1 # ID=561_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_1288_length_45176_cov_69.014496:1282-2523|- -            414 8385                 -            451   4.4e-08   30.7   0.1   2   3     0.098   1.3e+02   -0.5   0.0   255   298   211   254   204   258 0.77 NODE_1288_length_45176_cov_69.014496_2 # 1282 # 2523 # -1 # ID=561_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_1288_length_45176_cov_69.014496:1282-2523|- -            414 8385                 -            451   4.4e-08   30.7   0.1   3   3   1.2e-06    0.0016   15.7   0.1   347   394   280   327   268   346 0.85 NODE_1288_length_45176_cov_69.014496_2 # 1282 # 2523 # -1 # ID=561_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_517_length_26358_cov_74.693604:7536-8996|+  -            487 8385                 -            451   3.6e-05   21.1   0.4   1   4     0.072        95   -0.0   0.0    26    75   120   169   113   181 0.75 NODE_517_length_26358_cov_74.693604_11 # 7536 # 8996 # 1 # ID=211_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_517_length_26358_cov_74.693604:7536-8996|+  -            487 8385                 -            451   3.6e-05   21.1   0.4   2   4      0.16   2.1e+02   -1.2   0.0   138   156   224   241   209   252 0.78 NODE_517_length_26358_cov_74.693604_11 # 7536 # 8996 # 1 # ID=211_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_517_length_26358_cov_74.693604:7536-8996|+  -            487 8385                 -            451   3.6e-05   21.1   0.4   3   4    0.0005      0.66    7.1   0.0   254   301   324   371   314   384 0.86 NODE_517_length_26358_cov_74.693604_11 # 7536 # 8996 # 1 # ID=211_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_517_length_26358_cov_74.693604:7536-8996|+  -            487 8385                 -            451   3.6e-05   21.1   0.4   4   4   0.00015      0.19    8.8   0.0   346   392   393   439   385   453 0.90 NODE_517_length_26358_cov_74.693604_11 # 7536 # 8996 # 1 # ID=211_11;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.517
NODE_2299_length_38437_cov_68.775246:2688-4169|+ -            494 8385                 -            451    0.0029   14.9   0.0   1   2      0.64   8.5e+02   -3.2   0.0    51    78    64    92    55   104 0.63 NODE_2299_length_38437_cov_68.775246_6 # 2688 # 4169 # 1 # ID=1153_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.504
NODE_2299_length_38437_cov_68.775246:2688-4169|+ -            494 8385                 -            451    0.0029   14.9   0.0   2   2   1.3e-05     0.017   12.3   0.0   242   391   274   423   264   440 0.73 NODE_2299_length_38437_cov_68.775246_6 # 2688 # 4169 # 1 # ID=1153_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.504
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/8385at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/8385at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/8385at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:15 2025
# [ok]
