#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_596_length_15654_cov_72.501595:7576-9063|+    -            496 1939                 -            494    5e-293  970.3   0.0   1   1  6.4e-296  5.7e-293  970.1   0.0     1   493     1   493     1   494 1.00 NODE_596_length_15654_cov_72.501595_8 # 7576 # 9063 # 1 # ID=258_8;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NODE_596_length_15654_cov_72.501595:9060-10418|+   -            453 1939                 -            494   1.9e-15   54.7   0.2   1   1   1.1e-16   9.9e-14   49.0   0.2    18   352    20   326     4   348 0.82 NODE_596_length_15654_cov_72.501595_9 # 9060 # 10418 # 1 # ID=258_9;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_596_length_15654_cov_72.501595:11497-12813|+  -            439 1939                 -            494   8.8e-10   36.0   6.9   1   2    0.0001     0.092    9.6   2.5   110   145   106   141   100   147 0.90 NODE_596_length_15654_cov_72.501595_11 # 11497 # 12813 # 1 # ID=258_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_596_length_15654_cov_72.501595:11497-12813|+  -            439 1939                 -            494   8.8e-10   36.0   6.9   2   2   9.8e-10   8.7e-07   26.1   0.1   172   278   147   253   143   352 0.75 NODE_596_length_15654_cov_72.501595_11 # 11497 # 12813 # 1 # ID=258_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_1815_length_42207_cov_77.160164:21572-22945|+ -            458 1939                 -            494   1.6e-05   22.0   0.1   1   2     0.013        12    2.6   0.0   111   131   105   124    88   142 0.82 NODE_1815_length_42207_cov_77.160164_20 # 21572 # 22945 # 1 # ID=846_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NODE_1815_length_42207_cov_77.160164:21572-22945|+ -            458 1939                 -            494   1.6e-05   22.0   0.1   2   2     5e-07   0.00044   17.2   0.0   276   378   249   350   167   358 0.76 NODE_1815_length_42207_cov_77.160164_20 # 21572 # 22945 # 1 # ID=846_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NODE_679_length_36641_cov_70.533279:30037-31305|+  -            423 1939                 -            494   2.1e-05   21.6   0.0   1   2     0.014        12    2.6   0.0   111   132    51    72    26    83 0.71 NODE_679_length_36641_cov_70.533279_30 # 30037 # 31305 # 1 # ID=288_30;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.558
NODE_679_length_36641_cov_70.533279:30037-31305|+  -            423 1939                 -            494   2.1e-05   21.6   0.0   2   2   1.5e-06    0.0013   15.6   0.0   269   470   215   407   205   418 0.75 NODE_679_length_36641_cov_70.533279_30 # 30037 # 31305 # 1 # ID=288_30;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.558
NODE_592_length_39318_cov_75.666641:3-965|+        -            321 1939                 -            494    0.0084   13.0   0.0   1   2   9.1e-05      0.08    9.8   0.0   197   252    14    71     8    79 0.83 NODE_592_length_39318_cov_75.666641_1 # 3 # 965 # 1 # ID=257_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.546
NODE_592_length_39318_cov_75.666641:3-965|+        -            321 1939                 -            494    0.0084   13.0   0.0   2   2     0.054        48    0.6   0.0   349   374   172   197   165   209 0.84 NODE_592_length_39318_cov_75.666641_1 # 3 # 965 # 1 # ID=257_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.546
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1939at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/1939at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1939at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:23:57 2025
# [ok]
