#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_276430_cov_40.515391:222095-224647|- -            851 886                  -            849         0 1835.0   2.5   1   1         0         0 1834.9   2.5     1   849     1   850     1   850 1.00 NODE_1_length_276430_cov_40.515391_194 # 222095 # 224647 # -1 # ID=1_194;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.555
NODE_30_length_69036_cov_41.149327:55457-57979|-   -            841 886                  -            849   1.2e-79  266.6   3.9   1   3   5.5e-53   5.5e-50  168.5   0.0    64   305   211   456   181   464 0.92 NODE_30_length_69036_cov_41.149327_52 # 55457 # 57979 # -1 # ID=30_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_30_length_69036_cov_41.149327:55457-57979|-   -            841 886                  -            849   1.2e-79  266.6   3.9   2   3   3.6e-24   3.7e-21   73.2   0.1   422   609   467   657   460   668 0.93 NODE_30_length_69036_cov_41.149327_52 # 55457 # 57979 # -1 # ID=30_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_30_length_69036_cov_41.149327:55457-57979|-   -            841 886                  -            849   1.2e-79  266.6   3.9   3   3   1.8e-09   1.8e-06   24.6   0.7   697   746   680   729   672   747 0.86 NODE_30_length_69036_cov_41.149327_52 # 55457 # 57979 # -1 # ID=30_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_9_length_123825_cov_37.296666:78366-80678|+   -            771 886                  -            849   5.5e-56  188.4   0.0   1   3   1.9e-41   1.9e-38  130.4   0.0    65   256    63   254    41   266 0.92 NODE_9_length_123825_cov_37.296666_69 # 78366 # 80678 # 1 # ID=9_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_9_length_123825_cov_37.296666:78366-80678|+   -            771 886                  -            849   5.5e-56  188.4   0.0   2   3   1.5e-17   1.5e-14   51.3   0.0   396   583   270   458   258   462 0.86 NODE_9_length_123825_cov_37.296666_69 # 78366 # 80678 # 1 # ID=9_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_9_length_123825_cov_37.296666:78366-80678|+   -            771 886                  -            849   5.5e-56  188.4   0.0   3   3    0.0061       6.2    2.9   0.1   714   751   510   547   504   562 0.84 NODE_9_length_123825_cov_37.296666_69 # 78366 # 80678 # 1 # ID=9_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_8_length_126545_cov_41.885285:66714-67442|+   -            243 886                  -            849   2.6e-27   93.5   0.0   1   1   2.9e-30   2.9e-27   93.3   0.0    69   231    67   229    55   242 0.93 NODE_8_length_126545_cov_41.885285_58 # 66714 # 67442 # 1 # ID=8_58;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.519
NODE_10_length_119716_cov_38.250842:60795-62696|+  -            634 886                  -            849    0.0043   13.4   0.1   1   2   1.8e-05     0.018   11.3   0.0   449   551   314   414   229   423 0.89 NODE_10_length_119716_cov_38.250842_54 # 60795 # 62696 # 1 # ID=10_54;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.527
NODE_10_length_119716_cov_38.250842:60795-62696|+  -            634 886                  -            849    0.0043   13.4   0.1   2   2      0.35   3.6e+02   -2.9   0.0   567   598   459   490   452   498 0.80 NODE_10_length_119716_cov_38.250842_54 # 60795 # 62696 # 1 # ID=10_54;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.527
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/886at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/886at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/886at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:36 2025
# [ok]
