#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_12_length_106079_cov_39.536715:24056-24586|+  -            177 51                   -            175    1e-111  368.3   3.2   1   1  1.9e-114  1.2e-111  368.1   3.2     1   175     1   176     1   176 0.99 NODE_12_length_106079_cov_39.536715_26 # 24056 # 24586 # 1 # ID=12_26;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_4_length_139564_cov_44.158667:42912-43301|-   -            130 51                   -            175   7.5e-09   33.4   0.0   1   1   1.5e-11   9.3e-09   33.1   0.0    10   101     7   106     2   116 0.69 NODE_4_length_139564_cov_44.158667_40 # 42912 # 43301 # -1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.490
NODE_6_length_131096_cov_36.333598:61885-62394|+   -            170 51                   -            175   6.2e-07   27.1   0.0   1   1   1.2e-09   7.6e-07   26.8   0.0     2   104    20   126    19   144 0.75 NODE_6_length_131096_cov_36.333598_61 # 61885 # 62394 # 1 # ID=6_61;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_38_length_48580_cov_35.344705:27640-28047|-   -            136 51                   -            175   1.3e-06   26.1   0.0   1   1   2.6e-09   1.6e-06   25.8   0.0    12    67     7    66     3    99 0.84 NODE_38_length_48580_cov_35.344705_27 # 27640 # 28047 # -1 # ID=38_27;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
NODE_1_length_276430_cov_40.515391:221370-221930|+ -            187 51                   -            175    0.0001   19.9   0.0   1   1     2e-07   0.00013   19.6   0.0    31    71    73   113    44   181 0.79 NODE_1_length_276430_cov_40.515391_193 # 221370 # 221930 # 1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.508
NODE_51_length_31115_cov_42.820834:19921-20694|+   -            258 51                   -            175   0.00015   19.3   0.2   1   3         1   6.5e+02   -2.3   0.0    23    47    12    35     4    47 0.79 NODE_51_length_31115_cov_42.820834_18 # 19921 # 20694 # 1 # ID=51_18;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_51_length_31115_cov_42.820834:19921-20694|+   -            258 51                   -            175   0.00015   19.3   0.2   2   3       3.1     2e+03   -3.8   0.0    85    98    48    61    37    65 0.78 NODE_51_length_31115_cov_42.820834_18 # 19921 # 20694 # 1 # ID=51_18;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_51_length_31115_cov_42.820834:19921-20694|+   -            258 51                   -            175   0.00015   19.3   0.2   3   3   6.4e-07   0.00041   18.0   0.0    13    71   132   192   121   216 0.83 NODE_51_length_31115_cov_42.820834_18 # 19921 # 20694 # 1 # ID=51_18;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_73_length_16238_cov_34.312333:12594-13055|-   -            154 51                   -            175   0.00025   18.7   0.0   1   1   7.4e-07   0.00047   17.8   0.0    25    75    23    72     2    98 0.76 NODE_73_length_16238_cov_34.312333_13 # 12594 # 13055 # -1 # ID=73_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.500
NODE_2_length_157429_cov_38.171358:99346-99771|-   -            142 51                   -            175   0.00029   18.5   0.3   1   1   2.8e-06    0.0018   15.9   0.3    32   127    32   117    25   127 0.81 NODE_2_length_157429_cov_38.171358_96 # 99346 # 99771 # -1 # ID=2_96;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.469
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/51at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/51at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/51at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:22 2025
# [ok]
