#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_20_length_84241_cov_37.036046:80077-81315|+   -            413 7021                 -            413  3.1e-235  778.8   4.3   1   1  3.4e-238  3.4e-235  778.7   4.3     2   413     1   412     1   412 1.00 NODE_20_length_84241_cov_37.036046_84 # 80077 # 81315 # 1 # ID=20_84;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NODE_20_length_84241_cov_37.036046:78178-79377|+   -            400 7021                 -            413   3.6e-53  179.1   0.1   1   1   5.7e-56   5.8e-53  178.4   0.1     3   411     4   397     2   399 0.91 NODE_20_length_84241_cov_37.036046_82 # 78178 # 79377 # 1 # ID=20_82;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.545
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 7021                 -            413   2.8e-05   21.4   7.6   1   3   4.9e-05     0.049   10.7   1.0   272   347   245   320   231   326 0.83 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 7021                 -            413   2.8e-05   21.4   7.6   2   3     0.004       4.1    4.4   0.0   144   184   570   610   562   615 0.88 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 7021                 -            413   2.8e-05   21.4   7.6   3   3   0.00036      0.37    7.8   1.0   273   336   683   743   664   759 0.73 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_1_length_276430_cov_40.515391:144543-145601|+ -            353 7021                 -            413   0.00028   18.1   4.8   1   1   4.5e-07   0.00046   17.4   4.8   274   366   226   320   220   341 0.87 NODE_1_length_276430_cov_40.515391_129 # 144543 # 145601 # 1 # ID=1_129;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_23_length_80065_cov_37.437114:37689-39635|-   -            649 7021                 -            413    0.0016   15.6   7.2   1   3      0.14   1.4e+02   -0.7   0.3   331   351   276   296   256   318 0.47 NODE_23_length_80065_cov_37.437114_35 # 37689 # 39635 # -1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_23_length_80065_cov_37.437114:37689-39635|-   -            649 7021                 -            413    0.0016   15.6   7.2   2   3   1.6e-06    0.0016   15.6   7.2   271   346   523   600   516   607 0.89 NODE_23_length_80065_cov_37.437114_35 # 37689 # 39635 # -1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_23_length_80065_cov_37.437114:37689-39635|-   -            649 7021                 -            413    0.0016   15.6   7.2   3   3      0.03        31    1.5   0.0   383   410   618   645   601   648 0.80 NODE_23_length_80065_cov_37.437114_35 # 37689 # 39635 # -1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7021at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/7021at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7021at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:31 2025
# [ok]
