#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_276430_cov_40.515391:142386-143879|+  -            498 372188               -            281   5.4e-81  270.2   4.0   1   1   2.4e-83   1.1e-80  269.2   4.0    14   280   225   493   216   494 0.95 NODE_1_length_276430_cov_40.515391_127 # 142386 # 143879 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NODE_34_length_53173_cov_42.168382:15129-16490|-    -            454 372188               -            281     1e-71  239.7   1.5   1   1   3.4e-74   1.6e-71  239.1   1.5     7   280    21   295    15   296 0.93 NODE_34_length_53173_cov_42.168382_17 # 15129 # 16490 # -1 # ID=34_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_41_length_44791_cov_39.437601:31127-31732|-    -            202 372188               -            281   0.00075   17.1   0.0   1   1   2.5e-06    0.0011   16.5   0.0    76   128    18    70     5    82 0.87 NODE_41_length_44791_cov_39.437601_36 # 31127 # 31732 # -1 # ID=41_36;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517
NODE_23_length_80065_cov_37.437114:22462-24738|-    -            759 372188               -            281    0.0058   14.2   0.0   1   3      0.41   1.9e+02   -0.6   0.0    90   122   211   243   191   247 0.76 NODE_23_length_80065_cov_37.437114_17 # 22462 # 24738 # -1 # ID=23_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_23_length_80065_cov_37.437114:22462-24738|-    -            759 372188               -            281    0.0058   14.2   0.0   2   3     0.014       6.4    4.2   0.0    82   110   483   512   424   518 0.78 NODE_23_length_80065_cov_37.437114_17 # 22462 # 24738 # -1 # ID=23_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_23_length_80065_cov_37.437114:22462-24738|-    -            759 372188               -            281    0.0058   14.2   0.0   3   3    0.0059       2.7    5.4   0.0    11    69   660   718   652   727 0.90 NODE_23_length_80065_cov_37.437114_17 # 22462 # 24738 # -1 # ID=23_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_18_length_85840_cov_40.696849:15459-16961|+    -            501 372188               -            281    0.0061   14.1   0.8   1   2   3.3e-05     0.015   12.8   0.2    91   120    28    57    23    65 0.91 NODE_18_length_85840_cov_40.696849_13 # 15459 # 16961 # 1 # ID=18_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_18_length_85840_cov_40.696849:15459-16961|+    -            501 372188               -            281    0.0061   14.1   0.8   2   2       1.6   7.2e+02   -2.6   0.0   110   129   326   345   321   379 0.77 NODE_18_length_85840_cov_40.696849_13 # 15459 # 16961 # 1 # ID=18_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_22_length_80627_cov_36.893466:36342-36932|-    -            197 372188               -            281    0.0077   13.7   0.1   1   1   2.1e-05    0.0098   13.4   0.1    73   142    15    86     4   134 0.62 NODE_22_length_80627_cov_36.893466_37 # 36342 # 36932 # -1 # ID=22_37;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.509
NODE_59_length_27357_cov_36.938267:15071-15883|+    -            271 372188               -            281     0.018   12.5   1.3   1   1   7.5e-05     0.034   11.6   1.3    88   120     5    37     2    41 0.88 NODE_59_length_27357_cov_36.938267_18 # 15071 # 15883 # 1 # ID=59_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.498
NODE_11_length_117034_cov_40.464403:100462-101442|- -            327 372188               -            281      0.02   12.4   0.0   1   2   8.4e-05     0.038   11.5   0.0    85   119   119   153    75   158 0.87 NODE_11_length_117034_cov_40.464403_90 # 100462 # 101442 # -1 # ID=11_90;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
