#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_20_length_84241_cov_37.036046:68818-70122|+   -            435 4903                 -            432  3.8e-281  930.4   0.1   1   1  4.3e-284  4.3e-281  930.2   0.1     1   432     3   434     3   434 1.00 NODE_20_length_84241_cov_37.036046_75 # 68818 # 70122 # 1 # ID=20_75;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_60_length_26402_cov_36.807041:9115-10248|-    -            378 4903                 -            432     5e-13   46.9   1.6   1   1   1.4e-14   1.4e-11   42.2   1.6   208   338   166   298     3   311 0.88 NODE_60_length_26402_cov_36.807041_9 # 9115 # 10248 # -1 # ID=60_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540
NODE_1_length_276430_cov_40.515391:250944-253487|- -            848 4903                 -            432   2.1e-11   41.6   0.1   1   2     0.092        93   -0.1   0.0   106   123    95   112    71   120 0.81 NODE_1_length_276430_cov_40.515391_224 # 250944 # 253487 # -1 # ID=1_224;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_1_length_276430_cov_40.515391:250944-253487|- -            848 4903                 -            432   2.1e-11   41.6   0.1   2   2   2.9e-13   2.9e-10   37.8   0.2   231   345   194   309   145   318 0.84 NODE_1_length_276430_cov_40.515391_224 # 250944 # 253487 # -1 # ID=1_224;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_9_length_123825_cov_37.296666:52923-54125|-   -            401 4903                 -            432   4.6e-08   30.6   6.2   1   4      0.22   2.2e+02   -1.3   0.1     3    21     3    21     1    26 0.68 NODE_9_length_123825_cov_37.296666_46 # 52923 # 54125 # -1 # ID=9_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_9_length_123825_cov_37.296666:52923-54125|-   -            401 4903                 -            432   4.6e-08   30.6   6.2   2   4       0.9   9.1e+02   -3.3   0.0    94   147    81   136    77   140 0.64 NODE_9_length_123825_cov_37.296666_46 # 52923 # 54125 # -1 # ID=9_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_9_length_123825_cov_37.296666:52923-54125|-   -            401 4903                 -            432   4.6e-08   30.6   6.2   3   4    0.0026       2.6    5.0   0.3     3    25   144   166   142   176 0.79 NODE_9_length_123825_cov_37.296666_46 # 52923 # 54125 # -1 # ID=9_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_9_length_123825_cov_37.296666:52923-54125|-   -            401 4903                 -            432   4.6e-08   30.6   6.2   4   4   1.6e-10   1.6e-07   28.8   0.3   205   325   166   287   161   309 0.80 NODE_9_length_123825_cov_37.296666_46 # 52923 # 54125 # -1 # ID=9_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_5_length_138947_cov_37.421618:69820-71145|-   -            442 4903                 -            432   0.00029   18.1   0.3   1   2         2     2e+03   -4.4   0.1     7    24     7    24     5    29 0.67 NODE_5_length_138947_cov_37.421618_61 # 69820 # 71145 # -1 # ID=5_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.456
NODE_5_length_138947_cov_37.421618:69820-71145|-   -            442 4903                 -            432   0.00029   18.1   0.3   2   2   2.9e-07   0.00029   18.1   0.3   206   315   181   294   160   299 0.82 NODE_5_length_138947_cov_37.421618_61 # 69820 # 71145 # -1 # ID=5_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.456
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4903at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/4903at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4903at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:21 2025
# [ok]
