#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_126545_cov_41.885285:22744-23787|+   -            348 940                  -            346    1e-239  792.4   5.7   1   1  1.6e-242  1.2e-239  792.2   5.7     1   346     1   346     1   346 1.00 NODE_8_length_126545_cov_41.885285_22 # 22744 # 23787 # 1 # ID=8_22;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.545
NODE_10_length_119716_cov_38.250842:45619-46731|+  -            371 940                  -            346   5.2e-13   46.8   0.0   1   1   4.4e-15   3.2e-12   44.2   0.0    93   199   100   211     3   227 0.63 NODE_10_length_119716_cov_38.250842_38 # 45619 # 46731 # 1 # ID=10_38;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.499
NODE_9_length_123825_cov_37.296666:67083-68933|+   -            617 940                  -            346   2.8e-10   37.8   0.5   1   2      0.47   3.4e+02   -1.9   0.0    15    36    24    47    21    98 0.57 NODE_9_length_123825_cov_37.296666_62 # 67083 # 68933 # 1 # ID=9_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_9_length_123825_cov_37.296666:67083-68933|+   -            617 940                  -            346   2.8e-10   37.8   0.5   2   2   1.5e-12     1e-09   36.0   0.1   110   223   152   268   132   306 0.86 NODE_9_length_123825_cov_37.296666_62 # 67083 # 68933 # 1 # ID=9_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_31_length_58399_cov_38.812466:1434-3350|-     -            639 940                  -            346   5.3e-08   30.3   0.0   1   2      0.26   1.9e+02   -1.1   0.0   164   203     5    44     2    83 0.75 NODE_31_length_58399_cov_38.812466_2 # 1434 # 3350 # -1 # ID=31_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_31_length_58399_cov_38.812466:1434-3350|-     -            639 940                  -            346   5.3e-08   30.3   0.0   2   2   3.3e-10   2.4e-07   28.2   0.0    96   206   124   244   105   281 0.83 NODE_31_length_58399_cov_38.812466_2 # 1434 # 3350 # -1 # ID=31_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_3_length_152663_cov_37.088930:126326-127678|- -            451 940                  -            346   1.4e-05   22.3   0.1   1   2   8.6e-08   6.2e-05   20.3   0.0   127   176   177   226   164   260 0.86 NODE_3_length_152663_cov_37.088930_110 # 126326 # 127678 # -1 # ID=3_110;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_3_length_152663_cov_37.088930:126326-127678|- -            451 940                  -            346   1.4e-05   22.3   0.1   2   2      0.24   1.7e+02   -0.9   0.0   253   315   370   428   363   443 0.62 NODE_3_length_152663_cov_37.088930_110 # 126326 # 127678 # -1 # ID=3_110;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_13_length_92664_cov_37.475885:5257-6093|+     -            279 940                  -            346   0.00022   18.5   0.2   1   1   4.7e-07   0.00034   17.9   0.2    77   194    64   172    40   182 0.73 NODE_13_length_92664_cov_37.475885_9 # 5257 # 6093 # 1 # ID=13_9;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_58_length_27727_cov_38.767101:27136-27519|-   -            128 940                  -            346    0.0011   16.2   0.0   1   1   2.3e-06    0.0017   15.6   0.0    80   134    36    99    28   116 0.79 NODE_58_length_27727_cov_38.767101_23 # 27136 # 27519 # -1 # ID=58_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.440
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/940at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/940at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/940at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:36 2025
# [ok]
