#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_23_length_80065_cov_37.437114:57732-58448|+  -            239 7373                 -            237    3e-150  496.5   8.4   1   1  8.1e-153  3.4e-150  496.4   8.4     1   237     1   237     1   237 1.00 NODE_23_length_80065_cov_37.437114_52 # 57732 # 58448 # 1 # ID=23_52;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_2_length_157429_cov_38.171358:40918-41604|+  -            229 7373                 -            237   3.3e-44  149.5   6.6   1   1   5.6e-46   2.3e-43  146.6   6.6     8   230    10   219     6   226 0.94 NODE_2_length_157429_cov_38.171358_39 # 40918 # 41604 # 1 # ID=2_39;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.525
NODE_6_length_131096_cov_36.333598:12871-13539|+  -            223 7373                 -            237   4.8e-36  122.7   7.2   1   2   2.3e-10   9.8e-08   30.0   0.6     4    73    12    81     9    86 0.92 NODE_6_length_131096_cov_36.333598_14 # 12871 # 13539 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_6_length_131096_cov_36.333598:12871-13539|+  -            223 7373                 -            237   4.8e-36  122.7   7.2   2   2   7.1e-31     3e-28   97.2   0.9   100   237    84   221    80   221 0.95 NODE_6_length_131096_cov_36.333598_14 # 12871 # 13539 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_23_length_80065_cov_37.437114:58448-59116|+  -            223 7373                 -            237   1.7e-31  107.8  10.9   1   2   3.7e-11   1.6e-08   32.7   1.9    10    72    11    73     2    79 0.91 NODE_23_length_80065_cov_37.437114_53 # 58448 # 59116 # 1 # ID=23_53;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.522
NODE_23_length_80065_cov_37.437114:58448-59116|+  -            223 7373                 -            237   1.7e-31  107.8  10.9   2   2   9.1e-26   3.8e-23   80.5   1.9   102   236    89   221    83   222 0.95 NODE_23_length_80065_cov_37.437114_53 # 58448 # 59116 # 1 # ID=23_53;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.522
NODE_28_length_70179_cov_36.796251:25353-26012|-  -            220 7373                 -            237     9e-30  102.2  10.6   1   2   1.9e-05     0.008   14.0   3.7     7    69    15    77    10    80 0.90 NODE_28_length_70179_cov_36.796251_24 # 25353 # 26012 # -1 # ID=28_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NODE_28_length_70179_cov_36.796251:25353-26012|-  -            220 7373                 -            237     9e-30  102.2  10.6   2   2   1.5e-29   6.2e-27   92.9   0.7    94   230    80   216    77   218 0.97 NODE_28_length_70179_cov_36.796251_24 # 25353 # 26012 # -1 # ID=28_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NODE_2_length_157429_cov_38.171358:41601-42317|+  -            239 7373                 -            237     3e-27   93.9   9.9   1   1   2.5e-28   1.1e-25   88.9   9.9    12   229    24   227    19   233 0.89 NODE_2_length_157429_cov_38.171358_40 # 41601 # 42317 # 1 # ID=2_40;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.501
NODE_10_length_119716_cov_38.250842:43083-43757|+ -            225 7373                 -            237   1.7e-23   81.6  16.0   1   2   5.2e-09   2.2e-06   25.6   5.9     7    68    16    77    11    99 0.84 NODE_10_length_119716_cov_38.250842_35 # 43083 # 43757 # 1 # ID=10_35;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.501
NODE_10_length_119716_cov_38.250842:43083-43757|+ -            225 7373                 -            237   1.7e-23   81.6  16.0   2   2   3.1e-20   1.3e-17   62.4   2.3   105   230    98   223    90   224 0.96 NODE_10_length_119716_cov_38.250842_35 # 43083 # 43757 # 1 # ID=10_35;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.501
