#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 5203                 -            676         0 1458.3   0.0   1   1         0         0 1458.1   0.0     1   676     1   677     1   677 1.00 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_32_length_57606_cov_39.295812:27031-27363|+   -            111 5203                 -            676   6.2e-13   46.1   0.0   1   1   7.8e-16   6.5e-13   46.0   0.0   568   674     2   108     1   110 0.89 NODE_32_length_57606_cov_39.295812_21 # 27031 # 27363 # 1 # ID=32_21;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 5203                 -            676     1e-12   45.4   0.0   1   2   1.2e-10     1e-07   28.9   0.0     9    70    52   113    44   133 0.85 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 5203                 -            676     1e-12   45.4   0.0   2   2   3.7e-06    0.0031   14.1   0.0   319   499   588   771   568   783 0.62 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 5203                 -            676   1.6e-11   41.4   0.0   1   2   3.6e-13     3e-10   37.2   0.0     7   151    34   181    28   187 0.86 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 5203                 -            676   1.6e-11   41.4   0.0   2   2     0.018        15    1.9   0.0   323   359   610   646   597   736 0.88 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 5203                 -            676   4.2e-08   30.1   0.6   1   2    0.0011      0.89    5.9   0.2    21    95    36   110    26   137 0.82 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_21_length_83220_cov_38.326345:10672-12057|-   -            462 5203                 -            676   4.2e-08   30.1   0.6   2   2   9.5e-09     8e-06   22.6   0.0   319   429   252   367   224   398 0.76 NODE_21_length_83220_cov_38.326345_13 # 10672 # 12057 # -1 # ID=21_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 5203                 -            676   0.00091   15.8   0.1   1   3   1.1e-06   0.00091   15.8   0.1    15    62    42    90    31   108 0.77 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 5203                 -            676   0.00091   15.8   0.1   2   3      0.17   1.4e+02   -1.3   0.6   221   325   415   509   400   532 0.76 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 5203                 -            676   0.00091   15.8   0.1   3   3     0.082        69   -0.3   0.1   322   342   543   564   506   573 0.75 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5203at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/5203at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5203at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:22 2025
# [ok]
