#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_625_length_50664_cov_72.003532:170-1318|+     -            383 5331                 -            381  3.6e-243  804.5   0.0   1   1  4.6e-246    4e-243  804.3   0.0     1   381     2   382     2   382 1.00 NODE_625_length_50664_cov_72.003532_1 # 170 # 1318 # 1 # ID=266_1;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_1441_length_52686_cov_76.197510:19056-19619|- -            188 5331                 -            381   1.1e-15   55.7   0.0   1   1   1.4e-18   1.2e-15   55.5   0.0   223   356    35   172     7   186 0.82 NODE_1441_length_52686_cov_76.197510_23 # 19056 # 19619 # -1 # ID=633_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_2132_length_53289_cov_67.616959:3187-4782|-   -            532 5331                 -            381   5.1e-08   30.5   0.1   1   1     1e-10   9.2e-08   29.6   0.1   218   356    35   174    15   190 0.76 NODE_2132_length_53289_cov_67.616959_4 # 3187 # 4782 # -1 # ID=1067_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_926_length_95421_cov_71.123581:92764-94341|+  -            526 5331                 -            381     7e-07   26.8   0.0   1   1   1.3e-09   1.1e-06   26.1   0.0   190   281     7    99     1   110 0.80 NODE_926_length_95421_cov_71.123581_81 # 92764 # 94341 # 1 # ID=386_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_142_length_13006_cov_73.540901:8235-9872|+    -            546 5331                 -            381   2.6e-06   24.9   0.0   1   3      0.26   2.3e+02   -1.3   0.0    74   127   203   257   191   281 0.85 NODE_142_length_13006_cov_73.540901_7 # 8235 # 9872 # 1 # ID=32_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_142_length_13006_cov_73.540901:8235-9872|+    -            546 5331                 -            381   2.6e-06   24.9   0.0   2   3   0.00036      0.32    8.1   0.0   247   281   358   391   332   418 0.76 NODE_142_length_13006_cov_73.540901_7 # 8235 # 9872 # 1 # ID=32_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_142_length_13006_cov_73.540901:8235-9872|+    -            546 5331                 -            381   2.6e-06   24.9   0.0   3   3   9.3e-06    0.0082   13.4   0.0   296   379   454   542   439   544 0.85 NODE_142_length_13006_cov_73.540901_7 # 8235 # 9872 # 1 # ID=32_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_2132_length_53289_cov_67.616959:42489-43253|+ -            255 5331                 -            381    0.0034   14.6   0.0   1   2   1.7e-05     0.015   12.5   0.0   243   280    89   126    72   133 0.84 NODE_2132_length_53289_cov_67.616959_42 # 42489 # 43253 # 1 # ID=1067_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NODE_2132_length_53289_cov_67.616959:42489-43253|+ -            255 5331                 -            381    0.0034   14.6   0.0   2   2      0.15   1.3e+02   -0.5   0.0   333   377   202   248   187   252 0.72 NODE_2132_length_53289_cov_67.616959_42 # 42489 # 43253 # 1 # ID=1067_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5331at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/5331at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5331at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:06 2025
# [ok]
