#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_39_length_47213_cov_38.868135:17283-17762|+  -            160 9806661              -            160   3.3e-72  239.6   0.2   1   1   4.3e-75   3.6e-72  239.5   0.2     1   157     1   158     1   159 0.99 NODE_39_length_47213_cov_38.868135_17 # 17283 # 17762 # 1 # ID=39_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NODE_10_length_119716_cov_38.250842:58440-59081|+ -            214 9806661              -            160   2.5e-08   32.0   0.0   1   2   1.1e-07   9.5e-05   20.3   0.0     4    61     5    66     2    77 0.70 NODE_10_length_119716_cov_38.250842_50 # 58440 # 59081 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.502
NODE_10_length_119716_cov_38.250842:58440-59081|+ -            214 9806661              -            160   2.5e-08   32.0   0.0   2   2   0.00028      0.24    9.3   0.0   120   155   172   208   161   210 0.87 NODE_10_length_119716_cov_38.250842_50 # 58440 # 59081 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.502
NODE_31_length_58399_cov_38.812466:28511-29743|-  -            411 9806661              -            160   4.6e-08   31.1   0.1   1   3   9.3e-09   7.8e-06   23.9   0.0     2    73    64   145    63   235 0.68 NODE_31_length_58399_cov_38.812466_26 # 28511 # 29743 # -1 # ID=31_26;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_31_length_58399_cov_38.812466:28511-29743|-  -            411 9806661              -            160   4.6e-08   31.1   0.1   2   3       0.2   1.7e+02    0.0   0.0    11    32   284   305   276   310 0.87 NODE_31_length_58399_cov_38.812466_26 # 28511 # 29743 # -1 # ID=31_26;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_31_length_58399_cov_38.812466:28511-29743|-  -            411 9806661              -            160   4.6e-08   31.1   0.1   3   3      0.13   1.1e+02    0.7   0.0    64    86   362   384   343   385 0.80 NODE_31_length_58399_cov_38.812466_26 # 28511 # 29743 # -1 # ID=31_26;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_10_length_119716_cov_38.250842:77160-78218|+ -            353 9806661              -            160   9.4e-06   23.6   0.0   1   2     1e-07   8.6e-05   20.5   0.0    12    74   155   215   154   220 0.89 NODE_10_length_119716_cov_38.250842_70 # 77160 # 78218 # 1 # ID=10_70;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.511
NODE_10_length_119716_cov_38.250842:77160-78218|+ -            353 9806661              -            160   9.4e-06   23.6   0.0   2   2      0.19   1.6e+02    0.1   0.0   125   156   302   336   294   340 0.79 NODE_10_length_119716_cov_38.250842_70 # 77160 # 78218 # 1 # ID=10_70;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.511
NODE_32_length_57606_cov_39.295812:51525-52958|+  -            478 9806661              -            160   5.5e-05   21.1   0.0   1   3       3.4   2.9e+03   -4.0   0.0    36    57   148   169   138   172 0.76 NODE_32_length_57606_cov_39.295812_42 # 51525 # 52958 # 1 # ID=32_42;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_32_length_57606_cov_39.295812:51525-52958|+  -            478 9806661              -            160   5.5e-05   21.1   0.0   2   3       2.8   2.3e+03   -3.7   0.0    83    97   210   224   200   228 0.76 NODE_32_length_57606_cov_39.295812_42 # 51525 # 52958 # 1 # ID=32_42;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_32_length_57606_cov_39.295812:51525-52958|+  -            478 9806661              -            160   5.5e-05   21.1   0.0   3   3     2e-07   0.00017   19.5   0.0     3    45   341   383   339   404 0.89 NODE_32_length_57606_cov_39.295812_42 # 51525 # 52958 # 1 # ID=32_42;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_4_length_139564_cov_44.158667:5707-6558|+    -            284 9806661              -            160     0.018   12.9   0.0   1   1   3.6e-05     0.031   12.2   0.0     8    42    28    61    21    98 0.77 NODE_4_length_139564_cov_44.158667_8 # 5707 # 6558 # 1 # ID=4_8;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9806661at2.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/hmmer_output/9806661at2.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9806661at2.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:23:28 2025
# [ok]
