#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2145_length_112275_cov_77.552353:94610-96499|+ -            630 2830                 -            548         0 1101.7   1.0   1   1         0         0 1097.7   1.0     1   546     1   567     1   569 0.96 NODE_2145_length_112275_cov_77.552353_89 # 94610 # 96499 # 1 # ID=1072_89;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.556
NODE_1288_length_45176_cov_69.014496:9656-11020|+   -            455 2830                 -            548  4.4e-108  360.4   0.2   1   1  1.1e-110  5.4e-108  360.1   0.2     7   375     2   376     1   385 0.95 NODE_1288_length_45176_cov_69.014496_10 # 9656 # 11020 # 1 # ID=561_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NODE_899_length_14293_cov_69.337791:9958-11331|+    -            458 2830                 -            548  1.6e-102  342.0   0.0   1   2  2.7e-103  1.3e-100  335.7   0.0    14   367    11   364     1   376 0.93 NODE_899_length_14293_cov_69.337791_10 # 9958 # 11331 # 1 # ID=380_10;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.516
NODE_899_length_14293_cov_69.337791:9958-11331|+    -            458 2830                 -            548  1.6e-102  342.0   0.0   2   2    0.0061       2.9    4.5   0.0   464   539   381   456   377   457 0.90 NODE_899_length_14293_cov_69.337791_10 # 9958 # 11331 # 1 # ID=380_10;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.516
NODE_926_length_95421_cov_71.123581:11683-13017|-   -            445 2830                 -            548     2e-99  331.8   0.0   1   1  4.9e-102   2.3e-99  331.6   0.0     5   369     3   373     1   423 0.91 NODE_926_length_95421_cov_71.123581_12 # 11683 # 13017 # -1 # ID=386_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NODE_888_length_35781_cov_80.233421:17379-18644|-   -            422 2830                 -            548   4.5e-86  287.7   0.0   1   1   1.2e-88   5.7e-86  287.4   0.0     4   368     7   380     4   393 0.89 NODE_888_length_35781_cov_80.233421_15 # 17379 # 18644 # -1 # ID=375_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.522
NODE_877_length_31483_cov_78.652222:2505-4340|+     -            612 2830                 -            548   4.1e-21   73.3   0.1   1   2     9e-07   0.00043   17.1   0.1    20    65    18    64     5   110 0.85 NODE_877_length_31483_cov_78.652222_4 # 2505 # 4340 # 1 # ID=369_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NODE_877_length_31483_cov_78.652222:2505-4340|+     -            612 2830                 -            548   4.1e-21   73.3   0.1   2   2   6.7e-18   3.2e-15   53.9   0.0   209   368   204   363   176   382 0.85 NODE_877_length_31483_cov_78.652222_4 # 2505 # 4340 # 1 # ID=369_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NODE_1999_length_25587_cov_66.390984:17957-19978|+  -            674 2830                 -            548   1.3e-08   32.1   0.8   1   2     0.012       5.7    3.5   0.0    46    97    37    80     9    93 0.68 NODE_1999_length_25587_cov_66.390984_18 # 17957 # 19978 # 1 # ID=982_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_1999_length_25587_cov_66.390984:17957-19978|+  -            674 2830                 -            548   1.3e-08   32.1   0.8   2   2   1.8e-09   8.7e-07   26.0   0.9   248   364   450   570   441   596 0.83 NODE_1999_length_25587_cov_66.390984_18 # 17957 # 19978 # 1 # ID=982_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_434_length_79075_cov_70.223480:37910-42526|-   -           1539 2830                 -            548   2.5e-08   31.1   0.0   1   2   0.00032      0.15    8.7   0.0    26    95    27   106    24   185 0.59 NODE_434_length_79075_cov_70.223480_37 # 37910 # 42526 # -1 # ID=160_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
