#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_25_length_79707_cov_37.284883:64792-65370|-   -            193 62923                -            191  7.9e-113  372.9   8.8   1   1    5e-115  8.7e-113  372.7   8.8     1   191     1   192     1   192 0.99 NODE_25_length_79707_cov_37.284883_63 # 64792 # 65370 # -1 # ID=25_63;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.546
NODE_7_length_130108_cov_39.332856:71316-71987|-   -            224 62923                -            191   2.6e-08   32.0  17.8   1   3   3.5e-05    0.0061   14.5   0.2   103   127    33    57    15    72 0.84 NODE_7_length_130108_cov_39.332856_65 # 71316 # 71987 # -1 # ID=7_65;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.579
NODE_7_length_130108_cov_39.332856:71316-71987|-   -            224 62923                -            191   2.6e-08   32.0  17.8   2   3   3.7e-07   6.4e-05   20.9   8.4   115   174    91   153    87   166 0.84 NODE_7_length_130108_cov_39.332856_65 # 71316 # 71987 # -1 # ID=7_65;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.579
NODE_7_length_130108_cov_39.332856:71316-71987|-   -            224 62923                -            191   2.6e-08   32.0  17.8   3   3      0.22        38    2.1   0.4   151   165   167   181   152   198 0.78 NODE_7_length_130108_cov_39.332856_65 # 71316 # 71987 # -1 # ID=7_65;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.579
NODE_17_length_86457_cov_41.702653:44387-45289|+   -            301 62923                -            191     3e-07   28.5  14.2   1   3    0.0036      0.63    7.9   0.4   107   127    29    50    13    63 0.80 NODE_17_length_86457_cov_41.702653_46 # 44387 # 45289 # 1 # ID=17_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_17_length_86457_cov_41.702653:44387-45289|+   -            301 62923                -            191     3e-07   28.5  14.2   2   3   2.1e-07   3.6e-05   21.7   4.8   110   167    94   154    74   173 0.83 NODE_17_length_86457_cov_41.702653_46 # 44387 # 45289 # 1 # ID=17_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_17_length_86457_cov_41.702653:44387-45289|+   -            301 62923                -            191     3e-07   28.5  14.2   3   3     0.063        11    3.8   0.0   122   144   175   198   168   204 0.77 NODE_17_length_86457_cov_41.702653_46 # 44387 # 45289 # 1 # ID=17_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_2_length_157429_cov_38.171358:70384-70926|+   -            181 62923                -            191   1.1e-06   26.7   7.2   1   2   2.6e-06   0.00045   18.2   1.5   144   174    58    88    56    98 0.87 NODE_2_length_157429_cov_38.171358_67 # 70384 # 70926 # 1 # ID=2_67;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.541
NODE_2_length_157429_cov_38.171358:70384-70926|+   -            181 62923                -            191   1.1e-06   26.7   7.2   2   2   0.00019     0.032   12.1   0.3   145   176    98   129    93   133 0.82 NODE_2_length_157429_cov_38.171358_67 # 70384 # 70926 # 1 # ID=2_67;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.541
NODE_1_length_276430_cov_40.515391:12303-12776|+   -            158 62923                -            191     2e-06   25.8   7.6   1   3     0.025       4.4    5.1   3.3   109   128     5    24     1    30 0.85 NODE_1_length_276430_cov_40.515391_14 # 12303 # 12776 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.538
NODE_1_length_276430_cov_40.515391:12303-12776|+   -            158 62923                -            191     2e-06   25.8   7.6   2   3      0.24        41    2.0   2.3   110   131    52    75    29    82 0.75 NODE_1_length_276430_cov_40.515391_14 # 12303 # 12776 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.538
NODE_1_length_276430_cov_40.515391:12303-12776|+   -            158 62923                -            191     2e-06   25.8   7.6   3   3   1.2e-08     2e-06   25.8   7.6   110   170    83   148    79   155 0.81 NODE_1_length_276430_cov_40.515391_14 # 12303 # 12776 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.538
NODE_3_length_152663_cov_37.088930:39530-40765|-   -            412 62923                -            191   2.1e-06   25.7   2.0   1   1   2.2e-08   3.9e-06   24.9   2.0   101   169   329   401   304   409 0.71 NODE_3_length_152663_cov_37.088930_35 # 39530 # 40765 # -1 # ID=3_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.511
NODE_35_length_52795_cov_36.978564:8178-11702|+    -           1175 62923                -            191   6.6e-06   24.2   8.6   1   2   4.1e-05    0.0071   14.3   0.8   143   183   686   727   682   734 0.80 NODE_35_length_52795_cov_36.978564_9 # 8178 # 11702 # 1 # ID=35_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.536
