#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 301                  -            858         0 1795.7   1.2   1   1         0         0 1795.6   1.2     1   858     1   861     1   861 0.99 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   1   6   1.2e-28   1.2e-25   87.6   0.3     1   171     1   188     1   201 0.80 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   2   6     0.065        69   -0.9   0.0   238   265   212   239   208   247 0.85 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   3   6   4.1e-07   0.00044   16.3   0.0   308   398   249   345   243   358 0.71 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   4   6   0.00011      0.12    8.3   0.1   415   441   420   446   410   473 0.87 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   5   6     0.003       3.2    3.5   0.1   616   633   553   570   540   573 0.90 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 301                  -            858   6.1e-38  128.3   8.4   6   6   1.3e-05     0.014   11.4   0.0   632   780   606   771   595   809 0.71 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 301                  -            858   3.9e-22   76.0   4.0   1   5   1.5e-08   1.5e-05   21.1   0.0    17   169    31   198    23   203 0.67 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 301                  -            858   3.9e-22   76.0   4.0   2   5   6.8e-08   7.1e-05   18.9   0.0   233   356   225   353   217   364 0.76 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 301                  -            858   3.9e-22   76.0   4.0   3   5   0.00031      0.33    6.8   0.3   174   197   404   427   376   456 0.78 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 301                  -            858   3.9e-22   76.0   4.0   4   5   6.6e-06     0.007   12.3   0.3   416   469   460   513   446   541 0.70 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 301                  -            858   3.9e-22   76.0   4.0   5   5   3.7e-06    0.0039   13.2   0.0   616   645   601   630   554   645 0.70 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 301                  -            858   3.2e-10   36.6   0.0   1   2   2.9e-12   3.1e-09   33.4   0.0    34   181     7   151     2   157 0.88 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 301                  -            858   3.2e-10   36.6   0.0   2   2      0.02        21    0.8   0.0   616   644   332   360   319   456 0.86 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 301                  -            858   7.2e-06   22.2   0.7   1   2   0.00049      0.51    6.1   0.2    48    71    36    59    24    65 0.91 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 301                  -            858   7.2e-06   22.2   0.7   2   2   1.6e-06    0.0017   14.3   0.0   611   673   260   321   236   335 0.85 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/301at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/301at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/301at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:00 2025
# [ok]
