#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_139564_cov_44.158667:53634-54701|- -            356 9808936              -            355  2.1e-128  426.3   4.9   1   1  1.9e-131  2.4e-128  426.1   4.9     3   353     5   354     3   355 0.95 NODE_4_length_139564_cov_44.158667_49 # 53634 # 54701 # -1 # ID=4_49;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_30_length_69036_cov_41.149327:19257-20405|- -            383 9808936              -            355   0.00029   18.0   3.6   1   3     6e-05     0.075   10.0   0.0     4    99     7    96     4    98 0.82 NODE_30_length_69036_cov_41.149327_20 # 19257 # 20405 # -1 # ID=30_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_30_length_69036_cov_41.149327:19257-20405|- -            383 9808936              -            355   0.00029   18.0   3.6   2   3     0.016        20    2.0   0.0   161   274   172   290   158   291 0.62 NODE_30_length_69036_cov_41.149327_20 # 19257 # 20405 # -1 # ID=30_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_30_length_69036_cov_41.149327:19257-20405|- -            383 9808936              -            355   0.00029   18.0   3.6   3   3    0.0018       2.3    5.1   0.7   302   352   327   381   317   382 0.85 NODE_30_length_69036_cov_41.149327_20 # 19257 # 20405 # -1 # ID=30_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_16_length_86943_cov_42.279511:23378-24508|+ -            377 9808936              -            355     0.001   16.1   0.0   1   3     0.001       1.3    5.9   0.0    86   167    79   161    62   173 0.76 NODE_16_length_86943_cov_42.279511_21 # 23378 # 24508 # 1 # ID=16_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_16_length_86943_cov_42.279511:23378-24508|+ -            377 9808936              -            355     0.001   16.1   0.0   2   3      0.71     9e+02   -3.4   0.0   164   187   191   212   188   213 0.77 NODE_16_length_86943_cov_42.279511_21 # 23378 # 24508 # 1 # ID=16_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_16_length_86943_cov_42.279511:23378-24508|+ -            377 9808936              -            355     0.001   16.1   0.0   3   3   0.00034      0.42    7.5   0.0   304   349   327   370   315   373 0.82 NODE_16_length_86943_cov_42.279511_21 # 23378 # 24508 # 1 # ID=16_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_39_length_47213_cov_38.868135:13406-14530|- -            375 9808936              -            355     0.006   13.6   0.3   1   2     0.072        90   -0.1   0.0    79   133    66   120    21   164 0.74 NODE_39_length_47213_cov_38.868135_14 # 13406 # 14530 # -1 # ID=39_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.480
NODE_39_length_47213_cov_38.868135:13406-14530|- -            375 9808936              -            355     0.006   13.6   0.3   2   2   4.3e-05     0.054   10.5   0.1   209   339   229   355   179   368 0.70 NODE_39_length_47213_cov_38.868135_14 # 13406 # 14530 # -1 # ID=39_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.480
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9808936at2.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/hmmer_output/9808936at2.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9808936at2.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:23:28 2025
# [ok]
