#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1441_length_52686_cov_76.197510:47313-47990|- -            226 1203                 -            172    2e-107  354.8   0.9   1   1    4e-110  2.3e-107  354.6   0.9     1   172    53   225    53   225 0.99 NODE_1441_length_52686_cov_76.197510_52 # 47313 # 47990 # -1 # ID=633_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.478
NODE_269_length_60008_cov_74.420364:44831-45355|-  -            175 1203                 -            172   1.5e-27   94.7   0.0   1   1   3.4e-30     2e-27   94.4   0.0     7   162     5   162     2   170 0.92 NODE_269_length_60008_cov_74.420364_43 # 44831 # 45355 # -1 # ID=74_43;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.522
NODE_846_length_63393_cov_76.936378:56425-57756|-  -            444 1203                 -            172    0.0018   16.4   0.0   1   1   7.8e-06    0.0046   15.0   0.0     5    34    51    80    48   111 0.86 NODE_846_length_63393_cov_76.936378_61 # 56425 # 57756 # -1 # ID=361_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.526
NODE_274_length_24805_cov_72.090103:17989-19263|-  -            425 1203                 -            172    0.0036   15.4   0.0   1   1   1.2e-05     0.007   14.4   0.0     4    38   112   146   109   163 0.86 NODE_274_length_24805_cov_72.090103_19 # 17989 # 19263 # -1 # ID=77_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_1434_length_95894_cov_75.275742:56234-56761|- -            176 1203                 -            172     0.015   13.3   0.0   1   1   5.1e-05      0.03   12.4   0.0     8    36    12    40     5    55 0.82 NODE_1434_length_95894_cov_75.275742_44 # 56234 # 56761 # -1 # ID=631_44;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.506
NODE_1792_length_20317_cov_75.392525:16148-16711|+ -            188 1203                 -            172     0.028   12.5   0.2   1   2   0.00016     0.092   10.8   0.0     7    37     6    36     1    49 0.89 NODE_1792_length_20317_cov_75.392525_14 # 16148 # 16711 # 1 # ID=834_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.436
NODE_1792_length_20317_cov_75.392525:16148-16711|+ -            188 1203                 -            172     0.028   12.5   0.2   2   2      0.51     3e+02   -0.6   0.0   102   153   104   162    82   177 0.54 NODE_1792_length_20317_cov_75.392525_14 # 16148 # 16711 # 1 # ID=834_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.436
NODE_1288_length_45176_cov_69.014496:6029-7765|-   -            579 1203                 -            172     0.029   12.4   0.6   1   2    0.0037       2.2    6.3   0.1     9    28    38    57    35    61 0.89 NODE_1288_length_45176_cov_69.014496_7 # 6029 # 7765 # -1 # ID=561_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_1288_length_45176_cov_69.014496:6029-7765|-   -            579 1203                 -            172     0.029   12.4   0.6   2   2     0.019        11    4.0   0.1     4    21   354   372   351   379 0.79 NODE_1288_length_45176_cov_69.014496_7 # 6029 # 7765 # -1 # ID=561_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NODE_2159_length_50550_cov_71.258598:36418-37101|- -            228 1203                 -            172     0.034   12.2   0.0   1   2   0.00019      0.11   10.6   0.0     8    56     9    57     5    88 0.84 NODE_2159_length_50550_cov_71.258598_29 # 36418 # 37101 # -1 # ID=1079_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.534
NODE_2159_length_50550_cov_71.258598:36418-37101|- -            228 1203                 -            172     0.034   12.2   0.0   2   2      0.86     5e+02   -1.4   0.0    93   126   161   194   149   214 0.70 NODE_2159_length_50550_cov_71.258598_29 # 36418 # 37101 # -1 # ID=1079_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.534
