#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_139564_cov_44.158667:59692-61179|- -            496 1939                 -            494  4.8e-293  970.3   0.0   1   1  6.4e-296  5.4e-293  970.1   0.0     1   493     1   493     1   494 1.00 NODE_4_length_139564_cov_44.158667_54 # 59692 # 61179 # -1 # ID=4_54;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NODE_4_length_139564_cov_44.158667:58337-59695|- -            453 1939                 -            494   1.8e-15   54.7   0.2   1   1   1.1e-16   9.4e-14   49.0   0.2    18   352    20   326     4   348 0.82 NODE_4_length_139564_cov_44.158667_53 # 58337 # 59695 # -1 # ID=4_53;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.553
NODE_4_length_139564_cov_44.158667:55942-57258|- -            439 1939                 -            494   8.4e-10   36.0   6.9   1   2    0.0001     0.088    9.6   2.5   110   145   106   141   100   147 0.90 NODE_4_length_139564_cov_44.158667_51 # 55942 # 57258 # -1 # ID=4_51;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_4_length_139564_cov_44.158667:55942-57258|- -            439 1939                 -            494   8.4e-10   36.0   6.9   2   2   9.8e-10   8.3e-07   26.1   0.1   172   278   147   253   143   352 0.75 NODE_4_length_139564_cov_44.158667_51 # 55942 # 57258 # -1 # ID=4_51;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:48010-49383|- -            458 1939                 -            494   1.5e-05   22.0   0.1   1   2     0.013        11    2.6   0.0   111   131   105   124    88   142 0.82 NODE_18_length_85840_cov_40.696849_41 # 48010 # 49383 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NODE_18_length_85840_cov_40.696849:48010-49383|- -            458 1939                 -            494   1.5e-05   22.0   0.1   2   2     5e-07   0.00042   17.2   0.0   276   378   249   350   167   358 0.76 NODE_18_length_85840_cov_40.696849_41 # 48010 # 49383 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NODE_2_length_157429_cov_38.171358:33892-35160|+ -            423 1939                 -            494     2e-05   21.6   0.0   1   2     0.014        12    2.6   0.0   111   132    51    72    26    83 0.71 NODE_2_length_157429_cov_38.171358_32 # 33892 # 35160 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.558
NODE_2_length_157429_cov_38.171358:33892-35160|+ -            423 1939                 -            494     2e-05   21.6   0.0   2   2   1.5e-06    0.0013   15.6   0.0   269   470   215   407   205   418 0.75 NODE_2_length_157429_cov_38.171358_32 # 33892 # 35160 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.558
NODE_4_length_139564_cov_44.158667:52105-53580|- -            492 1939                 -            494   0.00035   17.5   0.1   1   3    0.0041       3.4    4.3   0.0   112   129   122   139   107   153 0.87 NODE_4_length_139564_cov_44.158667_48 # 52105 # 53580 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.545
NODE_4_length_139564_cov_44.158667:52105-53580|- -            492 1939                 -            494   0.00035   17.5   0.1   2   3   0.00017      0.14    8.9   0.0   197   252   185   242   179   250 0.83 NODE_4_length_139564_cov_44.158667_48 # 52105 # 53580 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.545
NODE_4_length_139564_cov_44.158667:52105-53580|- -            492 1939                 -            494   0.00035   17.5   0.1   3   3       0.1        87   -0.3   0.0   349   374   343   368   337   379 0.85 NODE_4_length_139564_cov_44.158667_48 # 52105 # 53580 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.545
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1939at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/1939at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1939at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:13 2025
# [ok]
