#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2296_length_2628_cov_68.717659:1-1200|+       -            400 4903                 -            432  7.4e-260  860.3   0.0   1   1  7.8e-263  8.3e-260  860.2   0.0    34   432     1   399     1   399 1.00 NODE_2296_length_2628_cov_68.717659_1 # 1 # 1200 # 1 # ID=1151_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NODE_2203_length_18352_cov_67.631538:9006-10139|-  -            378 4903                 -            432   5.3e-13   46.9   1.6   1   1   1.4e-14   1.5e-11   42.2   1.6   208   338   166   298     3   311 0.88 NODE_2203_length_18352_cov_67.631538_9 # 9006 # 10139 # -1 # ID=1097_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540
NODE_1441_length_52686_cov_76.197510:22801-25344|+ -            848 4903                 -            432   2.2e-11   41.6   0.1   1   2     0.092        97   -0.1   0.0   106   123    95   112    71   120 0.81 NODE_1441_length_52686_cov_76.197510_28 # 22801 # 25344 # 1 # ID=633_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_1441_length_52686_cov_76.197510:22801-25344|+ -            848 4903                 -            432   2.2e-11   41.6   0.1   2   2   2.9e-13   3.1e-10   37.8   0.2   231   345   194   309   145   318 0.84 NODE_1441_length_52686_cov_76.197510_28 # 22801 # 25344 # 1 # ID=633_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_926_length_95421_cov_71.123581:52531-53733|-  -            401 4903                 -            432   4.8e-08   30.6   6.2   1   4      0.22   2.3e+02   -1.3   0.1     3    21     3    21     1    26 0.68 NODE_926_length_95421_cov_71.123581_46 # 52531 # 53733 # -1 # ID=386_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_926_length_95421_cov_71.123581:52531-53733|-  -            401 4903                 -            432   4.8e-08   30.6   6.2   2   4       0.9   9.5e+02   -3.3   0.0    94   147    81   136    77   140 0.64 NODE_926_length_95421_cov_71.123581_46 # 52531 # 53733 # -1 # ID=386_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_926_length_95421_cov_71.123581:52531-53733|-  -            401 4903                 -            432   4.8e-08   30.6   6.2   3   4    0.0026       2.7    5.0   0.3     3    25   144   166   142   176 0.79 NODE_926_length_95421_cov_71.123581_46 # 52531 # 53733 # -1 # ID=386_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_926_length_95421_cov_71.123581:52531-53733|-  -            401 4903                 -            432   4.8e-08   30.6   6.2   4   4   1.6e-10   1.7e-07   28.8   0.3   205   325   166   287   161   309 0.80 NODE_926_length_95421_cov_71.123581_46 # 52531 # 53733 # -1 # ID=386_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.542
NODE_1229_length_78306_cov_70.440285:36854-38179|- -            442 4903                 -            432    0.0003   18.1   0.3   1   2         2   2.1e+03   -4.4   0.1     7    24     7    24     5    29 0.67 NODE_1229_length_78306_cov_70.440285_34 # 36854 # 38179 # -1 # ID=529_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.456
NODE_1229_length_78306_cov_70.440285:36854-38179|- -            442 4903                 -            432    0.0003   18.1   0.3   2   2   2.9e-07    0.0003   18.1   0.3   206   315   181   294   160   299 0.82 NODE_1229_length_78306_cov_70.440285_34 # 36854 # 38179 # -1 # ID=529_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.456
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4903at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/4903at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4903at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:04 2025
# [ok]
