#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1434_length_95894_cov_75.275742:2-1441|+       -            480 886                  -            849         0 1020.1   5.2   1   1         0         0 1020.0   5.2   372   849     1   479     1   479 0.99 NODE_1434_length_95894_cov_75.275742_1 # 2 # 1441 # 1 # ID=631_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.560
NODE_1441_length_52686_cov_76.197510:51641-52705|+  -            355 886                  -            849  6.9e-231  767.0   1.8   1   1  8.8e-234  7.8e-231  766.9   1.8     1   355     1   355     1   355 1.00 NODE_1441_length_52686_cov_76.197510_58 # 51641 # 52705 # 1 # ID=633_58;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_1204_length_64359_cov_77.399834:10947-13469|+  -            841 886                  -            849   1.3e-79  266.6   3.9   1   3   6.6e-53   5.8e-50  168.5   0.0    64   305   211   456   181   464 0.92 NODE_1204_length_64359_cov_77.399834_11 # 10947 # 13469 # 1 # ID=516_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NODE_1204_length_64359_cov_77.399834:10947-13469|+  -            841 886                  -            849   1.3e-79  266.6   3.9   2   3   4.4e-24   3.8e-21   73.2   0.1   422   609   467   657   460   668 0.93 NODE_1204_length_64359_cov_77.399834_11 # 10947 # 13469 # 1 # ID=516_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NODE_1204_length_64359_cov_77.399834:10947-13469|+  -            841 886                  -            849   1.3e-79  266.6   3.9   3   3   2.1e-09   1.9e-06   24.6   0.7   697   746   680   729   672   747 0.86 NODE_1204_length_64359_cov_77.399834_11 # 10947 # 13469 # 1 # ID=516_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NODE_926_length_95421_cov_71.123581:77975-80287|+   -            771 886                  -            849   5.8e-56  188.4   0.0   1   3   2.2e-41     2e-38  130.4   0.0    65   256    63   254    41   266 0.92 NODE_926_length_95421_cov_71.123581_69 # 77975 # 80287 # 1 # ID=386_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_926_length_95421_cov_71.123581:77975-80287|+   -            771 886                  -            849   5.8e-56  188.4   0.0   2   3   1.8e-17   1.6e-14   51.3   0.0   396   583   270   458   258   462 0.86 NODE_926_length_95421_cov_71.123581_69 # 77975 # 80287 # 1 # ID=386_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_926_length_95421_cov_71.123581:77975-80287|+   -            771 886                  -            849   5.8e-56  188.4   0.0   3   3    0.0074       6.5    2.9   0.1   714   751   510   547   504   562 0.84 NODE_926_length_95421_cov_71.123581_69 # 77975 # 80287 # 1 # ID=386_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
NODE_2145_length_112275_cov_77.552353:52663-53391|+ -            243 886                  -            849   2.7e-27   93.5   0.0   1   1   3.4e-30     3e-27   93.3   0.0    69   231    67   229    55   242 0.93 NODE_2145_length_112275_cov_77.552353_45 # 52663 # 53391 # 1 # ID=1072_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.519
NODE_1062_length_63423_cov_73.241127:955-2856|-     -            634 886                  -            849    0.0045   13.4   0.1   1   2   2.1e-05     0.019   11.3   0.0   449   551   314   414   229   423 0.89 NODE_1062_length_63423_cov_73.241127_2 # 955 # 2856 # -1 # ID=442_2;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.528
NODE_1062_length_63423_cov_73.241127:955-2856|-     -            634 886                  -            849    0.0045   13.4   0.1   2   2      0.42   3.7e+02   -2.9   0.0   567   598   459   490   452   498 0.80 NODE_1062_length_63423_cov_73.241127_2 # 955 # 2856 # -1 # ID=442_2;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.528
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/886at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/886at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/886at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:16 2025
# [ok]
