#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_12_length_106079_cov_39.536715:40573-42399|+ -            609 59388                -            592  1.3e-300  996.3   0.0   1   1  1.8e-303  1.6e-300  996.0   0.0     1   591     3   604     3   605 0.97 NODE_12_length_106079_cov_39.536715_37 # 40573 # 42399 # 1 # ID=12_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_94_length_10514_cov_65.809858:144-4877|+     -           1578 59388                -            592   1.4e-05   22.0   0.2   1   2     7e-05     0.059   10.1   0.1   226   297   860   931   758   937 0.83 NODE_94_length_10514_cov_65.809858_1 # 144 # 4877 # 1 # ID=94_1;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_94_length_10514_cov_65.809858:144-4877|+     -           1578 59388                -            592   1.4e-05   22.0   0.2   2   2   0.00099      0.83    6.3   0.0   519   580  1217  1281  1196  1288 0.75 NODE_94_length_10514_cov_65.809858_1 # 144 # 4877 # 1 # ID=94_1;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_16_length_86943_cov_42.279511:49683-51845|+  -            721 59388                -            592   0.00013   18.9   0.0   1   2   3.5e-05     0.029   11.1   0.0   151   209    16    77     5   130 0.88 NODE_16_length_86943_cov_42.279511_45 # 49683 # 51845 # 1 # ID=16_45;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.574
NODE_16_length_86943_cov_42.279511:49683-51845|+  -            721 59388                -            592   0.00013   18.9   0.0   2   2    0.0022       1.8    5.1   0.0   522   571   556   618   549   634 0.71 NODE_16_length_86943_cov_42.279511_45 # 49683 # 51845 # 1 # ID=16_45;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.574
NODE_16_length_86943_cov_42.279511:13924-15945|+  -            674 59388                -            592    0.0041   13.9   0.4   1   2   0.00026      0.22    8.2   0.4   155   211    13    72     8    83 0.83 NODE_16_length_86943_cov_42.279511_13 # 13924 # 15945 # 1 # ID=16_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_16_length_86943_cov_42.279511:13924-15945|+  -            674 59388                -            592    0.0041   13.9   0.4   2   2    0.0089       7.4    3.1   0.0   522   565   554   608   547   614 0.76 NODE_16_length_86943_cov_42.279511_13 # 13924 # 15945 # 1 # ID=16_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_14_length_92032_cov_37.540264:5054-5842|-    -            263 59388                -            592     0.024   11.4   0.1   1   1   0.00017      0.14    8.8   0.1   233   289   158   214    68   218 0.63 NODE_14_length_92032_cov_37.540264_5 # 5054 # 5842 # -1 # ID=14_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_29_length_69919_cov_43.020805:57502-59010|-  -            503 59388                -            592     0.059   10.1   0.1   1   3     0.049        41    0.7   0.0   160   180    20    40    10    49 0.82 NODE_29_length_69919_cov_43.020805_56 # 57502 # 59010 # -1 # ID=29_56;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
NODE_29_length_69919_cov_43.020805:57502-59010|-  -            503 59388                -            592     0.059   10.1   0.1   2   3     0.098        83   -0.3   0.0   271   289   204   220   183   224 0.75 NODE_29_length_69919_cov_43.020805_56 # 57502 # 59010 # -1 # ID=29_56;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
NODE_29_length_69919_cov_43.020805:57502-59010|-  -            503 59388                -            592     0.059   10.1   0.1   3   3    0.0023       1.9    5.1   0.0   551   568   452   469   381   479 0.71 NODE_29_length_69919_cov_43.020805_56 # 57502 # 59010 # -1 # ID=29_56;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/59388at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/59388at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/59388at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:26 2025
# [ok]
