#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2145_length_112275_cov_77.552353:91302-93437|+ -            712 9804305              -            706         0 1098.9   7.7   1   1         0         0 1098.7   7.7     3   701     3   698     1   703 0.99 NODE_2145_length_112275_cov_77.552353_87 # 91302 # 93437 # 1 # ID=1072_87;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   1   6     0.022        23    1.3   0.1   623   699    20    93     6   104 0.73 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   2   6   0.00087      0.91    5.9   0.3   622   704   103   182    83   184 0.70 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   3   6     2e-19   2.2e-16   57.5   0.1   616   697   184   264   182   268 0.93 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   4   6   8.5e-19     9e-16   55.5   0.1   617   699   270   353   267   359 0.90 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   5   6   6.5e-15   6.9e-12   42.6   0.1   617   698   357   439   354   444 0.89 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_2159_length_50550_cov_71.258598:34823-36307|-  -            495 9804305              -            706   7.4e-50  168.1  15.4   6   6   4.1e-06    0.0043   13.6   0.0   616   663   443   490   437   493 0.89 NODE_2159_length_50550_cov_71.258598_28 # 34823 # 36307 # -1 # ID=1079_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NODE_1434_length_95894_cov_75.275742:13474-15795|+  -            774 9804305              -            706   1.5e-18   64.7   0.1   1   1   2.3e-21   2.5e-18   63.9   0.1   617   697   644   724   634   732 0.90 NODE_1434_length_95894_cov_75.275742_12 # 13474 # 15795 # 1 # ID=631_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.570
NODE_1539_length_37792_cov_75.811783:15265-15981|-  -            239 9804305              -            706   7.2e-14   49.2   1.7   1   2   4.3e-12   4.6e-09   33.3   0.1   316   454     2   140     1   147 0.84 NODE_1539_length_37792_cov_75.811783_19 # 15265 # 15981 # -1 # ID=694_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_1539_length_37792_cov_75.811783:15265-15981|-  -            239 9804305              -            706   7.2e-14   49.2   1.7   2   2   1.3e-06    0.0013   15.2   0.3   144   222   154   235   149   238 0.86 NODE_1539_length_37792_cov_75.811783_19 # 15265 # 15981 # -1 # ID=694_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_1570_length_36954_cov_78.025352:31609-34050|+  -            814 9804305              -            706   2.9e-05   20.7   0.0   1   1   4.9e-08   5.2e-05   19.9   0.0   621   695   641   727   616   738 0.71 NODE_1570_length_36954_cov_78.025352_31 # 31609 # 34050 # 1 # ID=708_31;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.552
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/auto_lineage/run_bacteria_odb12/hmmer_output/9804305at2.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:18:22 2025
# [ok]
