#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_126545_cov_41.885285:105354-107489|+ -            712 9804305              -            706         0 1098.9   7.7   1   1         0         0 1098.7   7.7     3   701     3   698     1   703 0.99 NODE_8_length_126545_cov_41.885285_100 # 105354 # 107489 # 1 # ID=8_100;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   1   6     0.027        27    0.9   0.1   623   699    20    93     6   100 0.72 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   2   6     0.001         1    5.6   0.3   622   704   103   182    83   184 0.70 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   3   6   2.5e-19   2.6e-16   57.2   0.1   616   697   184   264   182   267 0.93 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   4   6     9e-19   9.1e-16   55.4   0.1   617   699   270   353   266   360 0.89 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   5   6   7.7e-15   7.8e-12   42.4   0.1   617   698   357   439   354   444 0.89 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_36_length_50779_cov_38.268459:34740-36413|-   -            558 9804305              -            706   1.9e-56  189.9  19.6   6   6   2.3e-14   2.4e-11   40.8   0.4   614   701   441   528   433   533 0.90 NODE_36_length_50779_cov_38.268459_28 # 34740 # 36413 # -1 # ID=36_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_1_length_276430_cov_40.515391:207741-210062|- -            774 9804305              -            706   1.4e-18   64.7   0.1   1   1   2.3e-21   2.3e-18   63.9   0.1   617   697   644   724   634   732 0.90 NODE_1_length_276430_cov_40.515391_183 # 207741 # 210062 # -1 # ID=1_183;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.570
NODE_39_length_47213_cov_38.868135:24557-25273|-   -            239 9804305              -            706   6.9e-14   49.2   1.7   1   2   4.3e-12   4.4e-09   33.3   0.1   316   454     2   140     1   147 0.84 NODE_39_length_47213_cov_38.868135_27 # 24557 # 25273 # -1 # ID=39_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_39_length_47213_cov_38.868135:24557-25273|-   -            239 9804305              -            706   6.9e-14   49.2   1.7   2   2   1.3e-06    0.0013   15.2   0.3   144   222   154   235   149   238 0.86 NODE_39_length_47213_cov_38.868135_27 # 24557 # 25273 # -1 # ID=39_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_29_length_69919_cov_43.020805:8666-11107|-    -            814 9804305              -            706   2.8e-05   20.7   0.0   1   1   4.9e-08   4.9e-05   19.9   0.0   621   695   641   727   616   738 0.71 NODE_29_length_69919_cov_43.020805_12 # 8666 # 11107 # -1 # ID=29_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.552
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/auto_lineage/run_bacteria_odb12/hmmer_output/9804305at2.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/bacteria_odb12/hmms/9804305at2.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:23:27 2025
# [ok]
