#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_820_length_11940_cov_68.144218:2815-4053|-    -            413 7021                 -            413  3.2e-235  778.8   4.3   1   1  3.4e-238  3.6e-235  778.7   4.3     2   413     1   412     1   412 1.00 NODE_820_length_11940_cov_68.144218_4 # 2815 # 4053 # -1 # ID=357_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.511
NODE_820_length_11940_cov_68.144218:4753-5952|-    -            400 7021                 -            413   3.7e-53  179.1   0.1   1   1   5.7e-56     6e-53  178.4   0.1     3   411     4   397     2   399 0.91 NODE_820_length_11940_cov_68.144218_6 # 4753 # 5952 # -1 # ID=357_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.546
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 7021                 -            413   2.9e-05   21.4   7.6   1   3   4.9e-05     0.052   10.7   1.0   272   347   245   320   231   326 0.83 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 7021                 -            413   2.9e-05   21.4   7.6   2   3     0.004       4.3    4.4   0.0   144   184   570   610   562   615 0.88 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 7021                 -            413   2.9e-05   21.4   7.6   3   3   0.00036      0.38    7.8   1.0   273   336   683   743   664   759 0.73 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_1434_length_95894_cov_75.275742:77924-78982|- -            353 7021                 -            413    0.0003   18.1   4.8   1   1   4.5e-07   0.00048   17.4   4.8   274   366   226   320   220   341 0.87 NODE_1434_length_95894_cov_75.275742_67 # 77924 # 78982 # -1 # ID=631_67;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.539
NODE_1709_length_68036_cov_72.575531:36910-38856|- -            649 7021                 -            413    0.0017   15.6   7.2   1   3      0.14   1.4e+02   -0.7   0.3   331   351   276   296   256   318 0.47 NODE_1709_length_68036_cov_72.575531_34 # 36910 # 38856 # -1 # ID=785_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_1709_length_68036_cov_72.575531:36910-38856|- -            649 7021                 -            413    0.0017   15.6   7.2   2   3   1.6e-06    0.0017   15.6   7.2   271   346   523   600   516   607 0.89 NODE_1709_length_68036_cov_72.575531_34 # 36910 # 38856 # -1 # ID=785_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_1709_length_68036_cov_72.575531:36910-38856|- -            649 7021                 -            413    0.0017   15.6   7.2   3   3      0.03        32    1.5   0.0   383   410   618   645   601   648 0.80 NODE_1709_length_68036_cov_72.575531_34 # 36910 # 38856 # -1 # ID=785_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7021at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/7021at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/7021at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:12 2025
# [ok]
