#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2145_length_112275_cov_77.552353:8694-9737|+  -            348 940                  -            346  1.1e-239  792.4   5.7   1   1  1.6e-242  1.2e-239  792.2   5.7     1   346     1   346     1   346 1.00 NODE_2145_length_112275_cov_77.552353_8 # 8694 # 9737 # 1 # ID=1072_8;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.545
NODE_1062_length_63423_cov_73.241127:16923-18035|- -            371 940                  -            346   5.5e-13   46.8   0.0   1   1   4.4e-15   3.3e-12   44.2   0.0    93   199   100   211     3   227 0.63 NODE_1062_length_63423_cov_73.241127_18 # 16923 # 18035 # -1 # ID=442_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.498
NODE_926_length_95421_cov_71.123581:66691-68541|+  -            617 940                  -            346   2.9e-10   37.8   0.5   1   2      0.47   3.6e+02   -1.9   0.0    15    36    24    47    21    98 0.57 NODE_926_length_95421_cov_71.123581_62 # 66691 # 68541 # 1 # ID=386_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_926_length_95421_cov_71.123581:66691-68541|+  -            617 940                  -            346   2.9e-10   37.8   0.5   2   2   1.5e-12   1.1e-09   36.0   0.1   110   223   152   268   132   306 0.86 NODE_926_length_95421_cov_71.123581_62 # 66691 # 68541 # 1 # ID=386_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_2129_length_51924_cov_72.758377:48702-50618|+ -            639 940                  -            346   5.6e-08   30.3   0.0   1   2      0.26     2e+02   -1.1   0.0   164   203     5    44     2    83 0.75 NODE_2129_length_51924_cov_72.758377_50 # 48702 # 50618 # 1 # ID=1066_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.512
NODE_2129_length_51924_cov_72.758377:48702-50618|+ -            639 940                  -            346   5.6e-08   30.3   0.0   2   2   3.3e-10   2.5e-07   28.2   0.0    96   206   124   244   105   281 0.83 NODE_2129_length_51924_cov_72.758377_50 # 48702 # 50618 # 1 # ID=1066_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.512
NODE_1155_length_53173_cov_69.651268:27203-28555|- -            451 940                  -            346   1.5e-05   22.3   0.1   1   2   8.6e-08   6.5e-05   20.3   0.0   127   176   177   226   164   260 0.86 NODE_1155_length_53173_cov_69.651268_24 # 27203 # 28555 # -1 # ID=488_24;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_1155_length_53173_cov_69.651268:27203-28555|- -            451 940                  -            346   1.5e-05   22.3   0.1   2   2      0.24   1.8e+02   -0.9   0.0   253   315   370   428   363   443 0.62 NODE_1155_length_53173_cov_69.651268_24 # 27203 # 28555 # -1 # ID=488_24;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562
NODE_215_length_65836_cov_69.504402:119-955|+      -            279 940                  -            346   0.00023   18.5   0.2   1   1   4.7e-07   0.00035   17.9   0.2    77   194    64   172    40   182 0.73 NODE_215_length_65836_cov_69.504402_2 # 119 # 955 # 1 # ID=52_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_1550_length_27465_cov_72.496376:27001-27384|- -            128 940                  -            346    0.0011   16.2   0.0   1   1   2.3e-06    0.0018   15.6   0.0    80   134    36    99    28   116 0.79 NODE_1550_length_27465_cov_72.496376_23 # 27001 # 27384 # -1 # ID=699_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.440
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/940at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/940at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/940at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:16 2025
# [ok]
