#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_157429_cov_38.171358:44233-45126|-   -            298 6641                 -            297  7.8e-174  575.2   0.0   1   1  2.4e-176  8.7e-174  575.0   0.0     1   296     1   296     1   297 1.00 NODE_2_length_157429_cov_38.171358_43 # 44233 # 45126 # -1 # ID=2_43;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.557
NODE_74_length_16201_cov_34.268197:6876-7871|-     -            332 6641                 -            297   3.1e-08   31.5   0.0   1   1   1.3e-10   4.8e-08   30.9   0.0     2   243     4   244     3   254 0.77 NODE_74_length_16201_cov_34.268197_8 # 6876 # 7871 # -1 # ID=74_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.450
NODE_27_length_73011_cov_40.630920:20214-21128|+   -            305 6641                 -            297     4e-07   27.8   0.0   1   2   4.5e-08   1.6e-05   22.5   0.1     3    68     5    72     3    84 0.75 NODE_27_length_73011_cov_40.630920_21 # 20214 # 21128 # 1 # ID=27_21;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.549
NODE_27_length_73011_cov_40.630920:20214-21128|+   -            305 6641                 -            297     4e-07   27.8   0.0   2   2     0.039        14    3.1   0.0   150   212   134   197   122   207 0.78 NODE_27_length_73011_cov_40.630920_21 # 20214 # 21128 # 1 # ID=27_21;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.549
NODE_23_length_80065_cov_37.437114:51700-53130|+   -            477 6641                 -            297   3.1e-06   24.9   0.0   1   2   2.8e-08     1e-05   23.3   0.0     2    49     4    51     3    88 0.84 NODE_23_length_80065_cov_37.437114_45 # 51700 # 53130 # 1 # ID=23_45;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_23_length_80065_cov_37.437114:51700-53130|+   -            477 6641                 -            297   3.1e-06   24.9   0.0   2   2      0.94   3.4e+02   -1.5   0.0   151   247   133   233   113   239 0.70 NODE_23_length_80065_cov_37.437114_45 # 51700 # 53130 # 1 # ID=23_45;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NODE_37_length_49199_cov_38.911069:39952-40968|-   -            339 6641                 -            297   7.5e-06   23.7   0.1   1   1   8.5e-08   3.1e-05   21.7   0.1     1    42     1    42     1   144 0.56 NODE_37_length_49199_cov_38.911069_37 # 39952 # 40968 # -1 # ID=37_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_16_length_86943_cov_42.279511:25767-26834|+   -            356 6641                 -            297   4.9e-05   21.0   0.0   1   3   9.8e-06    0.0035   14.9   0.0     2    33     3    34     1    61 0.84 NODE_16_length_86943_cov_42.279511_23 # 25767 # 26834 # 1 # ID=16_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_16_length_86943_cov_42.279511:25767-26834|+   -            356 6641                 -            297   4.9e-05   21.0   0.0   2   3       2.6   9.4e+02   -2.9   0.0   100   124    88   112    79   132 0.62 NODE_16_length_86943_cov_42.279511_23 # 25767 # 26834 # 1 # ID=16_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_16_length_86943_cov_42.279511:25767-26834|+   -            356 6641                 -            297   4.9e-05   21.0   0.0   3   3     0.028        10    3.6   0.0   189   218   217   246   198   274 0.75 NODE_16_length_86943_cov_42.279511_23 # 25767 # 26834 # 1 # ID=16_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_43_length_41508_cov_43.498876:7736-9112|+     -            459 6641                 -            297   0.00038   18.1   0.6   1   2    0.0012      0.44    8.0   0.0     1    40     1    39     1    67 0.85 NODE_43_length_41508_cov_43.498876_11 # 7736 # 9112 # 1 # ID=43_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503
