#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 5203                 -            676         0 1458.3   0.0   1   1         0         0 1458.1   0.0     1   676     1   677     1   677 1.00 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_299_length_31306_cov_74.835876:4093-4425|-  -            111 5203                 -            676   6.5e-13   46.1   0.0   1   1   7.8e-16   6.8e-13   46.0   0.0   568   674     2   108     1   110 0.89 NODE_299_length_31306_cov_74.835876_4 # 4093 # 4425 # -1 # ID=91_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 5203                 -            676   1.1e-12   45.4   0.0   1   2   1.2e-10   1.1e-07   28.9   0.0     9    70    52   113    44   133 0.85 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 5203                 -            676   1.1e-12   45.4   0.0   2   2   3.7e-06    0.0033   14.1   0.0   319   499   588   771   568   783 0.62 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 5203                 -            676   1.7e-11   41.4   0.0   1   2   3.6e-13   3.2e-10   37.2   0.0     7   151    34   181    28   187 0.86 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 5203                 -            676   1.7e-11   41.4   0.0   2   2     0.018        16    1.9   0.0   323   359   611   647   598   737 0.88 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 5203                 -            676   4.5e-08   30.1   0.6   1   2    0.0011      0.94    5.9   0.2    21    95    36   110    26   137 0.82 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 5203                 -            676   4.5e-08   30.1   0.6   2   2   9.5e-09   8.4e-06   22.6   0.0   319   429   252   367   224   398 0.76 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 5203                 -            676   0.00096   15.8   0.1   1   3   1.1e-06   0.00096   15.8   0.1    15    62    42    90    31   108 0.77 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 5203                 -            676   0.00096   15.8   0.1   2   3      0.17   1.5e+02   -1.3   0.6   221   325   415   509   400   532 0.76 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 5203                 -            676   0.00096   15.8   0.1   3   3     0.082        72   -0.3   0.1   322   342   543   564   506   573 0.75 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5203at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/5203at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5203at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:05 2025
# [ok]
