#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2145_length_112275_cov_77.552353:1-711|-      -            237 5616                 -            293  7.9e-160  529.1   0.6   1   1  1.5e-162  8.8e-160  528.9   0.6     1   237     1   237     1   237 1.00 NODE_2145_length_112275_cov_77.552353_1 # 1 # 711 # -1 # ID=1072_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NODE_718_length_90501_cov_69.003258:41707-42678|-  -            324 5616                 -            293   0.00036   18.1   0.0   1   1     1e-06   0.00059   17.4   0.0   156   193   120   155   111   237 0.75 NODE_718_length_90501_cov_69.003258_40 # 41707 # 42678 # -1 # ID=299_40;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.522
NODE_299_length_31306_cov_74.835876:17472-18608|-  -            379 5616                 -            293   0.00072   17.1   0.0   1   2       2.7   1.6e+03   -3.7   0.0   196   219    79   102    73   128 0.74 NODE_299_length_31306_cov_74.835876_15 # 17472 # 18608 # -1 # ID=91_15;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.541
NODE_299_length_31306_cov_74.835876:17472-18608|-  -            379 5616                 -            293   0.00072   17.1   0.0   2   2   2.6e-06    0.0015   16.1   0.0   159   205   230   276   211   293 0.85 NODE_299_length_31306_cov_74.835876_15 # 17472 # 18608 # -1 # ID=91_15;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.541
NODE_2129_length_51924_cov_72.758377:2969-4042|-   -            358 5616                 -            293    0.0017   15.9   0.0   1   1   4.8e-06    0.0028   15.2   0.0   161   208   199   247   173   257 0.84 NODE_2129_length_51924_cov_72.758377_5 # 2969 # 4042 # -1 # ID=1066_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_644_length_31137_cov_72.486465:3913-4635|-    -            241 5616                 -            293    0.0023   15.5   0.0   1   1   4.8e-06    0.0028   15.2   0.0   157   207    55   104    39   159 0.83 NODE_644_length_31137_cov_72.486465_3 # 3913 # 4635 # -1 # ID=277_3;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.539
NODE_2159_length_50550_cov_71.258598:23982-24767|- -            262 5616                 -            293    0.0046   14.5   0.0   1   1     1e-05     0.006   14.1   0.0   160   233    46   118    25   153 0.70 NODE_2159_length_50550_cov_71.258598_18 # 23982 # 24767 # -1 # ID=1079_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NODE_679_length_36641_cov_70.533279:14520-15452|+  -            311 5616                 -            293     0.016   12.7   0.1   1   2       3.8   2.2e+03   -4.2   0.0   211   224    52    65    48    67 0.87 NODE_679_length_36641_cov_70.533279_15 # 14520 # 15452 # 1 # ID=288_15;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_679_length_36641_cov_70.533279:14520-15452|+  -            311 5616                 -            293     0.016   12.7   0.1   2   2   4.9e-05     0.029   11.9   0.0   159   209   133   184   116   221 0.82 NODE_679_length_36641_cov_70.533279_15 # 14520 # 15452 # 1 # ID=288_15;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.527
NODE_1446_length_27281_cov_79.962029:19593-20417|+ -            275 5616                 -            293     0.031   11.8   0.0   1   1   9.6e-05     0.056   10.9   0.0   100   158     2    61     1    67 0.88 NODE_1446_length_27281_cov_79.962029_23 # 19593 # 20417 # 1 # ID=638_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.456
NODE_718_length_90501_cov_69.003258:89058-89867|+  -            270 5616                 -            293     0.044   11.3   0.0   1   1   0.00011     0.063   10.8   0.0   146   198    73   126    44   147 0.85 NODE_718_length_90501_cov_69.003258_90 # 89058 # 89867 # 1 # ID=299_90;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.514
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5616at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/5616at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5616at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:07 2025
# [ok]
