#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_170_length_74698_cov_75.748665:23949-24479|+  -            177 51                   -            175  1.1e-111  368.3   3.2   1   1  1.9e-114  1.2e-111  368.1   3.2     1   175     1   176     1   176 0.99 NODE_170_length_74698_cov_75.748665_25 # 23949 # 24479 # 1 # ID=38_25;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_592_length_39318_cov_75.666641:9769-10158|+   -            130 51                   -            175   7.9e-09   33.4   0.0   1   1   1.5e-11   9.8e-09   33.1   0.0    10   101     7   106     2   116 0.69 NODE_592_length_39318_cov_75.666641_9 # 9769 # 10158 # 1 # ID=257_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.490
NODE_718_length_90501_cov_69.003258:47431-47940|+  -            170 51                   -            175   6.5e-07   27.1   0.0   1   1   1.2e-09   7.9e-07   26.8   0.0     2   104    20   126    19   144 0.75 NODE_718_length_90501_cov_69.003258_46 # 47431 # 47940 # 1 # ID=299_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_796_length_47878_cov_66.656982:27532-27939|-  -            136 51                   -            175   1.3e-06   26.1   0.0   1   1   2.6e-09   1.7e-06   25.8   0.0    12    67     7    66     3    99 0.84 NODE_796_length_47878_cov_66.656982_27 # 27532 # 27939 # -1 # ID=347_27;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
NODE_1434_length_95894_cov_75.275742:1606-2166|-   -            187 51                   -            175   0.00011   19.9   0.0   1   1     2e-07   0.00014   19.6   0.0    31    71    73   113    44   181 0.79 NODE_1434_length_95894_cov_75.275742_2 # 1606 # 2166 # -1 # ID=631_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.510
NODE_1677_length_30732_cov_80.654755:10166-10939|- -            258 51                   -            175   0.00016   19.3   0.2   1   3         1   6.9e+02   -2.3   0.0    23    47    12    35     4    47 0.79 NODE_1677_length_30732_cov_80.654755_12 # 10166 # 10939 # -1 # ID=765_12;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_1677_length_30732_cov_80.654755:10166-10939|- -            258 51                   -            175   0.00016   19.3   0.2   2   3       3.1   2.1e+03   -3.8   0.0    85    98    48    61    37    65 0.78 NODE_1677_length_30732_cov_80.654755_12 # 10166 # 10939 # -1 # ID=765_12;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_1677_length_30732_cov_80.654755:10166-10939|- -            258 51                   -            175   0.00016   19.3   0.2   3   3   6.4e-07   0.00043   18.0   0.0    13    71   132   192   121   216 0.83 NODE_1677_length_30732_cov_80.654755_12 # 10166 # 10939 # -1 # ID=765_12;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.532
NODE_2514_length_4067_cov_64.112862:1164-1625|-    -            154 51                   -            175   0.00026   18.7   0.0   1   1   7.4e-07   0.00049   17.8   0.0    25    75    23    72     2    98 0.76 NODE_2514_length_4067_cov_64.112862_2 # 1164 # 1625 # -1 # ID=1310_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.500
NODE_662_length_38641_cov_68.282883:20835-21260|-  -            142 51                   -            175    0.0003   18.5   0.3   1   1   2.8e-06    0.0019   15.9   0.3    32   127    32   117    25   127 0.81 NODE_662_length_38641_cov_68.282883_23 # 20835 # 21260 # -1 # ID=281_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.469
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/51at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/51at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/51at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:05 2025
# [ok]
