#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_20_length_84241_cov_37.036046:78178-79377|+   -            400 6542                 -            399    5e-228  754.7   3.7   1   1  5.5e-231  5.6e-228  754.6   3.7     1   399     1   399     1   399 1.00 NODE_20_length_84241_cov_37.036046_82 # 78178 # 79377 # 1 # ID=20_82;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.545
NODE_20_length_84241_cov_37.036046:80077-81315|+   -            413 6542                 -            399   6.6e-62  207.7   6.4   1   1   8.5e-65   8.6e-62  207.4   6.4     4   396     2   409     1   411 0.89 NODE_20_length_84241_cov_37.036046_84 # 80077 # 81315 # 1 # ID=20_84;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 6542                 -            399   0.00012   19.2   0.6   1   4   1.2e-07   0.00012   19.2   0.6   203   397   176   369   169   371 0.68 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 6542                 -            399   0.00012   19.2   0.6   2   4       4.2   4.3e+03   -5.7   3.3   312   362   390   443   386   472 0.61 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 6542                 -            399   0.00012   19.2   0.6   3   4       1.4   1.5e+03   -4.1   0.0   145   165   574   594   572   596 0.84 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_21_length_83220_cov_38.326345:37189-39603|-   -            805 6542                 -            399   0.00012   19.2   0.6   4   4       1.5   1.5e+03   -4.2   0.9   272   327   686   745   675   757 0.56 NODE_21_length_83220_cov_38.326345_37 # 37189 # 39603 # -1 # ID=21_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_23_length_80065_cov_37.437114:37689-39635|-   -            649 6542                 -            399   0.00014   19.0   5.2   1   2      0.44   4.5e+02   -2.5   0.2    29    46   274   291   246   313 0.62 NODE_23_length_80065_cov_37.437114_35 # 37689 # 39635 # -1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_23_length_80065_cov_37.437114:37689-39635|-   -            649 6542                 -            399   0.00014   19.0   5.2   2   2   1.3e-07   0.00014   19.0   5.2   269   359   523   617   506   645 0.80 NODE_23_length_80065_cov_37.437114_35 # 37689 # 39635 # -1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_1_length_276430_cov_40.515391:144543-145601|+ -            353 6542                 -            399      0.23    8.4   4.6   1   1   0.00039      0.39    7.6   4.6   272   348   229   306   217   348 0.77 NODE_1_length_276430_cov_40.515391_129 # 144543 # 145601 # 1 # ID=1_129;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.537
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6542at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/6542at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6542at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:29 2025
# [ok]
