#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_666_length_18969_cov_76.638199:3716-4609|-       -            298 6641                 -            297  8.2e-174  575.2   0.0   1   1  2.4e-176  9.1e-174  575.0   0.0     1   296     1   296     1   297 1.00 NODE_666_length_18969_cov_76.638199_6 # 3716 # 4609 # -1 # ID=285_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.557
NODE_910_length_6501_cov_74.426239:1389-2384|-        -            332 6641                 -            297   3.3e-08   31.5   0.0   1   1   1.3e-10   5.1e-08   30.9   0.0     2   243     4   244     3   254 0.77 NODE_910_length_6501_cov_74.426239_2 # 1389 # 2384 # -1 # ID=382_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.450
NODE_1446_length_27281_cov_79.962029:24654-25568|-    -            305 6641                 -            297   4.2e-07   27.8   0.0   1   2   4.5e-08   1.7e-05   22.5   0.1     3    68     5    72     3    84 0.75 NODE_1446_length_27281_cov_79.962029_29 # 24654 # 25568 # -1 # ID=638_29;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.551
NODE_1446_length_27281_cov_79.962029:24654-25568|-    -            305 6641                 -            297   4.2e-07   27.8   0.0   2   2     0.039        15    3.1   0.0   150   212   134   197   122   207 0.78 NODE_1446_length_27281_cov_79.962029_29 # 24654 # 25568 # -1 # ID=638_29;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.551
NODE_1692_length_7197_cov_66.727112:6764-7216|+       -            151 6641                 -            297     1e-06   26.6   0.0   1   1   3.3e-09   1.2e-06   26.3   0.0     2    49     4    51     3    93 0.82 NODE_1692_length_7197_cov_66.727112_6 # 6764 # 7216 # 1 # ID=777_6;partial=01;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_1113_length_19431_cov_68.618652:8120-9136|+      -            339 6641                 -            297   7.9e-06   23.7   0.1   1   1   8.5e-08   3.2e-05   21.7   0.1     1    42     1    42     1   144 0.56 NODE_1113_length_19431_cov_68.618652_10 # 8120 # 9136 # 1 # ID=473_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_888_length_35781_cov_80.233421:25536-26603|+     -            356 6641                 -            297   5.1e-05   21.0   0.0   1   3   9.8e-06    0.0037   14.9   0.0     2    33     3    34     1    61 0.84 NODE_888_length_35781_cov_80.233421_23 # 25536 # 26603 # 1 # ID=375_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_888_length_35781_cov_80.233421:25536-26603|+     -            356 6641                 -            297   5.1e-05   21.0   0.0   2   3       2.6   9.9e+02   -2.9   0.0   100   124    88   112    79   132 0.62 NODE_888_length_35781_cov_80.233421_23 # 25536 # 26603 # 1 # ID=375_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_888_length_35781_cov_80.233421:25536-26603|+     -            356 6641                 -            297   5.1e-05   21.0   0.0   3   3     0.028        10    3.6   0.0   189   218   217   246   198   274 0.75 NODE_888_length_35781_cov_80.233421_23 # 25536 # 26603 # 1 # ID=375_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_286_length_41180_cov_81.233269:32290-33666|-     -            459 6641                 -            297    0.0004   18.1   0.6   1   2    0.0012      0.46    8.0   0.0     1    40     1    39     1    67 0.85 NODE_286_length_41180_cov_81.233269_50 # 32290 # 33666 # -1 # ID=82_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503
NODE_286_length_41180_cov_81.233269:32290-33666|-     -            459 6641                 -            297    0.0004   18.1   0.6   2   2    0.0009      0.34    8.4   0.1     3    70   235   308   233   359 0.63 NODE_286_length_41180_cov_81.233269_50 # 32290 # 33666 # -1 # ID=82_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503
NODE_1689_length_18974_cov_72.810692:668-1681|+       -            338 6641                 -            297   0.00048   17.8   0.0   1   1   1.8e-06   0.00067   17.3   0.0     1   164     1   169     1   192 0.74 NODE_1689_length_18974_cov_72.810692_2 # 668 # 1681 # 1 # ID=775_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_1548_length_7222_cov_79.247162:3296-4228|+       -            311 6641                 -            297    0.0012   16.5   0.1   1   1   2.3e-05    0.0086   13.7   0.1     3   222     2   235     1   253 0.52 NODE_1548_length_7222_cov_79.247162_4 # 3296 # 4228 # 1 # ID=698_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.511
NODE_2006_length_20165_cov_69.217606:8905-9729|+      -            275 6641                 -            297    0.0025   15.4   0.1   1   2       3.1   1.2e+03   -3.1   0.0     6    30     6    30     1    49 0.74 NODE_2006_length_20165_cov_69.217606_12 # 8905 # 9729 # 1 # ID=987_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_2006_length_20165_cov_69.217606:8905-9729|+      -            275 6641                 -            297    0.0025   15.4   0.1   2   2   4.7e-05     0.018   12.6   0.0   172   235   161   225    86   238 0.63 NODE_2006_length_20165_cov_69.217606_12 # 8905 # 9729 # 1 # ID=987_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.513
NODE_1144_length_51838_cov_69.979935:6147-6893|-      -            249 6641                 -            297     0.004   14.8   0.1   1   1   1.5e-05    0.0058   14.2   0.1     1    40     1    40     1    68 0.84 NODE_1144_length_51838_cov_69.979935_7 # 6147 # 6893 # -1 # ID=484_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_1815_length_42207_cov_77.160164:18-878|-         -            287 6641                 -            297    0.0059   14.2   0.0   1   1   2.7e-05      0.01   13.4   0.0     3    48     2    49     1    86 0.86 NODE_1815_length_42207_cov_77.160164_1 # 18 # 878 # -1 # ID=846_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NODE_346_length_26317_cov_69.933388:7492-7656|+       -             55 6641                 -            297    0.0089   13.6   0.0   1   1   2.4e-05    0.0089   13.6   0.0     2    42     3    44     1    53 0.83 NODE_346_length_26317_cov_69.933388_8 # 7492 # 7656 # 1 # ID=105_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_2145_length_112275_cov_77.552353:103747-104382|+ -            212 6641                 -            297     0.013   13.1   0.0   1   1   5.4e-05     0.021   12.4   0.0     2    23     3    24     2    41 0.79 NODE_2145_length_112275_cov_77.552353_99 # 103747 # 104382 # 1 # ID=1072_99;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.546
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6641at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/6641at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6641at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:11 2025
# [ok]
