#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 4239                 -            951         0 2066.6   0.2   1   1         0         0 2066.4   0.2     1   950     1   950     1   951 1.00 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 4239                 -            951   4.1e-35  119.0   8.9   1   3   3.6e-15   4.5e-12   42.8   0.0    28   253    44   274    25   299 0.85 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 4239                 -            951   4.1e-35  119.0   8.9   2   3   1.2e-15   1.5e-12   44.3   5.3   253   572   309   620   300   647 0.80 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 4239                 -            951   4.1e-35  119.0   8.9   3   3     8e-10     1e-06   25.1   0.3   609   763   620   776   617   809 0.84 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   1   6   2.2e-25   2.8e-22   76.5   0.3     1   187     1   170     1   179 0.87 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   2   6    0.0057       7.2    2.4   0.1   211   240   237   266   227   302 0.83 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   3   6   2.8e-08   3.5e-05   20.0   0.0   247   352   306   407   303   415 0.77 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   4   6   0.00028      0.35    6.7   0.1   419   446   416   443   411   450 0.88 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   5   6    0.0063         8    2.2   0.1   553   570   618   635   612   647 0.89 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 4239                 -            951     2e-34  116.7   8.8   6   6    0.0029       3.6    3.4   0.1   708   771   721   782   626   806 0.74 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 4239                 -            951   0.00061   15.9   0.2   1   3   4.8e-07   0.00061   15.9   0.2    40    83    13    56     3    81 0.82 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 4239                 -            951   0.00061   15.9   0.2   2   3      0.28   3.5e+02   -3.2   0.0   551   564   330   343   311   360 0.79 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 4239                 -            951   0.00061   15.9   0.2   3   3     0.074        93   -1.3   0.1   667   760   408   502   337   511 0.55 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4239at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/4239at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4239at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:19 2025
# [ok]
