#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_139564_cov_44.158667:122072-123220|- -            383 5331                 -            381  3.4e-243  804.5   0.0   1   1  4.6e-246  3.8e-243  804.3   0.0     1   381     2   382     2   382 1.00 NODE_4_length_139564_cov_44.158667_105 # 122072 # 123220 # -1 # ID=4_105;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.532
NODE_1_length_276430_cov_40.515391:256669-257232|+ -            188 5331                 -            381     1e-15   55.7   0.0   1   1   1.4e-18   1.2e-15   55.5   0.0   223   356    35   172     7   186 0.82 NODE_1_length_276430_cov_40.515391_229 # 256669 # 257232 # 1 # ID=1_229;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_22_length_80627_cov_36.893466:30401-31996|-   -            532 5331                 -            381   4.9e-08   30.5   0.1   1   1     1e-10   8.8e-08   29.6   0.1   218   356    35   174    15   190 0.76 NODE_22_length_80627_cov_36.893466_32 # 30401 # 31996 # -1 # ID=22_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558
NODE_9_length_123825_cov_37.296666:93155-94732|+   -            526 5331                 -            381   6.7e-07   26.8   0.0   1   1   1.3e-09   1.1e-06   26.1   0.0   190   281     7    99     1   110 0.80 NODE_9_length_123825_cov_37.296666_81 # 93155 # 94732 # 1 # ID=9_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_12_length_106079_cov_39.536715:83369-85006|+  -            546 5331                 -            381   2.5e-06   24.9   0.0   1   3      0.26   2.2e+02   -1.3   0.0    74   127   203   257   191   281 0.85 NODE_12_length_106079_cov_39.536715_73 # 83369 # 85006 # 1 # ID=12_73;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_12_length_106079_cov_39.536715:83369-85006|+  -            546 5331                 -            381   2.5e-06   24.9   0.0   2   3   0.00036       0.3    8.1   0.0   247   281   358   391   332   418 0.76 NODE_12_length_106079_cov_39.536715_73 # 83369 # 85006 # 1 # ID=12_73;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_12_length_106079_cov_39.536715:83369-85006|+  -            546 5331                 -            381   2.5e-06   24.9   0.0   3   3   9.3e-06    0.0078   13.4   0.0   296   379   454   542   439   544 0.85 NODE_12_length_106079_cov_39.536715_73 # 83369 # 85006 # 1 # ID=12_73;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_22_length_80627_cov_36.893466:69694-70458|+   -            255 5331                 -            381    0.0033   14.6   0.0   1   2   1.7e-05     0.014   12.5   0.0   243   280    89   126    72   133 0.84 NODE_22_length_80627_cov_36.893466_69 # 69694 # 70458 # 1 # ID=22_69;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NODE_22_length_80627_cov_36.893466:69694-70458|+   -            255 5331                 -            381    0.0033   14.6   0.0   2   2      0.15   1.2e+02   -0.5   0.0   333   377   202   248   187   252 0.72 NODE_22_length_80627_cov_36.893466_69 # 69694 # 70458 # 1 # ID=22_69;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5331at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/5331at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5331at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:23 2025
# [ok]
