#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_596_length_15654_cov_72.501595:14054-15121|+  -            356 9808936              -            355  2.2e-128  426.3   4.9   1   1  1.9e-131  2.5e-128  426.1   4.9     3   353     5   354     3   355 0.95 NODE_596_length_15654_cov_72.501595_13 # 14054 # 15121 # 1 # ID=258_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_1204_length_64359_cov_77.399834:48521-49669|+ -            383 9808936              -            355    0.0003   18.0   3.6   1   3     6e-05     0.079   10.0   0.0     4    99     7    96     4    98 0.82 NODE_1204_length_64359_cov_77.399834_43 # 48521 # 49669 # 1 # ID=516_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_1204_length_64359_cov_77.399834:48521-49669|+ -            383 9808936              -            355    0.0003   18.0   3.6   2   3     0.016        21    2.0   0.0   161   274   172   290   158   291 0.62 NODE_1204_length_64359_cov_77.399834_43 # 48521 # 49669 # 1 # ID=516_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_1204_length_64359_cov_77.399834:48521-49669|+ -            383 9808936              -            355    0.0003   18.0   3.6   3   3    0.0018       2.4    5.1   0.7   302   352   327   381   317   382 0.85 NODE_1204_length_64359_cov_77.399834_43 # 48521 # 49669 # 1 # ID=516_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NODE_888_length_35781_cov_80.233421:23147-24277|+  -            377 9808936              -            355    0.0011   16.1   0.0   1   3     0.001       1.3    5.9   0.0    86   167    79   161    62   173 0.76 NODE_888_length_35781_cov_80.233421_21 # 23147 # 24277 # 1 # ID=375_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_888_length_35781_cov_80.233421:23147-24277|+  -            377 9808936              -            355    0.0011   16.1   0.0   2   3      0.71   9.4e+02   -3.4   0.0   164   187   191   212   188   213 0.77 NODE_888_length_35781_cov_80.233421_21 # 23147 # 24277 # 1 # ID=375_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_888_length_35781_cov_80.233421:23147-24277|+  -            377 9808936              -            355    0.0011   16.1   0.0   3   3   0.00034      0.44    7.5   0.0   304   349   327   370   315   373 0.82 NODE_888_length_35781_cov_80.233421_21 # 23147 # 24277 # 1 # ID=375_21;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_1539_length_37792_cov_75.811783:4114-5238|-   -            375 9808936              -            355    0.0063   13.6   0.3   1   2     0.072        95   -0.1   0.0    79   133    66   120    21   164 0.74 NODE_1539_length_37792_cov_75.811783_6 # 4114 # 5238 # -1 # ID=694_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.480
NODE_1539_length_37792_cov_75.811783:4114-5238|-   -            375 9808936              -            355    0.0063   13.6   0.3   2   2   4.3e-05     0.057   10.5   0.1   209   339   229   355   179   368 0.70 NODE_1539_length_37792_cov_75.811783_6 # 4114 # 5238 # -1 # ID=694_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.480
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9808936at2.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/auto_lineage/run_bacteria_odb12/hmmer_output/9808936at2.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9808936at2.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:18:23 2025
# [ok]
