#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2185_length_35330_cov_74.210983:31625-33052|-  -            476 1856                 -            474  6.4e-284  940.0   0.0   1   1  1.2e-286  7.2e-284  939.8   0.0     1   474     1   475     1   475 0.99 NODE_2185_length_35330_cov_74.210983_37 # 31625 # 33052 # -1 # ID=1088_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.543
NODE_1443_length_1047_cov_173.915955:3-1067|-       -            355 1856                 -            474   1.6e-23   81.3   0.0   1   1   1.1e-25   6.5e-23   79.3   0.0    83   325    18   261    11   278 0.81 NODE_1443_length_1047_cov_173.915955_1 # 3 # 1067 # -1 # ID=635_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.540
NODE_230_length_8375_cov_67.677017:4327-6171|-      -            615 1856                 -            474   4.7e-18   63.3   0.0   1   3      0.74   4.4e+02   -2.5   0.0    32    44     5    17     3    25 0.88 NODE_230_length_8375_cov_67.677017_5 # 4327 # 6171 # -1 # ID=59_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_230_length_8375_cov_67.677017:4327-6171|-      -            615 1856                 -            474   4.7e-18   63.3   0.0   2   3   3.5e-17   2.1e-14   51.3   0.0    83   175    26   119    21   142 0.88 NODE_230_length_8375_cov_67.677017_5 # 4327 # 6171 # -1 # ID=59_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_230_length_8375_cov_67.677017:4327-6171|-      -            615 1856                 -            474   4.7e-18   63.3   0.0   3   3   0.00024      0.14    9.0   0.0   264   329   193   261   170   317 0.79 NODE_230_length_8375_cov_67.677017_5 # 4327 # 6171 # -1 # ID=59_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.567
NODE_926_length_95421_cov_71.123581:18789-20588|+   -            600 1856                 -            474   6.2e-11   39.8   0.0   1   2   1.1e-12   6.7e-10   36.4   0.0    79   179    38   142     2   155 0.83 NODE_926_length_95421_cov_71.123581_19 # 18789 # 20588 # 1 # ID=386_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NODE_926_length_95421_cov_71.123581:18789-20588|+   -            600 1856                 -            474   6.2e-11   39.8   0.0   2   2       0.1        59    0.3   0.0   267   295   212   240   192   272 0.80 NODE_926_length_95421_cov_71.123581_19 # 18789 # 20588 # 1 # ID=386_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NODE_851_length_22678_cov_82.051857:17530-19353|+   -            608 1856                 -            474   3.2e-10   37.5   0.3   1   1   2.4e-12   1.4e-09   35.3   0.3    81   319    42   285     4   303 0.75 NODE_851_length_22678_cov_82.051857_18 # 17530 # 19353 # 1 # ID=363_18;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_2145_length_112275_cov_77.552353:86456-89128|+ -            891 1856                 -            474     1e-09   35.8   0.0   1   2   7.1e-11   4.1e-08   30.5   0.0    90   211   421   539   411   548 0.85 NODE_2145_length_112275_cov_77.552353_83 # 86456 # 89128 # 1 # ID=1072_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NODE_2145_length_112275_cov_77.552353:86456-89128|+ -            891 1856                 -            474     1e-09   35.8   0.0   2   2     0.022        13    2.5   0.0   262   324   811   877   799   888 0.85 NODE_2145_length_112275_cov_77.552353_83 # 86456 # 89128 # 1 # ID=1072_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NODE_2129_length_51924_cov_72.758377:5729-7345|+    -            539 1856                 -            474   1.8e-07   28.4   0.0   1   2   9.5e-10   5.6e-07   26.8   0.0    83   171    67   154    54   168 0.88 NODE_2129_length_51924_cov_72.758377_9 # 5729 # 7345 # 1 # ID=1066_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.533
