#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1062_length_63423_cov_73.241127:47459-48223|- -            255 17546                -            253    2e-145  480.9   0.4   1   1  2.1e-148  2.2e-145  480.7   0.4     1   252     1   253     1   254 0.99 NODE_1062_length_63423_cov_73.241127_43 # 47459 # 48223 # -1 # ID=442_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.512
NODE_662_length_38641_cov_68.282883:8222-8980|+    -            253 17546                -            253   9.2e-10   36.4   0.0   1   2   5.3e-09   5.6e-06   24.0   0.0    18    97    17    95     1   104 0.86 NODE_662_length_38641_cov_68.282883_10 # 8222 # 8980 # 1 # ID=281_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_662_length_38641_cov_68.282883:8222-8980|+    -            253 17546                -            253   9.2e-10   36.4   0.0   2   2     7e-05     0.074   10.5   0.0   222   251   221   250   204   252 0.85 NODE_662_length_38641_cov_68.282883_10 # 8222 # 8980 # 1 # ID=281_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_1220_length_21844_cov_70.659126:9857-10723|+  -            289 17546                -            253   2.3e-09   35.1   0.0   1   2   4.9e-09   5.2e-06   24.1   0.0    40   111    64   137    26   138 0.71 NODE_1220_length_21844_cov_70.659126_8 # 9857 # 10723 # 1 # ID=525_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_1220_length_21844_cov_70.659126:9857-10723|+  -            289 17546                -            253   2.3e-09   35.1   0.0   2   2   0.00019       0.2    9.0   0.0   194   252   228   286   207   287 0.89 NODE_1220_length_21844_cov_70.659126_8 # 9857 # 10723 # 1 # ID=525_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_2112_length_39655_cov_70.664001:1846-2646|+   -            267 17546                -            253   9.5e-09   33.1   0.0   1   2   5.8e-11   6.1e-08   30.4   0.0    16   111    14   111     4   127 0.85 NODE_2112_length_39655_cov_70.664001_4 # 1846 # 2646 # 1 # ID=1058_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_2112_length_39655_cov_70.664001:1846-2646|+   -            267 17546                -            253   9.5e-09   33.1   0.0   2   2     0.094        99    0.2   0.0   196   242   200   246   192   252 0.82 NODE_2112_length_39655_cov_70.664001_4 # 1846 # 2646 # 1 # ID=1058_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_1434_length_95894_cov_75.275742:20144-20914|- -            257 17546                -            253   3.8e-07   27.8   0.0   1   2   9.7e-10     1e-06   26.4   0.0    11   115     9   109     1   116 0.90 NODE_1434_length_95894_cov_75.275742_17 # 20144 # 20914 # -1 # ID=631_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.564
NODE_1434_length_95894_cov_75.275742:20144-20914|- -            257 17546                -            253   3.8e-07   27.8   0.0   2   2      0.41   4.3e+02   -1.9   0.0   195   238   197   240   184   248 0.73 NODE_1434_length_95894_cov_75.275742_17 # 20144 # 20914 # -1 # ID=631_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.564
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/17546at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/17546at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/17546at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:23:56 2025
# [ok]
