#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 9810191              -            634    8e-230  763.0   0.0   1   1    1e-232  9.1e-230  762.8   0.0     3   634     5   677     3   677 0.94 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 9810191              -            634   5.8e-42  142.4   1.5   1   3   3.4e-31     3e-28   97.1   0.0     2   222    31   226    30   235 0.92 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 9810191              -            634   5.8e-42  142.4   1.5   2   3     0.002       1.7    5.4   0.0   220   239   416   434   409   438 0.86 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 9810191              -            634   5.8e-42  142.4   1.5   3   3   4.4e-13   3.9e-10   37.3   0.2   309   501   609   788   603   840 0.75 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 9810191              -            634   8.7e-31  105.5   0.5   1   4   3.2e-13   2.8e-10   37.7   0.0     3    71    32   104    30   120 0.82 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 9810191              -            634   8.7e-31  105.5   0.5   2   4   4.8e-06    0.0042   14.0   0.0   159   240   355   437   328   447 0.88 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 9810191              -            634   8.7e-31  105.5   0.5   3   4   1.6e-09   1.4e-06   25.5   0.1   242   336   469   570   459   574 0.74 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 9810191              -            634   8.7e-31  105.5   0.5   4   4   9.2e-09   8.1e-06   23.0   0.0   339   492   611   767   603   808 0.80 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 9810191              -            634   3.2e-26   90.4   1.4   1   3   3.9e-15   3.5e-12   44.0   0.0     3    71    48   115    46   143 0.88 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 9810191              -            634   3.2e-26   90.4   1.4   2   3   0.00017      0.15    8.9   0.1   173   239   408   475   389   481 0.75 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 9810191              -            634   3.2e-26   90.4   1.4   3   3   3.3e-12   2.9e-09   34.4   0.2   216   494   505   782   478   793 0.68 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_299_length_31306_cov_74.835876:4093-4425|-  -            111 9810191              -            634   1.6e-22   78.1   0.1   1   1   1.9e-25   1.6e-22   78.1   0.1   540   620     2    87     1   110 0.81 NODE_299_length_31306_cov_74.835876_4 # 4093 # 4425 # -1 # ID=91_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.523
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 9810191              -            634   4.3e-18   63.5   0.8   1   2   4.6e-13   4.1e-10   37.2   0.1    19    89    36   105    30   132 0.94 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NODE_89_length_10330_cov_70.405418:1948-3333|-   -            462 9810191              -            634   4.3e-18   63.5   0.8   2   2   2.4e-09   2.1e-06   24.9   0.0   302   365   248   311   222   395 0.81 NODE_89_length_10330_cov_70.405418_4 # 1948 # 3333 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/auto_lineage/run_bacteria_odb12/hmmer_output/9810191at2.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/bacteria_odb12/hmms/9810191at2.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:18:24 2025
# [ok]
