# BUSCO version is: 5.8.2 
# The lineage dataset is: enterobacteriaceae_odb12 (Creation date: 2024-11-14, number of genomes: 107, number of BUSCOs: 874)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at543	Complete	NODE_895_length_14892_cov_65.747314	7237	6770	-	310.0	153
32at543	Complete	NODE_1253_length_7625_cov_68.889442	4730	5497	+	573.7	255
34at543	Complete	NODE_1062_length_63423_cov_73.241127	46886	46356	-	364.8	175
51at543	Complete	NODE_170_length_74698_cov_75.748665	23949	24479	+	368.3	175
60at543	Complete	NODE_2159_length_50550_cov_71.258598	14654	14007	-	420.2	215
71at543	Complete	NODE_2110_length_20950_cov_73.447586	3688	4314	+	370.6	172
75at543	Complete	NODE_665_length_8475_cov_72.609436	3114	4916	+	1328.2	594
99at543	Complete	NODE_1573_length_22126_cov_70.879776	6344	6069	-	180.8	89
102at543	Complete	NODE_1132_length_12179_cov_76.099594	4331	5047	+	517.1	237
167at543	Complete	NODE_718_length_90501_cov_69.003258	59806	61281	+	1058.6	491
172at543	Complete	NODE_614_length_35137_cov_72.104843	3565	2723	-	542.8	276
187at543	Complete	NODE_663_length_10701_cov_65.952057	7808	7197	-	354.1	201
215at543	Complete	NODE_286_length_41180_cov_81.233269	19658	19936	+	205.9	92
221at543	Complete	NODE_888_length_35781_cov_80.233421	18775	19104	+	208.5	108
259at543	Complete	NODE_1548_length_7222_cov_79.247162	3296	4228	+	637.3	309
260at543	Complete	NODE_434_length_79075_cov_70.223480	7633	9120	+	1091.4	494
265at543	Complete	NODE_2132_length_53289_cov_67.616959	20529	19939	-	422.1	196
266at543	Complete	NODE_269_length_60008_cov_74.420364	7348	8259	+	582.1	302
301at543	Complete	NODE_1062_length_63423_cov_73.241127	9425	6840	-	1795.7	858
308at543	Complete	NODE_888_length_35781_cov_80.233421	5557	6486	+	675.7	308
310at543	Complete	NODE_851_length_22678_cov_82.051857	17157	15748	-	1049.9	469
313at543	Complete	NODE_286_length_41180_cov_81.233269	21616	21870	+	181.8	84
319at543	Complete	NODE_1434_length_95894_cov_75.275742	21694	22269	+	373.1	190
325at543	Complete	NODE_434_length_79075_cov_70.223480	11119	12339	+	805.6	406
327at543	Complete	NODE_152_length_14891_cov_78.964272	2048	1566	-	305.6	160
335at543	Complete	NODE_1999_length_25587_cov_66.390984	13688	12399	-	891.4	427
341at543	Complete	NODE_1677_length_30732_cov_80.654755	30099	29554	-	401.2	181
350at543	Complete	NODE_1126_length_10021_cov_72.826866	6797	8089	+	897.7	430
360at543	Complete	NODE_2440_length_10172_cov_68.540306	5684	6379	+	488.6	230
362at543	Complete	NODE_662_length_38641_cov_68.282883	38526	36241	-	1716.3	760
367at543	Complete	NODE_2145_length_112275_cov_77.552353	32081	32719	+	450.5	209
401at543	Complete	NODE_1441_length_52686_cov_76.197510	14910	15542	+	478.0	210
430at543	Complete	NODE_2299_length_38437_cov_68.775246	18928	17882	-	721.1	345
437at543	Complete	NODE_1441_length_52686_cov_76.197510	3342	2968	-	272.2	123
438at543	Complete	NODE_274_length_24805_cov_72.090103	20012	19389	-	448.3	206
450at543	Complete	NODE_596_length_15654_cov_72.501595	4044	4502	+	319.8	152
454at543	Complete	NODE_517_length_26358_cov_74.693604	7536	8996	+	1003.2	486
472at543	Complete	NODE_895_length_14892_cov_65.747314	6051	6773	+	427.7	231
476at543	Complete	NODE_926_length_95421_cov_71.123581	81017	82171	+	802.6	377
484at543	Complete	NODE_592_length_39318_cov_75.666641	21626	24289	+	1964.8	886
485at543	Complete	NODE_1513_length_3490_cov_101.512321	3399	2371	-	640.2	341
526at543	Complete	NODE_881_length_18377_cov_77.437286	12831	13547	+	428.0	237
547at543	Complete	NODE_2111_length_12361_cov_66.461288	4199	4516	+	192.6	104
551at543	Complete	NODE_926_length_95421_cov_71.123581	80436	80867	+	282.4	141
554at543	Complete	NODE_877_length_31483_cov_78.652222	9581	11842	+	1592.4	752
558at543	Complete	NODE_1709_length_68036_cov_72.575531	21214	21432	+	176.3	72
559at543	Complete	NODE_1570_length_36954_cov_78.025352	8265	9242	+	690.0	325
572at543	Complete	NODE_614_length_35137_cov_72.104843	4773	3952	-	523.9	271
591at543	Complete	NODE_170_length_74698_cov_75.748665	26889	27764	+	564.5	288
632at543	Complete	NODE_22_length_21196_cov_74.466599	2819	945	-	1337.4	624
646at543	Complete	NODE_614_length_35137_cov_72.104843	14214	11308	-	2039.9	959
