#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_117034_cov_40.464403:54309-55487|-  -            393 5526                 -            392    2e-224  742.8   5.5   1   1  3.2e-227  2.3e-224  742.6   5.5     1   392     1   392     1   392 1.00 NODE_11_length_117034_cov_40.464403_44 # 54309 # 55487 # -1 # ID=11_44;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.601
NODE_11_length_117034_cov_40.464403:53084-54286|-  -            401 5526                 -            392     5e-70  234.4   0.2   1   1   8.6e-73   6.2e-70  234.1   0.2     2   389     5   392     4   394 0.95 NODE_11_length_117034_cov_40.464403_43 # 53084 # 54286 # -1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NODE_10_length_119716_cov_38.250842:31922-33097|-  -            392 5526                 -            392   4.9e-68  227.9   0.1   1   1   7.6e-71   5.5e-68  227.7   0.1     2   388     7   390     6   391 0.94 NODE_10_length_119716_cov_38.250842_26 # 31922 # 33097 # -1 # ID=10_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566
NODE_5_length_138947_cov_37.421618:118736-120400|+ -            555 5526                 -            392     3e-11   40.9   0.0   1   2   0.00021      0.15    9.0   0.0    48   181    55   193    17   215 0.70 NODE_5_length_138947_cov_37.421618_101 # 118736 # 120400 # 1 # ID=5_101;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NODE_5_length_138947_cov_37.421618:118736-120400|+ -            555 5526                 -            392     3e-11   40.9   0.0   2   2   1.3e-10   9.6e-08   29.4   0.1   265   351   274   359   265   370 0.82 NODE_5_length_138947_cov_37.421618_101 # 118736 # 120400 # 1 # ID=5_101;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NODE_4_length_139564_cov_44.158667:107404-108690|- -            429 5526                 -            392   0.00074   16.6   1.4   1   2     0.026        19    2.1   0.4     3    22     8    27     6    45 0.81 NODE_4_length_139564_cov_44.158667_93 # 107404 # 108690 # -1 # ID=4_93;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NODE_4_length_139564_cov_44.158667:107404-108690|- -            429 5526                 -            392   0.00074   16.6   1.4   2   2   1.1e-05    0.0077   13.2   0.0   123   181   121   179   109   204 0.79 NODE_4_length_139564_cov_44.158667_93 # 107404 # 108690 # -1 # ID=4_93;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NODE_60_length_26402_cov_36.807041:9115-10248|-    -            378 5526                 -            392   0.00086   16.4   3.7   1   3     0.077        56    0.5   0.0     3    44     5    45     3    64 0.87 NODE_60_length_26402_cov_36.807041_9 # 9115 # 10248 # -1 # ID=60_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540
NODE_60_length_26402_cov_36.807041:9115-10248|-    -            378 5526                 -            392   0.00086   16.4   3.7   2   3    0.0041         3    4.7   0.4     2    22   143   163   142   176 0.76 NODE_60_length_26402_cov_36.807041_9 # 9115 # 10248 # -1 # ID=60_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540
NODE_60_length_26402_cov_36.807041:9115-10248|-    -            378 5526                 -            392   0.00086   16.4   3.7   3   3   8.8e-05     0.064   10.2   0.1   110   176   184   251   175   264 0.86 NODE_60_length_26402_cov_36.807041_9 # 9115 # 10248 # -1 # ID=60_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540
NODE_83_length_13119_cov_40.215209:1927-3216|-     -            430 5526                 -            392    0.0091   13.0   0.7   1   2     0.098        70    0.2   0.7     3    29     8    31     6    48 0.77 NODE_83_length_13119_cov_40.215209_3 # 1927 # 3216 # -1 # ID=83_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_83_length_13119_cov_40.215209:1927-3216|-     -            430 5526                 -            392    0.0091   13.0   0.7   2   2    0.0001     0.072   10.0   0.0   124   190   122   188   107   208 0.80 NODE_83_length_13119_cov_40.215209_3 # 1927 # 3216 # -1 # ID=83_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5526at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/5526at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/5526at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:24 2025
# [ok]
