# BUSCO version is: 5.8.2 
# The lineage dataset is: enterobacteriaceae_odb12 (Creation date: 2024-11-14, number of genomes: 107, number of BUSCOs: 874)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at543	Complete	NODE_77_length_15753_cov_35.008191	8172	8639	+	314.8	153
32at543	Complete	NODE_5_length_138947_cov_37.421618	29546	30313	+	573.7	255
34at543	Complete	NODE_10_length_119716_cov_38.250842	16665	17195	+	364.8	175
51at543	Complete	NODE_12_length_106079_cov_39.536715	24056	24586	+	368.3	175
60at543	Complete	NODE_36_length_50779_cov_38.268459	14759	14112	-	420.2	215
71at543	Complete	NODE_14_length_92032_cov_37.540264	73439	74065	+	370.6	172
75at543	Complete	NODE_2_length_157429_cov_38.171358	62977	64779	+	1328.2	594
99at543	Complete	NODE_11_length_117034_cov_40.464403	110455	110730	+	180.8	89
102at543	Complete	NODE_37_length_49199_cov_38.911069	6908	7624	+	517.1	237
167at543	Complete	NODE_6_length_131096_cov_36.333598	74260	75735	+	1058.6	491
172at543	Complete	NODE_4_length_139564_cov_44.158667	101647	102489	+	542.8	276
187at543	Complete	NODE_71_length_16748_cov_35.319114	13724	13113	-	354.1	201
215at543	Complete	NODE_43_length_41508_cov_43.498876	21744	21466	-	205.9	92
221at543	Complete	NODE_16_length_86943_cov_42.279511	19006	19335	+	208.5	108
259at543	Complete	NODE_39_length_47213_cov_38.868135	3419	4351	+	637.3	309
260at543	Complete	NODE_25_length_79707_cov_37.284883	7740	9227	+	1091.4	494
265at543	Complete	NODE_22_length_80627_cov_36.893466	47735	47145	-	422.1	196
266at543	Complete	NODE_19_length_85129_cov_38.767276	32343	33254	+	582.1	302
301at543	Complete	NODE_10_length_119716_cov_38.250842	54229	56811	+	1804.6	858
308at543	Complete	NODE_16_length_86943_cov_42.279511	5788	6717	+	675.7	308
310at543	Complete	NODE_17_length_86457_cov_41.702653	69116	70525	+	1049.9	469
313at543	Complete	NODE_43_length_41508_cov_43.498876	19786	19532	-	181.8	84
319at543	Complete	NODE_1_length_276430_cov_40.515391	201842	201267	-	373.1	190
325at543	Complete	NODE_25_length_79707_cov_37.284883	11226	12446	+	805.6	406
327at543	Complete	NODE_34_length_53173_cov_42.168382	23591	24073	+	305.6	160
335at543	Complete	NODE_72_length_16341_cov_36.526767	4235	2946	-	891.4	427
341at543	Complete	NODE_51_length_31115_cov_42.820834	761	1306	+	401.2	181
350at543	Complete	NODE_37_length_49199_cov_38.911069	26777	28069	+	897.7	430
360at543	Complete	NODE_92_length_11228_cov_35.467796	6613	7308	+	488.6	230
362at543	Complete	NODE_2_length_157429_cov_38.171358	117116	114831	-	1716.3	760
367at543	Complete	NODE_8_length_126545_cov_41.885285	46130	46768	+	450.5	209
401at543	Complete	NODE_1_length_276430_cov_40.515391	261378	260746	-	478.0	210
430at543	Complete	NODE_20_length_84241_cov_37.036046	25334	24288	-	721.1	345
437at543	Complete	NODE_1_length_276430_cov_40.515391	272946	273320	+	272.2	123
438at543	Complete	NODE_19_length_85129_cov_38.767276	20181	19558	-	448.3	206
450at543	Complete	NODE_4_length_139564_cov_44.158667	64711	64253	-	319.8	152
454at543	Complete	NODE_22_length_80627_cov_36.893466	19257	17797	-	1003.2	486
472at543	Complete	NODE_77_length_15753_cov_35.008191	9358	8636	-	427.7	231
476at543	Complete	NODE_9_length_123825_cov_37.296666	81408	82562	+	802.6	377
484at543	Complete	NODE_4_length_139564_cov_44.158667	31328	28665	-	1964.8	886
485at543	Complete	NODE_117_length_4367_cov_50.670283	4149	3121	-	640.2	341
526at543	Complete	NODE_16_length_86943_cov_42.279511	48883	49599	+	428.0	237
547at543	Complete	NODE_14_length_92032_cov_37.540264	61284	61601	+	192.6	104
551at543	Complete	NODE_9_length_123825_cov_37.296666	80827	81258	+	282.4	141
554at543	Complete	NODE_16_length_86943_cov_42.279511	64634	66895	+	1592.4	752
558at543	Complete	NODE_23_length_80065_cov_37.437114	21559	21777	+	176.3	72
559at543	Complete	NODE_29_length_69919_cov_43.020805	34563	33586	-	690.0	325
572at543	Complete	NODE_4_length_139564_cov_44.158667	100439	101260	+	523.9	271
591at543	Complete	NODE_12_length_106079_cov_39.536715	26996	27871	+	564.5	288
