#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1792_length_20317_cov_75.392525:2401-5256|- -            952 4239                 -            951         0 2066.6   0.2   1   1         0         0 2066.4   0.2     1   950     1   950     1   951 1.00 NODE_1792_length_20317_cov_75.392525_4 # 2401 # 5256 # -1 # ID=834_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.549
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 4239                 -            951   4.3e-35  119.0   8.9   1   3   3.6e-15   4.7e-12   42.8   0.0    28   253    44   274    25   299 0.85 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 4239                 -            951   4.3e-35  119.0   8.9   2   3   1.2e-15   1.6e-12   44.3   5.3   253   572   309   620   300   647 0.80 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_626_length_8769_cov_75.351463:2002-4818|+   -            939 4239                 -            951   4.3e-35  119.0   8.9   3   3     8e-10   1.1e-06   25.1   0.3   609   763   620   776   617   809 0.84 NODE_626_length_8769_cov_75.351463_3 # 2002 # 4818 # 1 # ID=267_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.557
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   1   6   2.2e-25     3e-22   76.5   0.3     1   187     1   170     1   179 0.87 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   2   6     0.018        24    0.7   0.0   215   239   242   266   235   301 0.86 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   3   6   2.4e-08   3.2e-05   20.2   0.0   247   352   307   408   289   415 0.78 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   4   6   0.00028      0.37    6.7   0.0   419   446   417   444   412   451 0.88 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   5   6    0.0063       8.4    2.2   0.1   553   570   619   636   613   648 0.89 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1062_length_63423_cov_73.241127:6840-9425|- -            862 4239                 -            951   2.7e-34  116.4   7.7   6   6    0.0029       3.8    3.4   0.1   708   771   722   783   627   807 0.74 NODE_1062_length_63423_cov_73.241127_9 # 6840 # 9425 # -1 # ID=442_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.536
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 4239                 -            951   0.00064   15.9   0.2   1   3   4.8e-07   0.00064   15.9   0.2    40    83    13    56     3    81 0.82 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 4239                 -            951   0.00064   15.9   0.2   2   3      0.28   3.7e+02   -3.2   0.0   551   564   330   343   311   360 0.79 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_1170_length_26855_cov_70.355133:7936-9969|- -            678 4239                 -            951   0.00064   15.9   0.2   3   3     0.074        97   -1.3   0.1   667   760   408   502   337   511 0.55 NODE_1170_length_26855_cov_70.355133_5 # 7936 # 9969 # -1 # ID=497_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/4239at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
