#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_152663_cov_37.088930:79821-81854|-   -            678 9810191              -            634  7.6e-230  763.0   0.0   1   1  1.2e-232  8.6e-230  762.8   0.0     3   634     5   677     3   677 0.94 NODE_3_length_152663_cov_37.088930_68 # 79821 # 81854 # -1 # ID=3_68;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.530
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 9810191              -            634   5.2e-42  142.5   1.5   1   3   3.6e-31   2.6e-28   97.2   0.0     2   222    31   226    30   238 0.92 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 9810191              -            634   5.2e-42  142.5   1.5   2   3    0.0023       1.7    5.4   0.0   220   239   415   433   408   437 0.86 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 9810191              -            634   5.2e-42  142.5   1.5   3   3   5.1e-13   3.7e-10   37.3   0.2   309   501   608   787   602   839 0.75 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 9810191              -            634   8.3e-31  105.5   0.5   1   4   3.7e-13   2.7e-10   37.7   0.0     3    71    32   104    30   120 0.82 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 9810191              -            634   8.3e-31  105.5   0.5   2   4   5.6e-06     0.004   14.0   0.0   159   240   355   437   328   447 0.88 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 9810191              -            634   8.3e-31  105.5   0.5   3   4   1.9e-09   1.4e-06   25.5   0.1   242   336   469   570   459   574 0.74 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 9810191              -            634   8.3e-31  105.5   0.5   4   4   1.1e-08   7.7e-06   23.0   0.0   339   492   611   767   603   808 0.80 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 9810191              -            634   3.1e-26   90.4   1.4   1   3   4.6e-15   3.3e-12   44.0   0.0     3    71    48   115    46   143 0.88 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 9810191              -            634   3.1e-26   90.4   1.4   2   3    0.0002      0.14    8.9   0.1   173   239   408   475   389   481 0.75 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 9810191              -            634   3.1e-26   90.4   1.4   3   3   3.9e-12   2.8e-09   34.4   0.2   216   494   505   782   478   793 0.68 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
