#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_119716_cov_38.250842:54229-56811|+  -            861 301                  -            858         0 1804.6   1.2   1   1         0         0 1804.4   1.2     1   858     1   860     1   860 1.00 NODE_10_length_119716_cov_38.250842_47 # 54229 # 56811 # 1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.533
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   1   6   1.2e-28   1.2e-25   87.6   0.3     1   171     1   188     1   201 0.80 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   2   6     0.065        66   -0.9   0.0   238   265   212   239   208   247 0.85 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   3   6   4.1e-07   0.00042   16.3   0.0   308   398   249   345   243   358 0.71 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   4   6   0.00011      0.11    8.3   0.1   415   441   420   446   410   473 0.87 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   5   6     0.003       3.1    3.5   0.1   616   633   553   570   540   573 0.90 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_18_length_85840_cov_40.696849:21786-24641|+   -            952 301                  -            858   5.8e-38  128.3   8.4   6   6   1.3e-05     0.013   11.4   0.0   632   780   606   771   595   809 0.71 NODE_18_length_85840_cov_40.696849_18 # 21786 # 24641 # 1 # ID=18_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.550
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 301                  -            858   3.7e-22   76.0   4.0   1   5   1.5e-08   1.5e-05   21.1   0.0    17   169    31   198    23   203 0.67 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 301                  -            858   3.7e-22   76.0   4.0   2   5   6.8e-08   6.8e-05   18.9   0.0   233   356   225   353   217   364 0.76 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 301                  -            858   3.7e-22   76.0   4.0   3   5   0.00031      0.31    6.8   0.3   174   197   404   427   376   456 0.78 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_4_length_139564_cov_44.158667:127664-130480|- -            939 301                  -            858   3.7e-22   76.0   4.0   4   5   6.6e-06    0.0067   12.3   0.3   416   469   460   513   446   541 0.70 NODE_4_length_139564_cov_44.158667_111 # 127664 # 130480 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
