#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_119716_cov_38.250842:15328-16092|+  -            255 17546                -            253  1.9e-145  480.9   0.4   1   1  2.5e-148  2.1e-145  480.7   0.4     1   252     1   253     1   254 0.99 NODE_10_length_119716_cov_38.250842_13 # 15328 # 16092 # 1 # ID=10_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.510
NODE_50_length_31159_cov_52.530614:12145-12471|+   -            109 17546                -            253   1.7e-10   38.7   0.0   1   1   2.3e-13   1.9e-10   38.6   0.0    16    92    21    98    11   107 0.92 NODE_50_length_31159_cov_52.530614_14 # 12145 # 12471 # 1 # ID=50_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.346
NODE_2_length_157429_cov_38.171358:86733-87491|+   -            253 17546                -            253   8.7e-10   36.4   0.0   1   2   6.4e-09   5.4e-06   24.0   0.0    18    97    17    95     1   104 0.86 NODE_2_length_157429_cov_38.171358_83 # 86733 # 87491 # 1 # ID=2_83;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_2_length_157429_cov_38.171358:86733-87491|+   -            253 17546                -            253   8.7e-10   36.4   0.0   2   2   8.4e-05     0.071   10.5   0.0   222   251   221   250   204   252 0.85 NODE_2_length_157429_cov_38.171358_83 # 86733 # 87491 # 1 # ID=2_83;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_5_length_138947_cov_37.421618:121364-122230|+ -            289 17546                -            253   2.2e-09   35.1   0.0   1   2   5.9e-09   4.9e-06   24.1   0.0    40   111    64   137    26   138 0.71 NODE_5_length_138947_cov_37.421618_103 # 121364 # 122230 # 1 # ID=5_103;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_5_length_138947_cov_37.421618:121364-122230|+ -            289 17546                -            253   2.2e-09   35.1   0.0   2   2   0.00023      0.19    9.0   0.0   194   252   228   286   207   287 0.89 NODE_5_length_138947_cov_37.421618_103 # 121364 # 122230 # 1 # ID=5_103;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_14_length_92032_cov_37.540264:19244-20044|+   -            267 17546                -            253   9.1e-09   33.1   0.0   1   2     7e-11   5.9e-08   30.4   0.0    16   111    14   111     4   127 0.85 NODE_14_length_92032_cov_37.540264_16 # 19244 # 20044 # 1 # ID=14_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_14_length_92032_cov_37.540264:19244-20044|+   -            267 17546                -            253   9.1e-09   33.1   0.0   2   2      0.11        95    0.2   0.0   196   242   200   246   192   252 0.82 NODE_14_length_92032_cov_37.540264_16 # 19244 # 20044 # 1 # ID=14_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
NODE_1_length_276430_cov_40.515391:202622-203392|+ -            257 17546                -            253   3.6e-07   27.8   0.0   1   2   1.2e-09   9.7e-07   26.4   0.0    11   115     9   109     1   116 0.90 NODE_1_length_276430_cov_40.515391_178 # 202622 # 203392 # 1 # ID=1_178;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.563
NODE_1_length_276430_cov_40.515391:202622-203392|+ -            257 17546                -            253   3.6e-07   27.8   0.0   2   2      0.49   4.1e+02   -1.9   0.0   195   238   197   240   184   248 0.73 NODE_1_length_276430_cov_40.515391_178 # 202622 # 203392 # 1 # ID=1_178;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.563
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/17546at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/17546at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/17546at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:12 2025
# [ok]
