#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_820_length_11940_cov_68.144218:4753-5952|-    -            400 6542                 -            399  5.2e-228  754.7   3.7   1   1  5.5e-231  5.9e-228  754.6   3.7     1   399     1   399     1   399 1.00 NODE_820_length_11940_cov_68.144218_6 # 4753 # 5952 # -1 # ID=357_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.546
NODE_820_length_11940_cov_68.144218:2815-4053|-    -            413 6542                 -            399   6.9e-62  207.7   6.4   1   1   8.5e-65     9e-62  207.4   6.4     4   396     2   409     1   411 0.89 NODE_820_length_11940_cov_68.144218_4 # 2815 # 4053 # -1 # ID=357_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.511
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 6542                 -            399   0.00013   19.2   0.6   1   4   1.2e-07   0.00013   19.2   0.6   203   397   176   369   169   371 0.68 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 6542                 -            399   0.00013   19.2   0.6   2   4       4.2   4.5e+03   -5.7   3.3   312   362   390   443   386   472 0.61 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 6542                 -            399   0.00013   19.2   0.6   3   4       1.4   1.5e+03   -4.1   0.0   145   165   574   594   572   596 0.84 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_625_length_50664_cov_72.003532:26164-28578|-  -            805 6542                 -            399   0.00013   19.2   0.6   4   4       1.5   1.5e+03   -4.2   0.9   272   327   686   745   675   757 0.56 NODE_625_length_50664_cov_72.003532_24 # 26164 # 28578 # -1 # ID=266_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.575
NODE_1709_length_68036_cov_72.575531:36910-38856|- -            649 6542                 -            399   0.00014   19.0   5.2   1   2      0.44   4.7e+02   -2.5   0.2    29    46   274   291   246   313 0.62 NODE_1709_length_68036_cov_72.575531_34 # 36910 # 38856 # -1 # ID=785_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_1709_length_68036_cov_72.575531:36910-38856|- -            649 6542                 -            399   0.00014   19.0   5.2   2   2   1.3e-07   0.00014   19.0   5.2   269   359   523   617   506   645 0.80 NODE_1709_length_68036_cov_72.575531_34 # 36910 # 38856 # -1 # ID=785_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_1434_length_95894_cov_75.275742:77924-78982|- -            353 6542                 -            399      0.25    8.4   4.6   1   1   0.00039      0.41    7.6   4.6   272   348   229   306   217   348 0.77 NODE_1434_length_95894_cov_75.275742_67 # 77924 # 78982 # -1 # ID=631_67;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.539
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6542at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/6542at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/6542at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:11 2025
# [ok]
