# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb12 (Creation date: 2024-11-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5293449at2	Complete	NODE_718_length_90501_cov_69.003258	50144	50755	+	176.2	165
9759736at2	Complete	NODE_215_length_65836_cov_69.504402	32103	34118	+	541.8	530
9767721at2	Complete	NODE_274_length_24805_cov_72.090103	21556	20258	-	481.5	425
9771806at2	Complete	NODE_679_length_36641_cov_70.533279	15487	16572	+	389.3	301
9776390at2	Complete	NODE_1570_length_36954_cov_78.025352	24206	25156	+	210.5	215
9776733at2	Complete	NODE_2201_length_7379_cov_73.928040	1909	2970	+	493.5	303
9778364at2	Complete	NODE_1709_length_68036_cov_72.575531	9785	8442	-	452.6	363
9778722at2	Complete	NODE_286_length_41180_cov_81.233269	18820	19641	+	457.9	276
9781053at2	Complete	NODE_718_length_90501_cov_69.003258	47969	48709	+	272.9	211
9782003at2	Complete	NODE_1204_length_64359_cov_77.399834	41719	43071	+	388.9	311
9788336at2	Complete	NODE_364_length_5946_cov_85.734779	3195	3644	+	95.6	119
9790352at2	Complete	NODE_626_length_8769_cov_75.351463	7985	8788	+	311.8	248
9791908at2	Complete	NODE_89_length_10330_cov_70.405418	4844	5353	+	193.1	129
9793681at2	Complete	NODE_1062_length_63423_cov_73.241127	3675	3358	-	140.3	105
9797833at2	Complete	NODE_286_length_41180_cov_81.233269	19658	19936	+	142.1	78
9799262at2	Complete	NODE_2145_length_112275_cov_77.552353	90786	91055	+	139.9	87
9800507at2	Complete	NODE_482_length_21709_cov_69.527618	19884	20468	+	226.3	178
9800696at2	Complete	NODE_2514_length_4067_cov_64.112862	1110	4	-	506.5	351
9800719at2	Complete	NODE_181_length_15413_cov_63.977356	955	1938	+	508.1	335
9801107at2	Complete	NODE_142_length_13006_cov_73.540901	8235	9872	+	612.9	446
9801213at2	Complete	NODE_679_length_36641_cov_70.533279	32741	34258	+	551.7	436
9801330at2	Complete	NODE_2145_length_112275_cov_77.552353	30850	31278	+	145.8	108
9801549at2	Complete	NODE_2616_length_7178_cov_72.575790	3008	2295	-	282.1	263
9801753at2	Missing
9802065at2	Complete	NODE_1677_length_30732_cov_80.654755	331	1920	+	710.3	480
9802219at2	Complete	NODE_926_length_95421_cov_71.123581	92764	94341	+	307.0	253
9802304at2	Complete	NODE_183_length_5920_cov_73.228882	3263	5191	+	636.6	469
9802309at2	Complete	NODE_2145_length_112275_cov_77.552353	89693	90637	+	235.7	191
9802366at2	Complete	NODE_1441_length_52686_cov_76.197510	3342	2968	-	212.3	119
9802408at2	Complete	NODE_1677_length_30732_cov_80.654755	29395	28967	-	229.2	141
9802554at2	Complete	NODE_1539_length_37792_cov_75.811783	10897	12117	+	538.8	393
9802589at2	Complete	NODE_286_length_41180_cov_81.233269	21015	21425	+	152.5	108
9802617at2	Complete	NODE_286_length_41180_cov_81.233269	23639	24031	+	142.8	114
9802672at2	Complete	NODE_22_length_21196_cov_74.466599	3534	2929	-	261.3	193
9803017at2	Complete	NODE_1434_length_95894_cov_75.275742	81282	81878	+	188.9	169
9803201at2	Complete	NODE_286_length_41180_cov_81.233269	17898	18503	+	271.3	193
9803250at2	Complete	NODE_1709_length_68036_cov_72.575531	21214	21432	+	128.7	67
9803420at2	Complete	NODE_1204_length_64359_cov_77.399834	49666	50262	+	268.5	184
9803474at2	Complete	NODE_2145_length_112275_cov_77.552353	69352	69609	+	121.3	62
9803541at2	Complete	NODE_152_length_14891_cov_78.964272	12302	12649	+	170.5	109
9803610at2	Complete	NODE_286_length_41180_cov_81.233269	27713	28069	+	154.2	103
9803667at2	Complete	NODE_626_length_8769_cov_75.351463	1018	1959	+	347.7	276
9803672at2	Complete	NODE_286_length_41180_cov_81.233269	28509	29129	+	233.8	180
9803740at2	Complete	NODE_1677_length_30732_cov_80.654755	28963	28259	-	295.0	210
9803773at2	Complete	NODE_325_length_24164_cov_71.927742	3861	2116	-	415.4	350
9803884at2	Complete	NODE_2201_length_7379_cov_73.928040	3841	6471	+	1262.9	857
9803954at2	Complete	NODE_1677_length_30732_cov_80.654755	26597	22569	-	1338.4	861
9803965at2	Complete	NODE_2145_length_112275_cov_77.552353	31294	31686	+	145.2	112
9804006at2	Complete	NODE_1204_length_64359_cov_77.399834	38045	38602	+	268.0	184
9804072at2	Complete	NODE_1573_length_22126_cov_70.879776	15320	14616	-	199.1	193
9804243at2	Complete	NODE_434_length_79075_cov_70.223480	54377	55651	+	481.1	386
9804305at2	Complete	NODE_2145_length_112275_cov_77.552353	91302	93437	+	1098.9	699
9804464at2	Complete	NODE_286_length_41180_cov_81.233269	16914	17225	+	171.4	100
9804478at2	Complete	NODE_718_length_90501_cov_69.003258	50764	51774	+	493.5	302
9804647at2	Complete	NODE_1709_length_68036_cov_72.575531	8353	7061	-	526.5	384
9804716at2	Complete	NODE_142_length_13006_cov_73.540901	9960	11258	+	541.8	367
9804753at2	Complete	NODE_1513_length_3490_cov_101.512321	3399	2371	-	196.7	233
9804933at2	Complete	NODE_718_length_90501_cov_69.003258	2190	4022	+	702.4	579
9805007at2	Complete	NODE_286_length_41180_cov_81.233269	24044	24577	+	241.1	176
9805026at2	Complete	NODE_926_length_95421_cov_71.123581	21850	22530	+	277.0	217
9805455at2	Complete	NODE_181_length_15413_cov_63.977356	1953	4340	+	24.3	27
9805462at2	Complete	NODE_152_length_14891_cov_78.964272	2048	1566	-	206.7	148
9805609at2	Complete	NODE_1539_length_37792_cov_75.811783	9840	9604	-	116.2	70
9805706at2	Complete	NODE_286_length_41180_cov_81.233269	29155	30144	+	352.8	267
9805969at2	Complete	NODE_286_length_41180_cov_81.233269	19951	20283	+	142.6	103
9806014at2	Complete	NODE_183_length_5920_cov_73.228882	5303	5737	+	228.0	142
9806135at2	Complete	NODE_286_length_41180_cov_81.233269	17258	17887	+	307.3	204
9806197at2	Complete	NODE_325_length_24164_cov_71.927742	4425	5438	+	358.3	282
9806379at2	Complete	NODE_286_length_41180_cov_81.233269	22035	22406	+	145.8	106
9806396at2	Complete	NODE_286_length_41180_cov_81.233269	20301	21002	+	280.9	187
9806415at2	Complete	NODE_286_length_41180_cov_81.233269	28086	28475	+	199.1	119
9806626at2	Complete	NODE_286_length_41180_cov_81.233269	22746	23285	+	287.3	176
9806637at2	Complete	NODE_596_length_15654_cov_72.501595	4504	5445	+	264.2	242
9806651at2	Complete	NODE_1999_length_25587_cov_66.390984	17957	19978	+	948.6	590
9806661at2	Complete	NODE_1539_length_37792_cov_75.811783	7991	8470	+	239.6	157
9806954at2	Complete	NODE_152_length_14891_cov_78.964272	5149	3488	-	629.1	536
9807019at2	Complete	NODE_989_length_51512_cov_75.450089	4420	5823	+	620.4	420
9807064at2	Complete	NODE_1513_length_3490_cov_101.512321	2374	1409	-	157.9	213
9807233at2	Complete	NODE_2145_length_112275_cov_77.552353	84944	86431	+	371.8	315
9807240at2	Complete	NODE_1677_length_30732_cov_80.654755	1932	3221	+	661.1	416
9807416at2	Complete	NODE_152_length_14891_cov_78.964272	11493	12260	+	250.9	195
9807419at2	Complete	NODE_286_length_41180_cov_81.233269	22417	22731	+	69.2	69
9807458at2	Complete	NODE_1204_length_64359_cov_77.399834	37170	37895	+	337.2	231
9807553at2	Complete	NODE_1570_length_36954_cov_78.025352	29642	30940	+	666.2	427
9807653at2	Complete	NODE_1441_length_52686_cov_76.197510	2871	2401	-	230.1	144
9807878at2	Complete	NODE_152_length_14891_cov_78.964272	10647	10895	+	105.3	71
9808036at2	Complete	NODE_1204_length_64359_cov_77.399834	35189	35914	+	313.6	199
9808150at2	Complete	NODE_1539_length_37792_cov_75.811783	20635	21258	+	277.6	188
9808348at2	Complete	NODE_1204_length_64359_cov_77.399834	36172	37023	+	188.2	168
9808773at2	Complete	NODE_2305_length_33814_cov_83.113121	17782	18405	+	156.7	147
9808936at2	Complete	NODE_596_length_15654_cov_72.501595	14054	15121	+	426.3	351
9808966at2	Complete	NODE_181_length_15413_cov_63.977356	148	504	+	172.8	111
9809045at2	Complete	NODE_286_length_41180_cov_81.233269	24955	25458	+	253.5	161
9809052at2	Complete	NODE_1204_length_64359_cov_77.399834	63813	62095	-	376.0	284
9809073at2	Complete	NODE_286_length_41180_cov_81.233269	30185	30568	+	169.7	118
9809075at2	Complete	NODE_1677_length_30732_cov_80.654755	30099	29554	-	165.5	149
9809084at2	Complete	NODE_2145_length_112275_cov_77.552353	109263	110123	+	290.1	235
9809248at2	Complete	NODE_286_length_41180_cov_81.233269	26087	27418	+	599.7	410
9809356at2	Complete	NODE_679_length_36641_cov_70.533279	30037	31305	+	432.2	384
9809796at2	Complete	NODE_596_length_15654_cov_72.501595	11497	12813	+	459.0	407
9810191at2	Complete	NODE_1170_length_26855_cov_70.355133	9969	7936	-	763.0	632
9810293at2	Complete	NODE_286_length_41180_cov_81.233269	25645	26079	+	69.8	111
9810939at2	Complete	NODE_286_length_41180_cov_81.233269	24587	24940	+	150.0	116
9811714at2	Complete	NODE_286_length_41180_cov_81.233269	21616	21870	+	136.4	74
9811748at2	Complete	NODE_1677_length_30732_cov_80.654755	27282	26917	-	92.7	93
9811804at2	Complete	NODE_2145_length_112275_cov_77.552353	86456	89128	+	998.9	668
9812008at2	Complete	NODE_364_length_5946_cov_85.734779	2926	3153	+	95.3	48
9812272at2	Complete	NODE_1570_length_36954_cov_78.025352	25627	26907	+	544.2	397
9812273at2	Complete	NODE_2031_length_15140_cov_83.574440	5834	6853	+	313.3	285
9812702at2	Complete	NODE_364_length_5946_cov_85.734779	2205	2600	+	95.8	86
9812769at2	Complete	NODE_2305_length_33814_cov_83.113121	23197	24060	+	379.1	281
9812943at2	Complete	NODE_592_length_39318_cov_75.666641	11828	11208	-	177.5	175
9813334at2	Complete	NODE_2145_length_112275_cov_77.552353	69020	69331	+	133.7	102
9813375at2	Complete	NODE_592_length_39318_cov_75.666641	4030	5181	+	387.7	291
9814755at2	Complete	NODE_614_length_35137_cov_72.104843	4773	3952	-	184.3	196
9815296at2	Complete	NODE_1677_length_30732_cov_80.654755	22492	18269	-	1377.2	864
