#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_54_length_28184_cov_41.894607:4589-5020|+     -            144 27234                -            143   5.9e-73  241.7   0.0   1   1   1.2e-75   6.6e-73  241.6   0.0     1   143     1   143     1   143 1.00 NODE_54_length_28184_cov_41.894607_5 # 4589 # 5020 # 1 # ID=54_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.498
NODE_1_length_276430_cov_40.515391:185707-186033|+ -            109 27234                -            143   3.9e-12   44.5   0.0   1   1   8.4e-15   4.7e-12   44.3   0.0    40   134     7    98     1   102 0.88 NODE_1_length_276430_cov_40.515391_166 # 185707 # 186033 # 1 # ID=1_166;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NODE_20_length_84241_cov_37.036046:19531-20583|+   -            351 27234                -            143   1.2e-11   43.0   0.0   1   2       2.2   1.2e+03   -2.4   0.0   119   130    55    66    43    68 0.83 NODE_20_length_84241_cov_37.036046_22 # 19531 # 20583 # 1 # ID=20_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.498
NODE_20_length_84241_cov_37.036046:19531-20583|+   -            351 27234                -            143   1.2e-11   43.0   0.0   2   2   5.8e-14   3.3e-11   41.6   0.0    40   133   136   232   129   241 0.90 NODE_20_length_84241_cov_37.036046_22 # 19531 # 20583 # 1 # ID=20_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.498
NODE_48_length_31921_cov_35.968831:11420-11944|+   -            175 27234                -            143     2e-11   42.2   0.0   1   1   4.8e-14   2.7e-11   41.8   0.0    38   142     4   106     1   107 0.86 NODE_48_length_31921_cov_35.968831_11 # 11420 # 11944 # 1 # ID=48_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.457
NODE_22_length_80627_cov_36.893466:78149-78463|+   -            105 27234                -            143   6.4e-08   30.9   0.0   1   1   1.5e-10   8.2e-08   30.5   0.0    57   122    24    88    20    96 0.93 NODE_22_length_80627_cov_36.893466_79 # 78149 # 78463 # 1 # ID=22_79;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.508
NODE_9_length_123825_cov_37.296666:72352-73197|-   -            282 27234                -            143   1.3e-06   26.6   0.0   1   3      0.57   3.2e+02   -0.5   0.0    62    79    39    56    35    63 0.77 NODE_9_length_123825_cov_37.296666_67 # 72352 # 73197 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_9_length_123825_cov_37.296666:72352-73197|-   -            282 27234                -            143   1.3e-06   26.6   0.0   2   3   4.1e-05     0.023   12.9   0.0    91   139    84   133    73   136 0.74 NODE_9_length_123825_cov_37.296666_67 # 72352 # 73197 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_9_length_123825_cov_37.296666:72352-73197|-   -            282 27234                -            143   1.3e-06   26.6   0.0   3   3   0.00066      0.37    9.0   0.0    66   133   192   270   154   278 0.75 NODE_9_length_123825_cov_37.296666_67 # 72352 # 73197 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NODE_38_length_48580_cov_35.344705:28763-30070|-   -            436 27234                -            143   1.8e-06   26.2   0.0   1   4   0.00081      0.45    8.7   0.0    86   131    87   132    60   144 0.70 NODE_38_length_48580_cov_35.344705_29 # 28763 # 30070 # -1 # ID=38_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_38_length_48580_cov_35.344705:28763-30070|-   -            436 27234                -            143   1.8e-06   26.2   0.0   2   4   0.00088      0.49    8.6   0.0    94   142   223   271   189   272 0.79 NODE_38_length_48580_cov_35.344705_29 # 28763 # 30070 # -1 # ID=38_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_38_length_48580_cov_35.344705:28763-30070|-   -            436 27234                -            143   1.8e-06   26.2   0.0   3   4      0.84   4.7e+02   -1.1   0.0    42    65   296   319   291   324 0.85 NODE_38_length_48580_cov_35.344705_29 # 28763 # 30070 # -1 # ID=38_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_38_length_48580_cov_35.344705:28763-30070|-   -            436 27234                -            143   1.8e-06   26.2   0.0   4   4     0.025        14    3.8   0.0    96   135   380   419   364   426 0.87 NODE_38_length_48580_cov_35.344705_29 # 28763 # 30070 # -1 # ID=38_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_176_length_500_cov_0.836461:75-488|+          -            138 27234                -            143   2.5e-06   25.7   0.0   1   1   1.4e-08   7.9e-06   24.1   0.0    29   136    12   125     8   130 0.77 NODE_176_length_500_cov_0.836461_1 # 75 # 488 # 1 # ID=176_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.659
NODE_172_length_522_cov_1.313924:1-177|-           -             59 27234                -            143     0.001   17.3   0.0   1   1   1.8e-06     0.001   17.3   0.0    35    77    14    57     5    59 0.85 NODE_172_length_522_cov_1.313924_1 # 1 # 177 # -1 # ID=172_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
