# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb12 (Creation date: 2024-11-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5293449at2	Complete	NODE_6_length_131096_cov_36.333598	64598	65209	+	176.2	165
9759736at2	Complete	NODE_13_length_92664_cov_37.475885	37253	39268	+	541.8	530
9767721at2	Complete	NODE_19_length_85129_cov_38.767276	21725	20427	-	481.5	425
9771806at2	Complete	NODE_2_length_157429_cov_38.171358	19342	20427	+	389.3	301
9776390at2	Complete	NODE_29_length_69919_cov_43.020805	18510	17560	-	210.5	215
9776733at2	Complete	NODE_60_length_26402_cov_36.807041	20391	21452	+	493.5	303
9778364at2	Complete	NODE_23_length_80065_cov_37.437114	9896	8553	-	452.6	363
9778722at2	Complete	NODE_43_length_41508_cov_43.498876	22582	21761	-	457.9	276
9781053at2	Complete	NODE_6_length_131096_cov_36.333598	62423	63163	+	272.9	211
9782003at2	Complete	NODE_30_length_69036_cov_41.149327	27207	25855	-	388.9	311
9788336at2	Complete	NODE_90_length_11481_cov_41.970231	8603	9052	+	95.6	119
9790352at2	Complete	NODE_4_length_139564_cov_44.158667	124497	123676	-	315.1	250
9791908at2	Complete	NODE_21_length_83220_cov_38.326345	13568	14077	+	193.1	129
9793681at2	Complete	NODE_10_length_119716_cov_38.250842	59976	60293	+	140.3	105
9797833at2	Complete	NODE_43_length_41508_cov_43.498876	21744	21466	-	142.1	78
9799262at2	Complete	NODE_8_length_126545_cov_41.885285	104838	105107	+	139.9	87
9800507at2	Complete	NODE_53_length_29778_cov_36.323025	1956	1372	-	226.3	178
9800696at2	Complete	NODE_73_length_16238_cov_34.312333	12540	11434	-	506.5	351
9800719at2	Complete	NODE_45_length_36631_cov_36.253287	22042	23025	+	508.1	335
9801107at2	Complete	NODE_12_length_106079_cov_39.536715	83369	85006	+	612.9	446
9801213at2	Complete	NODE_2_length_157429_cov_38.171358	36596	38113	+	551.7	436
9801330at2	Complete	NODE_8_length_126545_cov_41.885285	44899	45327	+	145.8	108
9801549at2	Complete	NODE_84_length_12824_cov_36.455068	4299	5012	+	282.1	263
9801753at2	Missing
9802065at2	Complete	NODE_51_length_31115_cov_42.820834	30529	28940	-	710.3	480
9802219at2	Complete	NODE_9_length_123825_cov_37.296666	93155	94732	+	307.0	253
9802304at2	Complete	NODE_45_length_36631_cov_36.253287	18414	20342	+	636.6	469
9802309at2	Complete	NODE_8_length_126545_cov_41.885285	103745	104689	+	235.7	191
9802366at2	Complete	NODE_1_length_276430_cov_40.515391	272946	273320	+	212.3	119
9802408at2	Complete	NODE_51_length_31115_cov_42.820834	1465	1893	+	229.2	141
9802554at2	Complete	NODE_39_length_47213_cov_38.868135	20189	21409	+	538.8	393
9802589at2	Complete	NODE_43_length_41508_cov_43.498876	20387	19977	-	152.5	108
9802617at2	Complete	NODE_43_length_41508_cov_43.498876	17763	17371	-	142.8	114
9802672at2	Complete	NODE_21_length_83220_cov_38.326345	65411	64806	-	261.3	193
9803017at2	Complete	NODE_1_length_276430_cov_40.515391	142236	141640	-	188.9	169
9803201at2	Complete	NODE_43_length_41508_cov_43.498876	23504	22899	-	271.3	193
9803250at2	Complete	NODE_23_length_80065_cov_37.437114	21559	21777	+	128.7	67
9803420at2	Complete	NODE_30_length_69036_cov_41.149327	19260	18664	-	268.5	184
9803474at2	Complete	NODE_8_length_126545_cov_41.885285	83403	83660	+	121.3	62
9803541at2	Complete	NODE_34_length_53173_cov_42.168382	13337	12990	-	170.5	109
9803610at2	Complete	NODE_43_length_41508_cov_43.498876	13689	13333	-	154.2	103
9803667at2	Complete	NODE_4_length_139564_cov_44.158667	131464	130523	-	347.7	276
9803672at2	Complete	NODE_43_length_41508_cov_43.498876	12893	12273	-	233.8	180
9803740at2	Complete	NODE_51_length_31115_cov_42.820834	1897	2601	+	295.0	210
9803773at2	Complete	NODE_32_length_57606_cov_39.295812	37171	35426	-	415.4	350
9803884at2	Complete	NODE_60_length_26402_cov_36.807041	22323	24953	+	1262.9	857
9803954at2	Complete	NODE_51_length_31115_cov_42.820834	4263	8291	+	1338.4	861
9803965at2	Complete	NODE_8_length_126545_cov_41.885285	45343	45735	+	145.2	112
9804006at2	Complete	NODE_30_length_69036_cov_41.149327	30881	30324	-	268.0	184
9804072at2	Complete	NODE_11_length_117034_cov_40.464403	101460	102164	+	199.1	193
9804243at2	Complete	NODE_25_length_79707_cov_37.284883	54497	55771	+	481.1	386
9804305at2	Complete	NODE_8_length_126545_cov_41.885285	105354	107489	+	1098.9	699
9804464at2	Complete	NODE_43_length_41508_cov_43.498876	24488	24177	-	171.4	100
9804478at2	Complete	NODE_6_length_131096_cov_36.333598	65218	66228	+	493.5	302
9804647at2	Complete	NODE_23_length_80065_cov_37.437114	8462	7170	-	526.5	384
9804716at2	Complete	NODE_12_length_106079_cov_39.536715	85094	86392	+	541.8	367
9804753at2	Complete	NODE_117_length_4367_cov_50.670283	4149	3121	-	196.7	233
9804933at2	Complete	NODE_6_length_131096_cov_36.333598	16644	18476	+	702.4	579
9805007at2	Complete	NODE_43_length_41508_cov_43.498876	17358	16825	-	241.1	176
9805026at2	Complete	NODE_9_length_123825_cov_37.296666	22242	22922	+	277.0	217
9805455at2	Complete	NODE_45_length_36631_cov_36.253287	23040	25427	+	24.3	27
9805462at2	Complete	NODE_34_length_53173_cov_42.168382	23591	24073	+	206.7	148
9805609at2	Complete	NODE_39_length_47213_cov_38.868135	19132	18896	-	116.2	70
9805706at2	Complete	NODE_43_length_41508_cov_43.498876	12247	11258	-	352.8	267
9805969at2	Complete	NODE_43_length_41508_cov_43.498876	21451	21119	-	142.6	103
9806014at2	Complete	NODE_45_length_36631_cov_36.253287	20454	20888	+	228.0	142
9806135at2	Complete	NODE_43_length_41508_cov_43.498876	24144	23515	-	307.3	204
9806197at2	Complete	NODE_32_length_57606_cov_39.295812	37735	38748	+	358.3	282
9806379at2	Complete	NODE_43_length_41508_cov_43.498876	19367	18996	-	145.8	106
9806396at2	Complete	NODE_43_length_41508_cov_43.498876	21101	20400	-	280.9	187
9806415at2	Complete	NODE_43_length_41508_cov_43.498876	13316	12927	-	199.1	119
9806626at2	Complete	NODE_43_length_41508_cov_43.498876	18656	18117	-	287.3	176
9806637at2	Complete	NODE_4_length_139564_cov_44.158667	64251	63310	-	264.2	242
9806651at2	Complete	NODE_72_length_16341_cov_36.526767	8504	10525	+	948.6	590
9806661at2	Complete	NODE_39_length_47213_cov_38.868135	17283	17762	+	239.6	157
9806954at2	Complete	NODE_34_length_53173_cov_42.168382	20490	22151	+	629.1	536
9807019at2	Complete	NODE_26_length_78359_cov_41.157595	29178	30581	+	620.4	420
9807064at2	Complete	NODE_117_length_4367_cov_50.670283	3124	2159	-	157.9	213
9807233at2	Complete	NODE_8_length_126545_cov_41.885285	98996	100483	+	371.8	315
9807240at2	Complete	NODE_51_length_31115_cov_42.820834	28928	27639	-	661.1	416
9807416at2	Complete	NODE_34_length_53173_cov_42.168382	14146	13379	-	250.9	195
9807419at2	Complete	NODE_43_length_41508_cov_43.498876	18985	18671	-	69.2	69
9807458at2	Complete	NODE_30_length_69036_cov_41.149327	31756	31031	-	337.2	231
9807553at2	Complete	NODE_29_length_69919_cov_43.020805	13074	11776	-	666.2	427
9807653at2	Complete	NODE_1_length_276430_cov_40.515391	273417	273887	+	230.1	144
9807878at2	Complete	NODE_34_length_53173_cov_42.168382	14992	14744	-	105.3	71
9808036at2	Complete	NODE_30_length_69036_cov_41.149327	33737	33012	-	313.6	199
